time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,25.2,89,0.349,0.283
1985-07-16T01:00,,25.4,89,0.348,0.284
1985-07-16T02:00,,26.1,84,0.347,0.284
1985-07-16T03:00,,27.1,79,0.346,0.284
1985-07-16T04:00,,27.8,76,0.345,0.284
1985-07-16T05:00,,28.5,74,0.343,0.284
1985-07-16T06:00,,28.5,75,0.343,0.284
1985-07-16T07:00,,28.4,76,0.34,0.284
1985-07-16T08:00,,29.1,73,0.337,0.284
1985-07-16T09:00,,29.2,73,0.334,0.284
1985-07-16T10:00,,29.3,73,0.331,0.284
1985-07-16T11:00,,29.2,73,0.329,0.284
1985-07-16T12:00,,28.6,74,0.328,0.284
1985-07-16T13:00,,28.2,76,0.327,0.284
1985-07-16T14:00,,27.7,80,0.326,0.284
1985-07-16T15:00,,27.0,83,0.325,0.284
1985-07-16T16:00,,26.5,86,0.325,0.284
1985-07-16T17:00,,26.2,88,0.324,0.284
1985-07-16T18:00,,26.0,88,0.323,0.284
1985-07-16T19:00,,26.2,87,0.323,0.285
1985-07-16T20:00,,26.1,88,0.322,0.285
1985-07-16T21:00,,25.9,89,0.322,0.285
1985-07-16T22:00,,25.8,90,0.322,0.285
1985-07-16T23:00,,25.7,91,0.321,0.285
1985-07-17T00:00,,25.6,91,0.321,0.285
1985-07-17T01:00,,25.8,90,0.32,0.285
1985-07-17T02:00,,26.8,84,0.319,0.285
1985-07-17T03:00,,27.3,79,0.324,0.285
1985-07-17T04:00,,27.5,77,0.326,0.285
1985-07-17T05:00,,28.2,73,0.326,0.285
1985-07-17T06:00,,29.1,71,0.324,0.285
1985-07-17T07:00,,29.3,75,0.322,0.284
1985-07-17T08:00,,29.5,74,0.321,0.284
1985-07-17T09:00,,30.1,69,0.319,0.284
1985-07-17T10:00,,30.4,67,0.317,0.284
1985-07-17T11:00,,29.1,71,0.323,0.284
1985-07-17T12:00,,28.0,78,0.324,0.284
1985-07-17T13:00,,27.9,78,0.324,0.284
1985-07-17T14:00,,27.6,81,0.323,0.284
1985-07-17T15:00,,27.1,85,0.322,0.284
1985-07-17T16:00,,26.7,88,0.322,0.284
1985-07-17T17:00,,26.3,91,0.321,0.284
1985-07-17T18:00,,25.9,93,0.32,0.284
1985-07-17T19:00,,25.8,93,0.32,0.284
1985-07-17T20:00,,25.8,93,0.319,0.284
1985-07-17T21:00,,25.8,92,0.319,0.284
1985-07-17T22:00,,25.7,92,0.319,0.284
1985-07-17T23:00,,25.6,91,0.319,0.284
1985-07-18T00:00,,25.4,90,0.319,0.284
1985-07-18T01:00,,25.6,90,0.318,0.284
1985-07-18T02:00,,26.7,84,0.317,0.285
1985-07-18T03:00,,28.0,76,0.317,0.284
1985-07-18T04:00,,29.0,73,0.314,0.284
1985-07-18T05:00,,29.5,71,0.312,0.284
1985-07-18T06:00,,29.8,69,0.308,0.283
1985-07-18T07:00,,29.4,70,0.307,0.283
1985-07-18T08:00,,29.5,71,0.306,0.283
1985-07-18T09:00,,29.7,69,0.309,0.283
1985-07-18T10:00,,27.0,79,0.377,0.283
1985-07-18T11:00,,26.2,85,0.388,0.285
1985-07-18T12:00,,26.2,84,0.384,0.287
1985-07-18T13:00,,26.1,86,0.38,0.288
1985-07-18T14:00,,26.0,86,0.377,0.289
1985-07-18T15:00,,25.8,86,0.373,0.29
1985-07-18T16:00,,25.6,87,0.37,0.291
1985-07-18T17:00,,25.4,88,0.368,0.292
1985-07-18T18:00,,25.3,89,0.366,0.292
1985-07-18T19:00,,25.8,85,0.364,0.293
1985-07-18T20:00,,25.8,84,0.362,0.293
1985-07-18T21:00,,25.8,83,0.361,0.294
1985-07-18T22:00,,25.5,85,0.37,0.294
1985-07-18T23:00,,25.0,88,0.375,0.295
