time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,25.9,87,0.386,0.344
1985-07-16T01:00,,26.1,87,0.383,0.344
1985-07-16T02:00,,26.7,85,0.382,0.345
1985-07-16T03:00,,27.4,80,0.38,0.345
1985-07-16T04:00,,28.1,77,0.378,0.344
1985-07-16T05:00,,28.7,75,0.376,0.344
1985-07-16T06:00,,29.2,73,0.374,0.343
1985-07-16T07:00,,29.1,75,0.372,0.343
1985-07-16T08:00,,30.1,70,0.369,0.342
1985-07-16T09:00,,28.7,76,0.373,0.342
1985-07-16T10:00,,28.9,75,0.373,0.342
1985-07-16T11:00,,28.9,76,0.372,0.342
1985-07-16T12:00,,29.2,74,0.37,0.341
1985-07-16T13:00,,28.7,76,0.371,0.341
1985-07-16T14:00,,28.1,78,0.369,0.341
1985-07-16T15:00,,27.6,80,0.368,0.341
1985-07-16T16:00,,27.2,81,0.367,0.341
1985-07-16T17:00,,27.0,82,0.366,0.341
1985-07-16T18:00,,26.9,81,0.365,0.341
1985-07-16T19:00,,27.1,80,0.364,0.341
1985-07-16T20:00,,27.0,79,0.363,0.341
1985-07-16T21:00,,26.8,80,0.363,0.341
1985-07-16T22:00,,26.7,81,0.363,0.341
1985-07-16T23:00,,26.4,82,0.365,0.341
1985-07-17T00:00,,26.2,83,0.365,0.341
1985-07-17T01:00,,26.2,84,0.366,0.341
1985-07-17T02:00,,26.6,84,0.369,0.341
1985-07-17T03:00,,27.0,83,0.369,0.341
1985-07-17T04:00,,27.8,79,0.368,0.34
1985-07-17T05:00,,28.7,75,0.366,0.34
1985-07-17T06:00,,29.7,72,0.363,0.339
1985-07-17T07:00,,29.7,77,0.362,0.339
1985-07-17T08:00,,29.8,74,0.361,0.338
1985-07-17T09:00,,30.3,72,0.36,0.338
1985-07-17T10:00,,30.0,72,0.369,0.337
1985-07-17T11:00,,28.3,79,0.413,0.338
1985-07-17T12:00,,28.0,83,0.405,0.34
1985-07-17T13:00,,28.1,83,0.4,0.341
1985-07-17T14:00,,27.7,84,0.396,0.342
1985-07-17T15:00,,27.2,86,0.393,0.343
1985-07-17T16:00,,27.0,87,0.39,0.344
1985-07-17T17:00,,26.7,89,0.387,0.344
1985-07-17T18:00,,26.4,89,0.385,0.344
1985-07-17T19:00,,26.3,89,0.383,0.345
1985-07-17T20:00,,26.3,89,0.381,0.345
1985-07-17T21:00,,26.2,89,0.379,0.345
1985-07-17T22:00,,26.2,88,0.378,0.345
1985-07-17T23:00,,26.3,86,0.376,0.345
1985-07-18T00:00,,26.2,86,0.375,0.345
1985-07-18T01:00,,26.4,86,0.374,0.345
1985-07-18T02:00,,27.3,82,0.373,0.345
1985-07-18T03:00,,28.2,78,0.371,0.345
1985-07-18T04:00,,29.1,75,0.369,0.344
1985-07-18T05:00,,29.8,72,0.366,0.344
1985-07-18T06:00,,30.6,66,0.363,0.343
1985-07-18T07:00,,29.7,74,0.363,0.342
1985-07-18T08:00,,30.0,71,0.368,0.341
1985-07-18T09:00,,28.2,78,0.439,0.343
1985-07-18T10:00,,27.5,82,0.391,0.37
1985-07-18T11:00,,27.4,83,0.391,0.37
1985-07-18T12:00,,27.4,84,0.389,0.369
1985-07-18T13:00,,27.2,85,0.388,0.369
1985-07-18T14:00,,26.7,86,0.386,0.369
1985-07-18T15:00,,26.4,86,0.385,0.369
1985-07-18T16:00,,26.3,86,0.384,0.368
1985-07-18T17:00,,26.2,86,0.383,0.368
1985-07-18T18:00,,26.1,86,0.382,0.368
1985-07-18T19:00,,26.4,83,0.381,0.367
1985-07-18T20:00,,26.5,82,0.38,0.367
1985-07-18T21:00,,26.2,83,0.381,0.367
1985-07-18T22:00,,25.6,87,0.388,0.367
1985-07-18T23:00,,24.8,92,0.398,0.367
