time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,25.7,90,0.395,0.329
1985-07-16T01:00,,25.9,90,0.392,0.33
1985-07-16T02:00,,26.5,88,0.389,0.331
1985-07-16T03:00,,27.3,83,0.387,0.332
1985-07-16T04:00,,28.1,79,0.384,0.332
1985-07-16T05:00,,28.9,76,0.382,0.332
1985-07-16T06:00,,29.1,76,0.381,0.332
1985-07-16T07:00,,29.4,76,0.378,0.332
1985-07-16T08:00,,30.5,70,0.374,0.331
1985-07-16T09:00,,28.3,80,0.394,0.331
1985-07-16T10:00,,28.9,77,0.394,0.332
1985-07-16T11:00,,28.9,77,0.391,0.333
1985-07-16T12:00,,29.2,75,0.387,0.333
1985-07-16T13:00,,28.8,78,0.384,0.334
1985-07-16T14:00,,28.3,79,0.381,0.334
1985-07-16T15:00,,27.7,80,0.379,0.334
1985-07-16T16:00,,27.3,82,0.377,0.335
1985-07-16T17:00,,27.0,83,0.375,0.335
1985-07-16T18:00,,26.9,82,0.374,0.335
1985-07-16T19:00,,27.0,82,0.372,0.335
1985-07-16T20:00,,26.9,82,0.371,0.336
1985-07-16T21:00,,26.7,83,0.374,0.336
1985-07-16T22:00,,26.6,84,0.382,0.336
1985-07-16T23:00,,26.2,86,0.389,0.336
1985-07-17T00:00,,26.0,86,0.395,0.337
1985-07-17T01:00,,26.1,87,0.396,0.338
1985-07-17T02:00,,26.3,87,0.406,0.339
1985-07-17T03:00,,26.6,87,0.413,0.341
1985-07-17T04:00,,27.4,84,0.408,0.343
1985-07-17T05:00,,28.2,81,0.403,0.345
1985-07-17T06:00,,29.4,77,0.397,0.345
1985-07-17T07:00,,29.0,82,0.394,0.345
1985-07-17T08:00,,29.3,79,0.393,0.345
1985-07-17T09:00,,29.9,76,0.39,0.346
1985-07-17T10:00,,30.1,75,0.388,0.346
1985-07-17T11:00,,28.4,80,0.43,0.346
1985-07-17T12:00,,27.5,86,0.416,0.353
1985-07-17T13:00,,27.6,86,0.409,0.355
1985-07-17T14:00,,27.4,88,0.404,0.356
1985-07-17T15:00,,27.0,89,0.4,0.357
1985-07-17T16:00,,26.8,90,0.397,0.357
1985-07-17T17:00,,26.7,90,0.394,0.358
1985-07-17T18:00,,26.5,90,0.392,0.358
1985-07-17T19:00,,26.4,90,0.39,0.358
1985-07-17T20:00,,26.4,90,0.388,0.358
1985-07-17T21:00,,26.3,90,0.386,0.358
1985-07-17T22:00,,26.3,89,0.385,0.358
1985-07-17T23:00,,26.3,88,0.383,0.358
1985-07-18T00:00,,26.2,87,0.382,0.358
1985-07-18T01:00,,26.4,87,0.38,0.358
1985-07-18T02:00,,27.1,85,0.38,0.358
1985-07-18T03:00,,27.9,81,0.379,0.357
1985-07-18T04:00,,28.7,78,0.378,0.357
1985-07-18T05:00,,29.7,72,0.375,0.356
1985-07-18T06:00,,30.0,70,0.373,0.355
1985-07-18T07:00,,29.2,77,0.374,0.354
1985-07-18T08:00,,29.5,77,0.378,0.354
1985-07-18T09:00,,28.8,80,0.439,0.355
1985-07-18T10:00,,28.0,80,0.427,0.388
1985-07-18T11:00,,26.9,89,0.433,0.391
1985-07-18T12:00,,26.8,89,0.42,0.394
1985-07-18T13:00,,26.8,89,0.416,0.394
1985-07-18T14:00,,26.4,90,0.412,0.394
1985-07-18T15:00,,26.2,90,0.41,0.394
1985-07-18T16:00,,26.1,90,0.407,0.393
1985-07-18T17:00,,26.1,89,0.405,0.393
1985-07-18T18:00,,26.1,89,0.403,0.392
1985-07-18T19:00,,26.3,85,0.402,0.391
1985-07-18T20:00,,26.2,86,0.402,0.391
1985-07-18T21:00,,25.8,87,0.409,0.39
1985-07-18T22:00,,25.0,93,0.42,0.39
1985-07-18T23:00,,24.5,94,0.431,0.391
