time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,25.8,88,0.362,0.334
1985-07-16T01:00,,25.8,88,0.361,0.334
1985-07-16T02:00,,26.1,87,0.361,0.334
1985-07-16T03:00,,26.5,85,0.36,0.333
1985-07-16T04:00,,27.1,81,0.359,0.333
1985-07-16T05:00,,27.8,79,0.358,0.333
1985-07-16T06:00,,28.8,77,0.356,0.332
1985-07-16T07:00,,28.9,75,0.355,0.332
1985-07-16T08:00,,29.5,74,0.353,0.331
1985-07-16T09:00,,28.5,78,0.382,0.33
1985-07-16T10:00,,28.8,77,0.383,0.331
1985-07-16T11:00,,28.9,77,0.381,0.331
1985-07-16T12:00,,28.1,79,0.381,0.331
1985-07-16T13:00,,27.5,81,0.379,0.332
1985-07-16T14:00,,27.1,82,0.377,0.332
1985-07-16T15:00,,26.9,83,0.375,0.332
1985-07-16T16:00,,26.8,82,0.373,0.333
1985-07-16T17:00,,26.8,82,0.372,0.333
1985-07-16T18:00,,26.7,82,0.37,0.333
1985-07-16T19:00,,27.0,80,0.369,0.333
1985-07-16T20:00,,27.0,80,0.368,0.333
1985-07-16T21:00,,26.5,83,0.37,0.333
1985-07-16T22:00,,25.9,86,0.381,0.334
1985-07-16T23:00,,25.5,88,0.391,0.334
1985-07-17T00:00,,25.4,89,0.389,0.335
1985-07-17T01:00,,25.4,89,0.392,0.336
1985-07-17T02:00,,25.9,89,0.39,0.336
1985-07-17T03:00,,26.5,86,0.388,0.337
1985-07-17T04:00,,27.4,83,0.385,0.337
1985-07-17T05:00,,28.6,80,0.382,0.337
1985-07-17T06:00,,29.7,76,0.378,0.337
1985-07-17T07:00,,29.9,77,0.375,0.336
1985-07-17T08:00,,30.2,72,0.373,0.336
1985-07-17T09:00,,29.4,74,0.433,0.336
1985-07-17T10:00,,28.8,79,0.416,0.349
1985-07-17T11:00,,29.0,77,0.398,0.355
1985-07-17T12:00,,28.2,79,0.398,0.356
1985-07-17T13:00,,28.0,80,0.395,0.356
1985-07-17T14:00,,27.5,81,0.392,0.357
1985-07-17T15:00,,27.0,83,0.39,0.357
1985-07-17T16:00,,26.9,83,0.387,0.357
1985-07-17T17:00,,26.7,84,0.386,0.357
1985-07-17T18:00,,26.6,84,0.384,0.357
1985-07-17T19:00,,26.6,85,0.382,0.357
1985-07-17T20:00,,26.4,86,0.381,0.357
1985-07-17T21:00,,26.4,85,0.379,0.357
1985-07-17T22:00,,26.4,85,0.378,0.357
1985-07-17T23:00,,26.2,85,0.377,0.357
1985-07-18T00:00,,26.0,85,0.376,0.357
1985-07-18T01:00,,26.2,85,0.375,0.356
1985-07-18T02:00,,26.9,83,0.373,0.356
1985-07-18T03:00,,27.6,81,0.372,0.355
1985-07-18T04:00,,28.4,79,0.37,0.355
1985-07-18T05:00,,29.4,76,0.368,0.354
1985-07-18T06:00,,30.5,67,0.365,0.352
1985-07-18T07:00,,30.1,71,0.364,0.351
1985-07-18T08:00,,28.4,79,0.41,0.351
1985-07-18T09:00,,28.6,77,0.417,0.352
1985-07-18T10:00,,28.9,76,0.41,0.354
1985-07-18T11:00,,29.1,76,0.404,0.355
1985-07-18T12:00,,28.2,80,0.413,0.356
1985-07-18T13:00,,28.1,81,0.407,0.358
1985-07-18T14:00,,27.5,83,0.403,0.359
1985-07-18T15:00,,27.0,84,0.399,0.359
1985-07-18T16:00,,26.6,84,0.396,0.36
1985-07-18T17:00,,26.3,84,0.394,0.36
1985-07-18T18:00,,26.1,84,0.391,0.36
1985-07-18T19:00,,26.7,81,0.389,0.36
1985-07-18T20:00,,26.7,82,0.387,0.36
1985-07-18T21:00,,26.3,84,0.387,0.36
1985-07-18T22:00,,25.8,87,0.387,0.36
1985-07-18T23:00,,25.4,89,0.387,0.36
