time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,25.7,90,0.372,0.28
1985-07-16T01:00,,25.8,90,0.37,0.281
1985-07-16T02:00,,26.0,89,0.371,0.282
1985-07-16T03:00,,26.5,87,0.37,0.282
1985-07-16T04:00,,27.3,82,0.367,0.283
1985-07-16T05:00,,28.5,76,0.364,0.283
1985-07-16T06:00,,29.0,74,0.361,0.283
1985-07-16T07:00,,29.1,77,0.359,0.284
1985-07-16T08:00,,29.5,73,0.382,0.284
1985-07-16T09:00,,28.6,79,0.398,0.285
1985-07-16T10:00,,29.8,73,0.392,0.287
1985-07-16T11:00,,28.6,78,0.403,0.289
1985-07-16T12:00,,28.8,77,0.396,0.291
1985-07-16T13:00,,27.8,81,0.412,0.293
1985-07-16T14:00,,27.1,83,0.401,0.296
1985-07-16T15:00,,26.7,84,0.395,0.299
1985-07-16T16:00,,26.6,84,0.39,0.3
1985-07-16T17:00,,26.5,84,0.385,0.301
1985-07-16T18:00,,26.5,84,0.382,0.302
1985-07-16T19:00,,26.6,84,0.398,0.304
1985-07-16T20:00,,26.0,87,0.409,0.306
1985-07-16T21:00,,25.6,90,0.418,0.309
1985-07-16T22:00,,25.4,91,0.423,0.313
1985-07-16T23:00,,25.2,92,0.417,0.318
1985-07-17T00:00,,25.2,92,0.41,0.321
1985-07-17T01:00,,25.1,93,0.41,0.324
1985-07-17T02:00,,25.5,92,0.409,0.326
1985-07-17T03:00,,25.8,91,0.403,0.328
1985-07-17T04:00,,26.8,88,0.398,0.329
1985-07-17T05:00,,27.8,85,0.394,0.33
1985-07-17T06:00,,29.7,78,0.388,0.33
1985-07-17T07:00,,28.8,80,0.384,0.33
1985-07-17T08:00,,29.3,78,0.381,0.33
1985-07-17T09:00,,30.6,71,0.377,0.33
1985-07-17T10:00,,28.7,78,0.391,0.33
1985-07-17T11:00,,28.5,80,0.404,0.331
1985-07-17T12:00,,28.2,82,0.399,0.332
1985-07-17T13:00,,27.9,83,0.397,0.333
1985-07-17T14:00,,27.4,84,0.393,0.334
1985-07-17T15:00,,27.0,85,0.39,0.335
1985-07-17T16:00,,26.7,86,0.387,0.336
1985-07-17T17:00,,26.6,86,0.384,0.336
1985-07-17T18:00,,26.5,86,0.382,0.337
1985-07-17T19:00,,26.6,87,0.38,0.337
1985-07-17T20:00,,26.6,86,0.378,0.337
1985-07-17T21:00,,26.6,86,0.376,0.338
1985-07-17T22:00,,26.5,86,0.375,0.338
1985-07-17T23:00,,26.4,86,0.373,0.338
1985-07-18T00:00,,26.1,87,0.372,0.338
1985-07-18T01:00,,26.2,86,0.37,0.338
1985-07-18T02:00,,26.5,85,0.384,0.338
1985-07-18T03:00,,27.2,83,0.382,0.338
1985-07-18T04:00,,28.1,79,0.38,0.338
1985-07-18T05:00,,29.0,74,0.391,0.338
1985-07-18T06:00,,29.6,71,0.387,0.338
1985-07-18T07:00,,29.3,75,0.386,0.338
1985-07-18T08:00,,28.7,78,0.415,0.339
1985-07-18T09:00,,27.8,81,0.439,0.342
1985-07-18T10:00,,28.1,80,0.375,0.365
1985-07-18T11:00,,28.2,80,0.374,0.365
1985-07-18T12:00,,28.3,81,0.373,0.364
1985-07-18T13:00,,28.2,81,0.372,0.364
1985-07-18T14:00,,27.5,84,0.372,0.363
1985-07-18T15:00,,27.1,85,0.371,0.363
1985-07-18T16:00,,26.9,86,0.37,0.362
1985-07-18T17:00,,26.8,85,0.37,0.362
1985-07-18T18:00,,26.5,85,0.369,0.362
1985-07-18T19:00,,26.6,84,0.37,0.361
1985-07-18T20:00,,26.2,86,0.374,0.361
1985-07-18T21:00,,25.6,89,0.384,0.361
1985-07-18T22:00,,24.9,93,0.4,0.361
1985-07-18T23:00,,24.7,95,0.415,0.362
