time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,24.0,92,0.427,0.422
1985-07-16T01:00,,24.2,92,0.43,0.42
1985-07-16T02:00,,24.7,90,0.426,0.421
1985-07-16T03:00,,25.5,88,0.43,0.419
1985-07-16T04:00,,26.0,85,0.425,0.421
1985-07-16T05:00,,27.0,81,0.43,0.419
1985-07-16T06:00,,27.0,81,0.43,0.424
1985-07-16T07:00,,27.1,84,0.43,0.428
1985-07-16T08:00,,27.4,81,0.424,0.417
1985-07-16T09:00,,27.6,79,0.422,0.415
1985-07-16T10:00,,27.8,78,0.418,0.413
1985-07-16T11:00,,27.9,78,0.417,0.411
1985-07-16T12:00,,28.1,77,0.414,0.41
1985-07-16T13:00,,27.8,78,0.411,0.408
1985-07-16T14:00,,27.6,81,0.41,0.407
1985-07-16T15:00,,27.1,83,0.408,0.405
1985-07-16T16:00,,26.7,84,0.407,0.404
1985-07-16T17:00,,26.4,86,0.406,0.403
1985-07-16T18:00,,26.4,85,0.405,0.402
1985-07-16T19:00,,25.2,90,0.404,0.401
1985-07-16T20:00,,25.1,90,0.405,0.4
1985-07-16T21:00,,25.0,89,0.409,0.399
1985-07-16T22:00,,24.7,90,0.419,0.399
1985-07-16T23:00,,24.6,91,0.424,0.4
1985-07-17T00:00,,24.6,88,0.428,0.402
1985-07-17T01:00,,24.8,88,0.422,0.405
1985-07-17T02:00,,25.7,84,0.418,0.405
1985-07-17T03:00,,26.7,78,0.415,0.405
1985-07-17T04:00,,27.3,75,0.412,0.404
1985-07-17T05:00,,27.9,71,0.41,0.403
1985-07-17T06:00,,28.4,71,0.407,0.402
1985-07-17T07:00,,26.7,80,0.41,0.401
1985-07-17T08:00,,27.3,78,0.411,0.401
1985-07-17T09:00,,27.8,75,0.409,0.4
1985-07-17T10:00,,28.6,72,0.405,0.399
1985-07-17T11:00,,28.6,72,0.402,0.398
1985-07-17T12:00,,28.2,73,0.4,0.397
1985-07-17T13:00,,27.9,75,0.401,0.396
1985-07-17T14:00,,27.7,77,0.399,0.395
1985-07-17T15:00,,27.5,76,0.398,0.395
1985-07-17T16:00,,26.9,81,0.397,0.394
1985-07-17T17:00,,27.1,78,0.397,0.393
1985-07-17T18:00,,26.9,79,0.396,0.393
1985-07-17T19:00,,25.7,87,0.397,0.392
1985-07-17T20:00,,25.0,89,0.397,0.392
1985-07-17T21:00,,25.1,88,0.397,0.391
1985-07-17T22:00,,24.9,88,0.398,0.391
1985-07-17T23:00,,24.6,88,0.401,0.39
1985-07-18T00:00,,24.4,88,0.402,0.39
1985-07-18T01:00,,24.5,89,0.403,0.39
1985-07-18T02:00,,25.8,82,0.401,0.39
1985-07-18T03:00,,26.7,75,0.4,0.39
1985-07-18T04:00,,27.3,74,0.4,0.389
1985-07-18T05:00,,27.2,75,0.4,0.389
1985-07-18T06:00,,27.6,74,0.4,0.389
1985-07-18T07:00,,26.5,81,0.405,0.388
1985-07-18T08:00,,26.8,80,0.408,0.389
1985-07-18T09:00,,27.2,78,0.408,0.389
1985-07-18T10:00,,27.4,77,0.405,0.389
1985-07-18T11:00,,27.7,76,0.402,0.389
1985-07-18T12:00,,27.3,79,0.401,0.389
1985-07-18T13:00,,26.7,82,0.402,0.389
1985-07-18T14:00,,26.2,85,0.402,0.388
1985-07-18T15:00,,25.7,89,0.401,0.388
1985-07-18T16:00,,25.4,90,0.401,0.388
1985-07-18T17:00,,24.9,92,0.401,0.388
1985-07-18T18:00,,24.6,94,0.402,0.388
1985-07-18T19:00,,25.1,88,0.402,0.388
1985-07-18T20:00,,25.1,87,0.402,0.388
1985-07-18T21:00,,24.7,89,0.402,0.388
1985-07-18T22:00,,24.7,87,0.408,0.388
1985-07-18T23:00,,23.9,88,0.419,0.389
