time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,24.9,90,0.244,0.22
1985-07-16T01:00,,25.3,90,0.244,0.22
1985-07-16T02:00,,26.0,85,0.243,0.22
1985-07-16T03:00,,26.9,81,0.242,0.22
1985-07-16T04:00,,27.7,76,0.241,0.22
1985-07-16T05:00,,28.5,73,0.24,0.219
1985-07-16T06:00,,29.4,71,0.238,0.219
1985-07-16T07:00,,29.2,70,0.236,0.218
1985-07-16T08:00,,29.1,71,0.236,0.217
1985-07-16T09:00,,29.2,70,0.235,0.217
1985-07-16T10:00,,28.7,72,0.234,0.216
1985-07-16T11:00,,28.7,73,0.232,0.216
1985-07-16T12:00,,28.5,74,0.231,0.215
1985-07-16T13:00,,28.2,75,0.23,0.215
1985-07-16T14:00,,27.5,80,0.23,0.215
1985-07-16T15:00,,26.7,84,0.229,0.215
1985-07-16T16:00,,26.3,86,0.229,0.215
1985-07-16T17:00,,26.0,86,0.228,0.215
1985-07-16T18:00,,25.8,87,0.228,0.215
1985-07-16T19:00,,25.9,87,0.227,0.215
1985-07-16T20:00,,26.1,85,0.227,0.214
1985-07-16T21:00,,25.6,87,0.227,0.214
1985-07-16T22:00,,25.4,87,0.228,0.214
1985-07-16T23:00,,25.3,87,0.228,0.214
1985-07-17T00:00,,25.1,88,0.227,0.214
1985-07-17T01:00,,25.5,89,0.227,0.214
1985-07-17T02:00,,27.0,80,0.227,0.214
1985-07-17T03:00,,27.9,75,0.226,0.214
1985-07-17T04:00,,28.1,73,0.225,0.213
1985-07-17T05:00,,28.8,70,0.224,0.212
1985-07-17T06:00,,29.6,67,0.222,0.211
1985-07-17T07:00,,30.5,68,0.219,0.21
1985-07-17T08:00,,30.5,68,0.217,0.209
1985-07-17T09:00,,30.5,68,0.217,0.208
1985-07-17T10:00,,29.9,67,0.218,0.208
1985-07-17T11:00,,29.8,68,0.217,0.207
1985-07-17T12:00,,29.2,71,0.217,0.207
1985-07-17T13:00,,28.8,73,0.216,0.207
1985-07-17T14:00,,27.9,83,0.215,0.207
1985-07-17T15:00,,27.8,77,0.215,0.207
1985-07-17T16:00,,27.4,80,0.215,0.207
1985-07-17T17:00,,26.4,86,0.215,0.206
1985-07-17T18:00,,26.0,88,0.215,0.206
1985-07-17T19:00,,25.4,91,0.214,0.206
1985-07-17T20:00,,25.6,90,0.214,0.206
1985-07-17T21:00,,25.3,92,0.215,0.206
1985-07-17T22:00,,25.1,92,0.217,0.206
1985-07-17T23:00,,25.1,91,0.218,0.206
1985-07-18T00:00,,24.8,92,0.217,0.206
1985-07-18T01:00,,25.1,93,0.217,0.206
1985-07-18T02:00,,26.7,83,0.217,0.206
1985-07-18T03:00,,27.9,76,0.217,0.206
1985-07-18T04:00,,28.8,71,0.215,0.205
1985-07-18T05:00,,29.4,68,0.214,0.204
1985-07-18T06:00,,30.2,65,0.213,0.203
1985-07-18T07:00,,30.4,70,0.211,0.202
1985-07-18T08:00,,30.2,70,0.213,0.202
1985-07-18T09:00,,27.8,77,0.25,0.201
1985-07-18T10:00,,27.2,80,0.265,0.202
1985-07-18T11:00,,27.3,79,0.261,0.203
1985-07-18T12:00,,27.6,78,0.258,0.204
1985-07-18T13:00,,27.6,78,0.254,0.205
1985-07-18T14:00,,27.1,84,0.252,0.205
1985-07-18T15:00,,26.5,85,0.25,0.206
1985-07-18T16:00,,25.8,89,0.248,0.206
1985-07-18T17:00,,25.4,90,0.246,0.207
1985-07-18T18:00,,25.3,88,0.244,0.207
1985-07-18T19:00,,25.0,89,0.243,0.207
1985-07-18T20:00,,24.8,89,0.242,0.208
1985-07-18T21:00,,25.2,86,0.24,0.208
1985-07-18T22:00,,25.3,85,0.239,0.208
1985-07-18T23:00,,25.3,85,0.239,0.208
