time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,26.0,84,0.344,0.318
1985-07-16T01:00,,26.1,85,0.343,0.318
1985-07-16T02:00,,26.5,83,0.342,0.318
1985-07-16T03:00,,27.2,80,0.341,0.317
1985-07-16T04:00,,28.0,76,0.34,0.317
1985-07-16T05:00,,28.6,74,0.338,0.316
1985-07-16T06:00,,29.4,73,0.336,0.315
1985-07-16T07:00,,29.1,73,0.335,0.315
1985-07-16T08:00,,29.4,72,0.333,0.314
1985-07-16T09:00,,29.5,72,0.331,0.313
1985-07-16T10:00,,28.9,74,0.334,0.313
1985-07-16T11:00,,28.9,75,0.333,0.313
1985-07-16T12:00,,28.9,75,0.332,0.312
1985-07-16T13:00,,28.5,76,0.331,0.312
1985-07-16T14:00,,27.9,78,0.331,0.312
1985-07-16T15:00,,27.4,80,0.33,0.312
1985-07-16T16:00,,27.1,81,0.33,0.312
1985-07-16T17:00,,27.0,81,0.329,0.312
1985-07-16T18:00,,26.9,81,0.329,0.311
1985-07-16T19:00,,27.0,79,0.328,0.311
1985-07-16T20:00,,26.8,80,0.328,0.311
1985-07-16T21:00,,26.6,81,0.328,0.311
1985-07-16T22:00,,26.5,80,0.327,0.311
1985-07-16T23:00,,26.5,80,0.327,0.311
1985-07-17T00:00,,26.4,80,0.327,0.311
1985-07-17T01:00,,26.5,81,0.327,0.311
1985-07-17T02:00,,27.1,80,0.326,0.311
1985-07-17T03:00,,27.8,76,0.325,0.31
1985-07-17T04:00,,28.3,74,0.324,0.31
1985-07-17T05:00,,29.1,72,0.322,0.309
1985-07-17T06:00,,30.0,69,0.319,0.308
1985-07-17T07:00,,30.6,71,0.317,0.307
1985-07-17T08:00,,30.8,70,0.315,0.306
1985-07-17T09:00,,30.8,69,0.314,0.305
1985-07-17T10:00,,30.5,68,0.314,0.304
1985-07-17T11:00,,29.9,70,0.315,0.304
1985-07-17T12:00,,29.5,72,0.315,0.303
1985-07-17T13:00,,29.0,73,0.315,0.303
1985-07-17T14:00,,28.3,77,0.314,0.303
1985-07-17T15:00,,27.5,85,0.314,0.303
1985-07-17T16:00,,27.0,88,0.314,0.303
1985-07-17T17:00,,26.6,88,0.314,0.303
1985-07-17T18:00,,26.3,87,0.313,0.303
1985-07-17T19:00,,26.2,88,0.313,0.303
1985-07-17T20:00,,26.1,88,0.313,0.303
1985-07-17T21:00,,25.9,89,0.313,0.302
1985-07-17T22:00,,26.0,88,0.313,0.302
1985-07-17T23:00,,26.1,86,0.313,0.302
1985-07-18T00:00,,25.9,86,0.312,0.302
1985-07-18T01:00,,26.0,87,0.312,0.302
1985-07-18T02:00,,27.2,81,0.312,0.302
1985-07-18T03:00,,28.2,75,0.311,0.301
1985-07-18T04:00,,29.1,72,0.309,0.301
1985-07-18T05:00,,29.7,70,0.307,0.3
1985-07-18T06:00,,30.5,68,0.304,0.298
1985-07-18T07:00,,30.6,69,0.302,0.297
1985-07-18T08:00,,30.7,67,0.301,0.297
1985-07-18T09:00,,28.4,75,0.341,0.296
1985-07-18T10:00,,28.0,78,0.347,0.296
1985-07-18T11:00,,28.0,78,0.346,0.296
1985-07-18T12:00,,28.1,77,0.345,0.296
1985-07-18T13:00,,27.9,79,0.343,0.296
1985-07-18T14:00,,27.3,81,0.342,0.296
1985-07-18T15:00,,26.9,83,0.341,0.297
1985-07-18T16:00,,26.5,85,0.34,0.297
1985-07-18T17:00,,26.2,85,0.339,0.297
1985-07-18T18:00,,26.0,85,0.339,0.297
1985-07-18T19:00,,26.3,82,0.338,0.297
1985-07-18T20:00,,26.3,82,0.337,0.297
1985-07-18T21:00,,26.3,82,0.336,0.297
1985-07-18T22:00,,26.2,82,0.336,0.297
1985-07-18T23:00,,25.9,84,0.336,0.298
