time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,25.4,92,0.402,0.335
1985-07-16T01:00,,25.5,92,0.398,0.336
1985-07-16T02:00,,26.0,90,0.394,0.337
1985-07-16T03:00,,26.9,85,0.392,0.338
1985-07-16T04:00,,27.8,80,0.388,0.338
1985-07-16T05:00,,29.1,74,0.385,0.338
1985-07-16T06:00,,29.4,74,0.382,0.338
1985-07-16T07:00,,29.5,77,0.379,0.337
1985-07-16T08:00,,30.9,68,0.375,0.337
1985-07-16T09:00,,28.8,77,0.384,0.337
1985-07-16T10:00,,28.9,75,0.403,0.337
1985-07-16T11:00,,29.0,76,0.399,0.338
1985-07-16T12:00,,29.2,75,0.394,0.339
1985-07-16T13:00,,28.8,77,0.391,0.339
1985-07-16T14:00,,28.3,79,0.387,0.34
1985-07-16T15:00,,27.7,80,0.385,0.34
1985-07-16T16:00,,27.3,81,0.383,0.341
1985-07-16T17:00,,27.0,82,0.381,0.341
1985-07-16T18:00,,26.8,83,0.379,0.341
1985-07-16T19:00,,27.0,81,0.377,0.341
1985-07-16T20:00,,26.5,84,0.387,0.342
1985-07-16T21:00,,26.0,87,0.405,0.342
1985-07-16T22:00,,25.7,89,0.418,0.344
1985-07-16T23:00,,25.4,92,0.425,0.347
1985-07-17T00:00,,25.2,92,0.43,0.352
1985-07-17T01:00,,25.2,92,0.425,0.357
1985-07-17T02:00,,25.5,91,0.428,0.361
1985-07-17T03:00,,25.9,88,0.424,0.365
1985-07-17T04:00,,26.7,86,0.416,0.368
1985-07-17T05:00,,27.6,84,0.41,0.369
1985-07-17T06:00,,29.0,80,0.405,0.369
1985-07-17T07:00,,28.2,85,0.402,0.369
1985-07-17T08:00,,28.7,80,0.4,0.369
1985-07-17T09:00,,29.4,76,0.397,0.369
1985-07-17T10:00,,29.7,75,0.394,0.369
1985-07-17T11:00,,28.4,78,0.415,0.368
1985-07-17T12:00,,26.8,89,0.426,0.37
1985-07-17T13:00,,26.8,89,0.417,0.373
1985-07-17T14:00,,26.7,89,0.411,0.374
1985-07-17T15:00,,26.5,90,0.407,0.375
1985-07-17T16:00,,26.4,91,0.404,0.375
1985-07-17T17:00,,26.5,90,0.401,0.375
1985-07-17T18:00,,26.4,90,0.399,0.375
1985-07-17T19:00,,26.4,90,0.397,0.375
1985-07-17T20:00,,26.3,90,0.395,0.375
1985-07-17T21:00,,26.3,89,0.393,0.375
1985-07-17T22:00,,26.3,88,0.392,0.374
1985-07-17T23:00,,26.2,88,0.39,0.374
1985-07-18T00:00,,26.0,88,0.39,0.374
1985-07-18T01:00,,26.1,88,0.389,0.373
1985-07-18T02:00,,26.4,86,0.41,0.373
1985-07-18T03:00,,26.8,85,0.412,0.374
1985-07-18T04:00,,27.3,84,0.409,0.375
1985-07-18T05:00,,29.1,74,0.404,0.374
1985-07-18T06:00,,28.4,77,0.43,0.375
1985-07-18T07:00,,28.1,83,0.417,0.382
1985-07-18T08:00,,28.4,82,0.413,0.383
1985-07-18T09:00,,28.8,80,0.414,0.384
1985-07-18T10:00,,28.1,80,0.439,0.386
1985-07-18T11:00,,27.5,83,0.392,0.401
1985-07-18T12:00,,27.2,86,0.392,0.4
1985-07-18T13:00,,26.9,88,0.391,0.398
1985-07-18T14:00,,26.4,90,0.391,0.397
1985-07-18T15:00,,26.1,91,0.391,0.396
1985-07-18T16:00,,26.0,91,0.39,0.394
1985-07-18T17:00,,26.1,91,0.39,0.393
1985-07-18T18:00,,26.0,91,0.391,0.392
1985-07-18T19:00,,25.9,90,0.395,0.391
1985-07-18T20:00,,25.4,92,0.411,0.391
1985-07-18T21:00,,24.8,94,0.431,0.391
1985-07-18T22:00,,24.6,95,0.439,0.396
1985-07-18T23:00,,24.4,96,0.412,0.414
