time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.5,91,0.386,0.334
1985-06-21T01:00,,22.5,91,0.386,0.335
1985-06-21T02:00,,22.9,89,0.386,0.335
1985-06-21T03:00,,23.8,85,0.385,0.335
1985-06-21T04:00,,25.2,76,0.384,0.334
1985-06-21T05:00,,26.6,69,0.382,0.334
1985-06-21T06:00,,27.4,65,0.38,0.334
1985-06-21T07:00,,28.1,62,0.378,0.333
1985-06-21T08:00,,27.6,65,0.376,0.333
1985-06-21T09:00,,28.3,62,0.373,0.332
1985-06-21T10:00,,28.3,61,0.371,0.332
1985-06-21T11:00,,27.5,65,0.369,0.332
1985-06-21T12:00,,26.0,72,0.368,0.331
1985-06-21T13:00,,24.7,77,0.368,0.331
1985-06-21T14:00,,23.6,83,0.368,0.331
1985-06-21T15:00,,23.1,86,0.367,0.331
1985-06-21T16:00,,23.2,87,0.367,0.331
1985-06-21T17:00,,22.9,88,0.367,0.331
1985-06-21T18:00,,22.9,89,0.367,0.332
1985-06-21T19:00,,22.9,89,0.367,0.332
1985-06-21T20:00,,22.8,90,0.366,0.332
1985-06-21T21:00,,22.6,91,0.366,0.332
1985-06-21T22:00,,22.8,90,0.366,0.332
1985-06-21T23:00,,22.7,90,0.366,0.332
1985-06-22T00:00,,22.8,90,0.366,0.332
1985-06-22T01:00,,22.8,92,0.366,0.332
1985-06-22T02:00,,23.4,88,0.365,0.332
1985-06-22T03:00,,24.0,85,0.365,0.332
1985-06-22T04:00,,25.5,76,0.364,0.331
1985-06-22T05:00,,26.6,70,0.363,0.331
1985-06-22T06:00,,27.4,67,0.361,0.331
1985-06-22T07:00,,27.4,66,0.36,0.33
1985-06-22T08:00,,28.4,63,0.357,0.33
1985-06-22T09:00,,28.4,62,0.355,0.329
1985-06-22T10:00,,27.6,65,0.354,0.329
1985-06-22T11:00,,26.8,68,0.353,0.329
1985-06-22T12:00,,25.3,75,0.352,0.329
1985-06-22T13:00,,24.2,81,0.352,0.329
1985-06-22T14:00,,23.5,86,0.352,0.329
1985-06-22T15:00,,23.1,89,0.352,0.329
1985-06-22T16:00,,23.1,89,0.352,0.329
1985-06-22T17:00,,23.1,89,0.352,0.329
1985-06-22T18:00,,22.9,90,0.352,0.329
1985-06-22T19:00,,22.8,92,0.352,0.329
1985-06-22T20:00,,22.6,92,0.351,0.329
1985-06-22T21:00,,22.5,92,0.351,0.329
1985-06-22T22:00,,22.6,92,0.351,0.329
1985-06-22T23:00,,22.6,92,0.351,0.329
1985-06-23T00:00,,22.8,91,0.351,0.329
1985-06-23T01:00,,22.7,91,0.351,0.329
1985-06-23T02:00,,23.2,89,0.351,0.329
1985-06-23T03:00,,24.1,83,0.351,0.329
1985-06-23T04:00,,25.1,77,0.351,0.328
1985-06-23T05:00,,26.0,73,0.35,0.328
1985-06-23T06:00,,25.7,74,0.35,0.328
1985-06-23T07:00,,26.9,69,0.349,0.328
1985-06-23T08:00,,26.1,73,0.35,0.327
1985-06-23T09:00,,25.6,76,0.353,0.327
1985-06-23T10:00,,25.0,79,0.356,0.327
1985-06-23T11:00,,24.0,86,0.363,0.327
1985-06-23T12:00,,23.2,92,0.368,0.327
1985-06-23T13:00,,22.5,95,0.373,0.327
1985-06-23T14:00,,22.3,95,0.381,0.327
1985-06-23T15:00,,22.2,95,0.388,0.327
1985-06-23T16:00,,22.2,95,0.392,0.327
1985-06-23T17:00,,22.2,95,0.396,0.328
1985-06-23T18:00,,22.1,95,0.4,0.328
1985-06-23T19:00,,22.1,94,0.402,0.328
1985-06-23T20:00,,21.9,95,0.406,0.328
1985-06-23T21:00,,21.7,95,0.412,0.328
1985-06-23T22:00,,21.6,96,0.425,0.329
1985-06-23T23:00,,21.7,96,0.458,0.329
