time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.7,84,0.287,0.244
1985-06-21T01:00,,23.8,83,0.286,0.244
1985-06-21T02:00,,25.0,79,0.286,0.244
1985-06-21T03:00,,26.9,71,0.284,0.244
1985-06-21T04:00,,28.8,62,0.282,0.244
1985-06-21T05:00,,30.2,56,0.28,0.243
1985-06-21T06:00,,30.9,53,0.277,0.242
1985-06-21T07:00,,32.0,51,0.274,0.241
1985-06-21T08:00,,31.8,50,0.276,0.241
1985-06-21T09:00,,30.7,56,0.289,0.24
1985-06-21T10:00,,31.0,54,0.288,0.241
1985-06-21T11:00,,31.0,53,0.286,0.24
1985-06-21T12:00,,30.3,54,0.284,0.24
1985-06-21T13:00,,29.1,58,0.283,0.24
1985-06-21T14:00,,28.0,62,0.283,0.24
1985-06-21T15:00,,27.2,66,0.282,0.24
1985-06-21T16:00,,26.6,68,0.282,0.24
1985-06-21T17:00,,26.1,71,0.281,0.24
1985-06-21T18:00,,25.8,72,0.281,0.24
1985-06-21T19:00,,25.4,73,0.28,0.24
1985-06-21T20:00,,25.1,75,0.28,0.24
1985-06-21T21:00,,25.0,75,0.279,0.24
1985-06-21T22:00,,24.8,76,0.279,0.24
1985-06-21T23:00,,24.6,77,0.279,0.24
1985-06-22T00:00,,24.6,77,0.278,0.24
1985-06-22T01:00,,24.6,78,0.278,0.241
1985-06-22T02:00,,25.7,76,0.277,0.24
1985-06-22T03:00,,27.5,68,0.276,0.24
1985-06-22T04:00,,29.2,61,0.274,0.24
1985-06-22T05:00,,30.7,55,0.271,0.239
1985-06-22T06:00,,31.3,52,0.268,0.238
1985-06-22T07:00,,32.5,49,0.265,0.238
1985-06-22T08:00,,32.4,48,0.265,0.237
1985-06-22T09:00,,31.1,54,0.277,0.236
1985-06-22T10:00,,31.2,53,0.276,0.236
1985-06-22T11:00,,30.5,55,0.275,0.236
1985-06-22T12:00,,29.8,57,0.274,0.236
1985-06-22T13:00,,28.7,62,0.273,0.236
1985-06-22T14:00,,27.7,66,0.273,0.236
1985-06-22T15:00,,26.9,70,0.272,0.236
1985-06-22T16:00,,26.5,72,0.272,0.236
1985-06-22T17:00,,26.2,73,0.271,0.236
1985-06-22T18:00,,25.8,75,0.271,0.236
1985-06-22T19:00,,25.8,75,0.271,0.236
1985-06-22T20:00,,25.6,75,0.27,0.236
1985-06-22T21:00,,25.4,75,0.27,0.236
1985-06-22T22:00,,25.3,75,0.27,0.236
1985-06-22T23:00,,25.2,75,0.269,0.236
1985-06-23T00:00,,25.2,76,0.269,0.236
1985-06-23T01:00,,25.2,77,0.269,0.236
1985-06-23T02:00,,25.7,76,0.268,0.236
1985-06-23T03:00,,26.8,72,0.267,0.236
1985-06-23T04:00,,28.2,65,0.266,0.235
1985-06-23T05:00,,28.6,62,0.264,0.235
1985-06-23T06:00,,29.5,58,0.263,0.235
1985-06-23T07:00,,30.4,54,0.261,0.234
1985-06-23T08:00,,30.5,54,0.259,0.234
1985-06-23T09:00,,30.5,54,0.257,0.233
1985-06-23T10:00,,29.1,61,0.257,0.233
1985-06-23T11:00,,28.1,65,0.257,0.233
1985-06-23T12:00,,27.4,69,0.258,0.232
1985-06-23T13:00,,26.5,72,0.258,0.232
1985-06-23T14:00,,25.9,75,0.259,0.232
1985-06-23T15:00,,25.6,76,0.259,0.232
1985-06-23T16:00,,25.5,76,0.26,0.232
1985-06-23T17:00,,25.4,76,0.26,0.232
1985-06-23T18:00,,25.3,76,0.26,0.232
1985-06-23T19:00,,25.2,75,0.26,0.232
1985-06-23T20:00,,25.1,75,0.26,0.232
1985-06-23T21:00,,25.0,76,0.261,0.232
1985-06-23T22:00,,24.8,76,0.263,0.232
1985-06-23T23:00,,24.5,78,0.264,0.233
