time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.6,91,0.384,0.314
1985-06-21T01:00,,22.7,91,0.384,0.314
1985-06-21T02:00,,23.3,87,0.384,0.314
1985-06-21T03:00,,24.1,82,0.383,0.314
1985-06-21T04:00,,25.2,77,0.382,0.314
1985-06-21T05:00,,26.1,73,0.38,0.314
1985-06-21T06:00,,26.5,71,0.38,0.313
1985-06-21T07:00,,26.4,72,0.379,0.313
1985-06-21T08:00,,26.8,71,0.379,0.313
1985-06-21T09:00,,26.4,72,0.38,0.313
1985-06-21T10:00,,26.0,74,0.38,0.313
1985-06-21T11:00,,25.7,76,0.379,0.313
1985-06-21T12:00,,25.0,78,0.378,0.313
1985-06-21T13:00,,24.1,83,0.378,0.313
1985-06-21T14:00,,23.5,86,0.379,0.313
1985-06-21T15:00,,23.3,87,0.379,0.313
1985-06-21T16:00,,23.2,88,0.379,0.313
1985-06-21T17:00,,23.2,88,0.379,0.313
1985-06-21T18:00,,23.2,87,0.379,0.313
1985-06-21T19:00,,23.3,88,0.379,0.314
1985-06-21T20:00,,23.2,88,0.379,0.314
1985-06-21T21:00,,22.9,90,0.379,0.314
1985-06-21T22:00,,22.9,90,0.38,0.314
1985-06-21T23:00,,22.9,91,0.38,0.314
1985-06-22T00:00,,22.9,91,0.381,0.314
1985-06-22T01:00,,22.9,91,0.382,0.314
1985-06-22T02:00,,23.2,89,0.382,0.314
1985-06-22T03:00,,23.7,85,0.383,0.314
1985-06-22T04:00,,24.2,83,0.382,0.314
1985-06-22T05:00,,24.9,80,0.382,0.314
1985-06-22T06:00,,25.4,78,0.382,0.314
1985-06-22T07:00,,26.1,74,0.382,0.314
1985-06-22T08:00,,25.7,76,0.382,0.314
1985-06-22T09:00,,25.3,78,0.384,0.314
1985-06-22T10:00,,25.0,79,0.384,0.314
1985-06-22T11:00,,24.6,83,0.388,0.314
1985-06-22T12:00,,24.1,86,0.389,0.314
1985-06-22T13:00,,23.6,89,0.39,0.314
1985-06-22T14:00,,23.1,90,0.395,0.314
1985-06-22T15:00,,22.8,92,0.399,0.314
1985-06-22T16:00,,22.8,92,0.409,0.315
1985-06-22T17:00,,23.0,91,0.419,0.315
1985-06-22T18:00,,23.0,91,0.426,0.315
1985-06-22T19:00,,23.1,91,0.425,0.316
1985-06-22T20:00,,22.9,92,0.425,0.316
1985-06-22T21:00,,22.8,92,0.425,0.317
1985-06-22T22:00,,22.8,92,0.425,0.317
1985-06-22T23:00,,22.8,92,0.435,0.317
1985-06-23T00:00,,22.7,92,0.442,0.318
1985-06-23T01:00,,22.7,92,0.456,0.319
1985-06-23T02:00,,22.5,93,0.459,0.32
1985-06-23T03:00,,22.5,93,0.464,0.321
1985-06-23T04:00,,22.7,91,0.467,0.323
1985-06-23T05:00,,23.3,90,0.469,0.324
1985-06-23T06:00,,23.9,86,0.473,0.325
1985-06-23T07:00,,23.5,85,0.479,0.327
1985-06-23T08:00,,23.9,90,0.48,0.329
1985-06-23T09:00,,23.7,87,0.48,0.331
1985-06-23T10:00,,22.8,93,0.488,0.333
1985-06-23T11:00,,23.0,94,0.491,0.336
1985-06-23T12:00,,23.1,92,0.488,0.339
1985-06-23T13:00,,22.8,91,0.49,0.341
1985-06-23T14:00,,22.5,94,0.492,0.344
1985-06-23T15:00,,22.4,95,0.491,0.347
1985-06-23T16:00,,22.4,94,0.49,0.35
1985-06-23T17:00,,22.7,94,0.487,0.353
1985-06-23T18:00,,22.5,92,0.487,0.355
1985-06-23T19:00,,22.0,95,0.487,0.357
1985-06-23T20:00,,22.3,92,0.486,0.36
1985-06-23T21:00,,22.4,93,0.491,0.362
1985-06-23T22:00,,22.2,93,0.491,0.364
1985-06-23T23:00,,22.5,92,0.485,0.367
