time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.5,87,0.169,0.134
1985-06-21T01:00,,23.4,88,0.17,0.134
1985-06-21T02:00,,24.2,83,0.17,0.134
1985-06-21T03:00,,25.4,75,0.17,0.134
1985-06-21T04:00,,27.5,64,0.169,0.134
1985-06-21T05:00,,29.0,57,0.169,0.134
1985-06-21T06:00,,30.0,53,0.168,0.134
1985-06-21T07:00,,30.7,50,0.167,0.134
1985-06-21T08:00,,30.9,49,0.167,0.134
1985-06-21T09:00,,30.5,50,0.166,0.134
1985-06-21T10:00,,30.3,51,0.166,0.134
1985-06-21T11:00,,29.4,54,0.165,0.134
1985-06-21T12:00,,28.0,60,0.165,0.134
1985-06-21T13:00,,26.3,68,0.165,0.134
1985-06-21T14:00,,25.1,75,0.165,0.134
1985-06-21T15:00,,24.6,79,0.165,0.134
1985-06-21T16:00,,24.2,82,0.165,0.134
1985-06-21T17:00,,24.0,84,0.166,0.134
1985-06-21T18:00,,23.7,86,0.166,0.134
1985-06-21T19:00,,23.6,86,0.166,0.134
1985-06-21T20:00,,23.5,87,0.166,0.134
1985-06-21T21:00,,23.6,86,0.166,0.134
1985-06-21T22:00,,23.4,87,0.166,0.134
1985-06-21T23:00,,23.5,87,0.166,0.134
1985-06-22T00:00,,23.4,88,0.166,0.134
1985-06-22T01:00,,23.6,88,0.166,0.134
1985-06-22T02:00,,24.1,84,0.167,0.134
1985-06-22T03:00,,25.5,76,0.167,0.134
1985-06-22T04:00,,27.1,67,0.167,0.134
1985-06-22T05:00,,28.6,60,0.167,0.134
1985-06-22T06:00,,29.9,55,0.166,0.134
1985-06-22T07:00,,31.0,49,0.165,0.134
1985-06-22T08:00,,30.2,53,0.165,0.134
1985-06-22T09:00,,29.3,56,0.165,0.134
1985-06-22T10:00,,28.8,59,0.165,0.134
1985-06-22T11:00,,27.9,63,0.165,0.134
1985-06-22T12:00,,26.5,71,0.166,0.134
1985-06-22T13:00,,25.1,79,0.167,0.134
1985-06-22T14:00,,24.4,83,0.167,0.134
1985-06-22T15:00,,24.0,84,0.168,0.134
1985-06-22T16:00,,23.8,86,0.169,0.134
1985-06-22T17:00,,23.7,86,0.169,0.134
1985-06-22T18:00,,23.7,87,0.169,0.134
1985-06-22T19:00,,23.7,87,0.169,0.134
1985-06-22T20:00,,23.5,88,0.169,0.134
1985-06-22T21:00,,23.4,89,0.17,0.134
1985-06-22T22:00,,23.6,87,0.17,0.134
1985-06-22T23:00,,23.7,85,0.171,0.134
1985-06-23T00:00,,23.7,84,0.173,0.134
1985-06-23T01:00,,23.6,85,0.175,0.134
1985-06-23T02:00,,23.2,89,0.185,0.134
1985-06-23T03:00,,23.5,87,0.189,0.134
1985-06-23T04:00,,24.0,85,0.193,0.134
1985-06-23T05:00,,24.6,82,0.196,0.134
1985-06-23T06:00,,24.9,82,0.201,0.134
1985-06-23T07:00,,25.5,77,0.21,0.135
1985-06-23T08:00,,25.0,82,0.22,0.135
1985-06-23T09:00,,24.2,89,0.229,0.135
1985-06-23T10:00,,23.7,91,0.239,0.135
1985-06-23T11:00,,23.4,90,0.254,0.135
1985-06-23T12:00,,23.2,91,0.265,0.135
1985-06-23T13:00,,23.1,91,0.27,0.136
1985-06-23T14:00,,23.2,91,0.276,0.136
1985-06-23T15:00,,23.1,91,0.281,0.137
1985-06-23T16:00,,23.1,90,0.286,0.137
1985-06-23T17:00,,23.1,91,0.289,0.138
1985-06-23T18:00,,22.9,92,0.292,0.138
1985-06-23T19:00,,23.0,90,0.292,0.139
1985-06-23T20:00,,23.1,89,0.291,0.14
1985-06-23T21:00,,23.0,88,0.29,0.14
1985-06-23T22:00,,23.0,88,0.29,0.141
1985-06-23T23:00,,23.2,87,0.291,0.141
