time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,14.6,94,0.397,0.395
1985-06-21T01:00,,14.3,93,0.396,0.394
1985-06-21T02:00,,14.9,90,0.395,0.394
1985-06-21T03:00,,16.1,82,0.395,0.393
1985-06-21T04:00,,17.7,73,0.394,0.393
1985-06-21T05:00,,18.1,74,0.394,0.392
1985-06-21T06:00,,19.1,73,0.393,0.391
1985-06-21T07:00,,19.5,74,0.396,0.39
1985-06-21T08:00,,19.8,74,0.395,0.39
1985-06-21T09:00,,19.9,71,0.396,0.389
1985-06-21T10:00,,18.8,72,0.397,0.389
1985-06-21T11:00,,17.2,80,0.408,0.389
1985-06-21T12:00,,16.9,79,0.406,0.389
1985-06-21T13:00,,16.3,82,0.403,0.39
1985-06-21T14:00,,15.6,86,0.401,0.39
1985-06-21T15:00,,15.0,89,0.4,0.39
1985-06-21T16:00,,14.8,91,0.398,0.39
1985-06-21T17:00,,14.5,91,0.397,0.39
1985-06-21T18:00,,14.6,92,0.396,0.39
1985-06-21T19:00,,14.7,91,0.395,0.389
1985-06-21T20:00,,14.7,91,0.394,0.389
1985-06-21T21:00,,14.4,93,0.393,0.389
1985-06-21T22:00,,14.4,92,0.393,0.389
1985-06-21T23:00,,14.4,92,0.392,0.388
1985-06-22T00:00,,14.4,92,0.392,0.388
1985-06-22T01:00,,14.2,93,0.391,0.388
1985-06-22T02:00,,15.0,90,0.391,0.388
1985-06-22T03:00,,16.5,82,0.39,0.387
1985-06-22T04:00,,17.7,77,0.39,0.387
1985-06-22T05:00,,18.8,74,0.389,0.386
1985-06-22T06:00,,19.3,73,0.389,0.386
1985-06-22T07:00,,19.6,73,0.391,0.385
1985-06-22T08:00,,19.9,72,0.392,0.385
1985-06-22T09:00,,19.6,73,0.393,0.384
1985-06-22T10:00,,19.3,74,0.393,0.384
1985-06-22T11:00,,18.5,74,0.394,0.384
1985-06-22T12:00,,16.9,79,0.395,0.384
1985-06-22T13:00,,16.1,83,0.395,0.384
1985-06-22T14:00,,15.5,86,0.395,0.384
1985-06-22T15:00,,15.2,88,0.394,0.384
1985-06-22T16:00,,15.0,89,0.394,0.384
1985-06-22T17:00,,14.8,90,0.393,0.384
1985-06-22T18:00,,14.7,90,0.393,0.384
1985-06-22T19:00,,14.7,90,0.392,0.384
1985-06-22T20:00,,14.5,91,0.391,0.384
1985-06-22T21:00,,14.5,92,0.391,0.384
1985-06-22T22:00,,14.5,92,0.39,0.384
1985-06-22T23:00,,14.4,92,0.39,0.384
1985-06-23T00:00,,14.5,92,0.39,0.384
1985-06-23T01:00,,14.6,93,0.391,0.384
1985-06-23T02:00,,15.3,90,0.391,0.384
1985-06-23T03:00,,16.3,85,0.391,0.384
1985-06-23T04:00,,17.6,79,0.392,0.383
1985-06-23T05:00,,17.5,76,0.397,0.383
1985-06-23T06:00,,17.9,77,0.398,0.384
1985-06-23T07:00,,19.0,78,0.399,0.384
1985-06-23T08:00,,18.7,77,0.401,0.384
1985-06-23T09:00,,18.4,80,0.405,0.384
1985-06-23T10:00,,15.7,89,0.425,0.386
1985-06-23T11:00,,15.3,99,0.418,0.395
1985-06-23T12:00,,15.1,100,0.422,0.396
1985-06-23T13:00,,14.7,99,0.425,0.399
1985-06-23T14:00,,14.3,100,0.423,0.404
1985-06-23T15:00,,14.1,100,0.427,0.407
1985-06-23T16:00,,13.9,100,0.425,0.411
1985-06-23T17:00,,13.8,100,0.425,0.412
1985-06-23T18:00,,13.8,99,0.425,0.413
1985-06-23T19:00,,13.9,100,0.426,0.414
1985-06-23T20:00,,13.9,100,0.428,0.418
1985-06-23T21:00,,13.9,100,0.43,0.42
1985-06-23T22:00,,13.7,99,0.429,0.425
1985-06-23T23:00,,13.6,99,0.429,0.42
