time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,20.5,92,0.268,0.156
1985-06-21T01:00,,20.1,93,0.268,0.156
1985-06-21T02:00,,22.5,84,0.267,0.157
1985-06-21T03:00,,24.6,72,0.266,0.157
1985-06-21T04:00,,26.1,64,0.264,0.157
1985-06-21T05:00,,27.4,58,0.261,0.157
1985-06-21T06:00,,28.1,55,0.258,0.157
1985-06-21T07:00,,28.9,52,0.255,0.157
1985-06-21T08:00,,27.8,56,0.253,0.157
1985-06-21T09:00,,26.3,63,0.252,0.157
1985-06-21T10:00,,27.2,60,0.25,0.157
1985-06-21T11:00,,26.8,60,0.248,0.157
1985-06-21T12:00,,25.8,64,0.247,0.157
1985-06-21T13:00,,24.5,71,0.246,0.157
1985-06-21T14:00,,23.4,77,0.246,0.157
1985-06-21T15:00,,22.8,80,0.246,0.157
1985-06-21T16:00,,22.5,83,0.245,0.157
1985-06-21T17:00,,22.2,84,0.245,0.157
1985-06-21T18:00,,22.0,85,0.246,0.157
1985-06-21T19:00,,21.8,86,0.245,0.157
1985-06-21T20:00,,21.5,88,0.245,0.157
1985-06-21T21:00,,21.4,88,0.245,0.158
1985-06-21T22:00,,21.4,88,0.245,0.158
1985-06-21T23:00,,21.2,89,0.245,0.158
1985-06-22T00:00,,21.1,91,0.245,0.158
1985-06-22T01:00,,21.1,91,0.245,0.158
1985-06-22T02:00,,22.5,85,0.245,0.158
1985-06-22T03:00,,24.7,73,0.245,0.158
1985-06-22T04:00,,26.4,64,0.243,0.158
1985-06-22T05:00,,27.5,58,0.241,0.158
1985-06-22T06:00,,28.0,56,0.238,0.158
1985-06-22T07:00,,28.9,52,0.235,0.158
1985-06-22T08:00,,28.4,54,0.233,0.157
1985-06-22T09:00,,28.2,55,0.231,0.157
1985-06-22T10:00,,27.6,57,0.229,0.157
1985-06-22T11:00,,26.6,61,0.228,0.157
1985-06-22T12:00,,25.3,67,0.229,0.157
1985-06-22T13:00,,24.3,73,0.229,0.157
1985-06-22T14:00,,23.5,78,0.229,0.157
1985-06-22T15:00,,23.2,80,0.23,0.157
1985-06-22T16:00,,22.8,83,0.23,0.157
1985-06-22T17:00,,22.7,83,0.231,0.157
1985-06-22T18:00,,22.2,85,0.232,0.158
1985-06-22T19:00,,22.2,86,0.232,0.158
1985-06-22T20:00,,21.8,87,0.232,0.158
1985-06-22T21:00,,21.6,86,0.232,0.158
1985-06-22T22:00,,21.5,87,0.233,0.158
1985-06-22T23:00,,21.6,88,0.234,0.158
1985-06-23T00:00,,21.7,87,0.235,0.158
1985-06-23T01:00,,21.4,87,0.235,0.158
1985-06-23T02:00,,22.1,85,0.237,0.158
1985-06-23T03:00,,22.6,85,0.239,0.158
1985-06-23T04:00,,23.1,84,0.248,0.158
1985-06-23T05:00,,23.1,86,0.258,0.158
1985-06-23T06:00,,23.9,79,0.27,0.159
1985-06-23T07:00,,24.1,76,0.28,0.159
1985-06-23T08:00,,23.3,87,0.299,0.159
1985-06-23T09:00,,23.5,87,0.316,0.16
1985-06-23T10:00,,22.2,91,0.34,0.161
1985-06-23T11:00,,21.7,92,0.366,0.163
1985-06-23T12:00,,21.6,92,0.382,0.167
1985-06-23T13:00,,21.2,92,0.399,0.171
1985-06-23T14:00,,20.9,93,0.404,0.179
1985-06-23T15:00,,21.1,92,0.4,0.187
1985-06-23T16:00,,20.9,92,0.397,0.194
1985-06-23T17:00,,21.0,92,0.392,0.199
1985-06-23T18:00,,21.1,91,0.387,0.204
1985-06-23T19:00,,21.1,89,0.383,0.208
1985-06-23T20:00,,21.0,90,0.378,0.211
1985-06-23T21:00,,21.0,90,0.375,0.214
1985-06-23T22:00,,20.8,91,0.373,0.216
1985-06-23T23:00,,20.7,92,0.371,0.219
