time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,24.7,83,0.161,0.134
1985-06-21T01:00,,24.7,83,0.161,0.134
1985-06-21T02:00,,25.5,79,0.161,0.134
1985-06-21T03:00,,26.6,73,0.161,0.134
1985-06-21T04:00,,28.5,63,0.161,0.134
1985-06-21T05:00,,30.1,56,0.16,0.134
1985-06-21T06:00,,31.0,52,0.16,0.134
1985-06-21T07:00,,31.2,51,0.159,0.134
1985-06-21T08:00,,31.7,52,0.158,0.134
1985-06-21T09:00,,31.0,53,0.158,0.134
1985-06-21T10:00,,30.5,55,0.157,0.134
1985-06-21T11:00,,29.7,58,0.157,0.134
1985-06-21T12:00,,28.5,64,0.157,0.134
1985-06-21T13:00,,27.2,70,0.157,0.134
1985-06-21T14:00,,26.4,74,0.157,0.134
1985-06-21T15:00,,26.0,76,0.157,0.134
1985-06-21T16:00,,25.8,77,0.157,0.134
1985-06-21T17:00,,25.6,78,0.157,0.134
1985-06-21T18:00,,25.4,79,0.157,0.134
1985-06-21T19:00,,25.2,80,0.157,0.134
1985-06-21T20:00,,25.3,80,0.157,0.134
1985-06-21T21:00,,25.2,80,0.157,0.134
1985-06-21T22:00,,25.0,81,0.157,0.134
1985-06-21T23:00,,24.9,82,0.157,0.134
1985-06-22T00:00,,24.9,83,0.157,0.134
1985-06-22T01:00,,25.0,83,0.157,0.134
1985-06-22T02:00,,25.5,80,0.157,0.134
1985-06-22T03:00,,26.5,74,0.157,0.134
1985-06-22T04:00,,27.6,68,0.157,0.134
1985-06-22T05:00,,29.2,60,0.157,0.134
1985-06-22T06:00,,30.4,56,0.156,0.134
1985-06-22T07:00,,31.0,53,0.155,0.134
1985-06-22T08:00,,30.6,55,0.155,0.134
1985-06-22T09:00,,29.8,57,0.155,0.134
1985-06-22T10:00,,29.4,59,0.155,0.134
1985-06-22T11:00,,28.5,63,0.155,0.134
1985-06-22T12:00,,27.3,69,0.156,0.134
1985-06-22T13:00,,26.3,75,0.156,0.134
1985-06-22T14:00,,25.7,79,0.158,0.134
1985-06-22T15:00,,25.2,81,0.158,0.134
1985-06-22T16:00,,25.1,82,0.159,0.134
1985-06-22T17:00,,25.1,82,0.16,0.134
1985-06-22T18:00,,25.2,82,0.16,0.134
1985-06-22T19:00,,25.2,83,0.16,0.134
1985-06-22T20:00,,25.1,83,0.161,0.134
1985-06-22T21:00,,25.0,83,0.161,0.134
1985-06-22T22:00,,24.9,83,0.161,0.134
1985-06-22T23:00,,24.9,83,0.162,0.134
1985-06-23T00:00,,25.0,83,0.164,0.134
1985-06-23T01:00,,25.0,82,0.178,0.134
1985-06-23T02:00,,24.9,83,0.18,0.134
1985-06-23T03:00,,24.9,84,0.184,0.134
1985-06-23T04:00,,25.1,82,0.187,0.134
1985-06-23T05:00,,26.1,78,0.19,0.134
1985-06-23T06:00,,26.3,77,0.197,0.134
1985-06-23T07:00,,26.8,74,0.218,0.134
1985-06-23T08:00,,26.9,76,0.23,0.134
1985-06-23T09:00,,26.1,80,0.255,0.135
1985-06-23T10:00,,25.1,87,0.287,0.135
1985-06-23T11:00,,24.9,86,0.301,0.135
1985-06-23T12:00,,24.7,86,0.305,0.136
1985-06-23T13:00,,24.5,86,0.308,0.137
1985-06-23T14:00,,24.3,87,0.313,0.137
1985-06-23T15:00,,24.3,88,0.314,0.138
1985-06-23T16:00,,24.3,89,0.314,0.139
1985-06-23T17:00,,24.4,88,0.314,0.14
1985-06-23T18:00,,24.3,88,0.317,0.141
1985-06-23T19:00,,24.1,87,0.318,0.142
1985-06-23T20:00,,24.0,86,0.318,0.143
1985-06-23T21:00,,24.1,86,0.317,0.144
1985-06-23T22:00,,24.1,85,0.316,0.145
1985-06-23T23:00,,24.2,85,0.314,0.145
