time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.5,82,0.255,0.152
1985-06-21T01:00,,23.6,82,0.255,0.152
1985-06-21T02:00,,24.2,80,0.254,0.152
1985-06-21T03:00,,25.2,75,0.253,0.152
1985-06-21T04:00,,27.2,65,0.251,0.152
1985-06-21T05:00,,28.5,60,0.249,0.152
1985-06-21T06:00,,29.3,56,0.247,0.152
1985-06-21T07:00,,30.6,50,0.246,0.152
1985-06-21T08:00,,30.5,51,0.245,0.152
1985-06-21T09:00,,30.7,50,0.243,0.152
1985-06-21T10:00,,30.5,51,0.241,0.152
1985-06-21T11:00,,29.8,53,0.239,0.152
1985-06-21T12:00,,28.1,60,0.238,0.152
1985-06-21T13:00,,26.4,67,0.237,0.152
1985-06-21T14:00,,25.2,72,0.237,0.153
1985-06-21T15:00,,24.4,76,0.236,0.153
1985-06-21T16:00,,24.1,79,0.236,0.153
1985-06-21T17:00,,24.0,80,0.235,0.153
1985-06-21T18:00,,23.9,81,0.235,0.153
1985-06-21T19:00,,23.8,83,0.235,0.153
1985-06-21T20:00,,23.7,83,0.234,0.153
1985-06-21T21:00,,23.5,83,0.234,0.153
1985-06-21T22:00,,23.6,83,0.234,0.153
1985-06-21T23:00,,23.6,83,0.233,0.153
1985-06-22T00:00,,23.7,82,0.233,0.153
1985-06-22T01:00,,23.8,82,0.233,0.153
1985-06-22T02:00,,24.7,79,0.232,0.154
1985-06-22T03:00,,25.9,73,0.231,0.154
1985-06-22T04:00,,27.6,65,0.23,0.154
1985-06-22T05:00,,28.4,61,0.229,0.154
1985-06-22T06:00,,29.3,57,0.227,0.153
1985-06-22T07:00,,30.5,52,0.225,0.153
1985-06-22T08:00,,30.7,51,0.223,0.153
1985-06-22T09:00,,31.1,49,0.221,0.153
1985-06-22T10:00,,30.4,52,0.219,0.153
1985-06-22T11:00,,29.1,56,0.218,0.153
1985-06-22T12:00,,27.6,62,0.217,0.153
1985-06-22T13:00,,25.8,71,0.217,0.153
1985-06-22T14:00,,24.7,77,0.216,0.153
1985-06-22T15:00,,24.1,81,0.216,0.153
1985-06-22T16:00,,24.1,82,0.216,0.153
1985-06-22T17:00,,24.0,83,0.216,0.153
1985-06-22T18:00,,23.8,84,0.215,0.153
1985-06-22T19:00,,23.9,83,0.215,0.153
1985-06-22T20:00,,23.7,83,0.215,0.153
1985-06-22T21:00,,23.7,83,0.215,0.153
1985-06-22T22:00,,23.7,82,0.215,0.154
1985-06-22T23:00,,23.7,83,0.214,0.154
1985-06-23T00:00,,23.7,83,0.214,0.154
1985-06-23T01:00,,23.9,82,0.214,0.154
1985-06-23T02:00,,24.5,79,0.214,0.154
1985-06-23T03:00,,25.6,73,0.213,0.154
1985-06-23T04:00,,26.9,67,0.212,0.154
1985-06-23T05:00,,27.7,63,0.211,0.154
1985-06-23T06:00,,28.1,61,0.21,0.154
1985-06-23T07:00,,29.3,56,0.209,0.153
1985-06-23T08:00,,29.4,56,0.207,0.153
1985-06-23T09:00,,29.0,59,0.206,0.153
1985-06-23T10:00,,27.8,63,0.205,0.153
1985-06-23T11:00,,26.7,69,0.206,0.153
1985-06-23T12:00,,25.4,76,0.206,0.153
1985-06-23T13:00,,24.4,81,0.206,0.153
1985-06-23T14:00,,23.9,83,0.207,0.153
1985-06-23T15:00,,23.6,84,0.207,0.153
1985-06-23T16:00,,23.7,83,0.208,0.153
1985-06-23T17:00,,23.7,83,0.208,0.153
1985-06-23T18:00,,23.7,83,0.208,0.153
1985-06-23T19:00,,23.7,82,0.208,0.153
1985-06-23T20:00,,23.6,81,0.209,0.153
1985-06-23T21:00,,23.4,81,0.21,0.153
1985-06-23T22:00,,23.2,82,0.211,0.153
1985-06-23T23:00,,23.1,84,0.216,0.154
