time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,25.3,77,0.309,0.279
1985-06-21T01:00,,25.3,77,0.309,0.279
1985-06-21T02:00,,26.4,72,0.309,0.279
1985-06-21T03:00,,28.6,62,0.308,0.279
1985-06-21T04:00,,30.4,54,0.308,0.279
1985-06-21T05:00,,32.9,44,0.306,0.279
1985-06-21T06:00,,34.5,39,0.305,0.279
1985-06-21T07:00,,35.7,35,0.303,0.279
1985-06-21T08:00,,35.9,34,0.301,0.279
1985-06-21T09:00,,35.7,34,0.3,0.279
1985-06-21T10:00,,34.7,36,0.299,0.279
1985-06-21T11:00,,34.2,38,0.298,0.279
1985-06-21T12:00,,33.0,42,0.297,0.279
1985-06-21T13:00,,31.2,47,0.297,0.279
1985-06-21T14:00,,29.7,53,0.297,0.279
1985-06-21T15:00,,28.6,58,0.296,0.279
1985-06-21T16:00,,27.8,62,0.296,0.279
1985-06-21T17:00,,27.1,66,0.296,0.279
1985-06-21T18:00,,26.6,69,0.296,0.279
1985-06-21T19:00,,26.1,72,0.296,0.279
1985-06-21T20:00,,25.9,73,0.296,0.279
1985-06-21T21:00,,25.8,73,0.296,0.279
1985-06-21T22:00,,25.5,75,0.296,0.279
1985-06-21T23:00,,25.4,75,0.296,0.279
1985-06-22T00:00,,25.2,77,0.296,0.279
1985-06-22T01:00,,25.3,76,0.295,0.279
1985-06-22T02:00,,26.6,71,0.295,0.279
1985-06-22T03:00,,28.6,62,0.295,0.279
1985-06-22T04:00,,30.9,53,0.294,0.279
1985-06-22T05:00,,32.8,45,0.293,0.279
1985-06-22T06:00,,34.7,39,0.292,0.279
1985-06-22T07:00,,36.3,34,0.291,0.279
1985-06-22T08:00,,36.3,34,0.29,0.279
1985-06-22T09:00,,34.0,40,0.292,0.279
1985-06-22T10:00,,33.8,40,0.292,0.279
1985-06-22T11:00,,33.3,41,0.291,0.279
1985-06-22T12:00,,32.0,46,0.291,0.279
1985-06-22T13:00,,30.1,53,0.291,0.279
1985-06-22T14:00,,28.8,59,0.29,0.279
1985-06-22T15:00,,27.9,63,0.29,0.279
1985-06-22T16:00,,27.3,67,0.29,0.279
1985-06-22T17:00,,27.0,69,0.29,0.279
1985-06-22T18:00,,26.7,70,0.29,0.279
1985-06-22T19:00,,26.6,71,0.29,0.279
1985-06-22T20:00,,26.4,72,0.29,0.279
1985-06-22T21:00,,26.2,72,0.29,0.279
1985-06-22T22:00,,26.0,73,0.29,0.279
1985-06-22T23:00,,25.9,73,0.29,0.279
1985-06-23T00:00,,25.8,74,0.29,0.279
1985-06-23T01:00,,25.8,74,0.29,0.279
1985-06-23T02:00,,27.1,68,0.29,0.279
1985-06-23T03:00,,28.1,63,0.289,0.279
1985-06-23T04:00,,29.2,58,0.289,0.279
1985-06-23T05:00,,29.1,58,0.289,0.279
1985-06-23T06:00,,30.1,54,0.289,0.279
1985-06-23T07:00,,32.6,44,0.288,0.279
1985-06-23T08:00,,32.2,46,0.288,0.279
1985-06-23T09:00,,31.0,51,0.288,0.279
1985-06-23T10:00,,29.5,58,0.289,0.279
1985-06-23T11:00,,28.6,64,0.29,0.279
1985-06-23T12:00,,27.0,73,0.294,0.279
1985-06-23T13:00,,26.1,77,0.296,0.279
1985-06-23T14:00,,25.5,80,0.299,0.279
1985-06-23T15:00,,24.9,84,0.303,0.279
1985-06-23T16:00,,24.7,85,0.307,0.279
1985-06-23T17:00,,24.5,86,0.31,0.279
1985-06-23T18:00,,24.4,85,0.311,0.279
1985-06-23T19:00,,25.6,73,0.311,0.279
1985-06-23T20:00,,25.7,73,0.312,0.279
1985-06-23T21:00,,25.5,74,0.312,0.279
1985-06-23T22:00,,25.4,75,0.313,0.279
1985-06-23T23:00,,25.2,76,0.313,0.279
