time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,32.9,36,0.137,0.15
1986-06-13T01:00,,33.5,37,0.137,0.15
1986-06-13T02:00,,35.4,35,0.137,0.15
1986-06-13T03:00,,37.3,33,0.137,0.15
1986-06-13T04:00,,39.2,31,0.137,0.15
1986-06-13T05:00,,40.9,28,0.137,0.15
1986-06-13T06:00,,42.1,26,0.137,0.15
1986-06-13T07:00,,42.5,25,0.137,0.15
1986-06-13T08:00,,43.3,23,0.137,0.15
1986-06-13T09:00,,43.4,23,0.137,0.15
1986-06-13T10:00,,43.2,23,0.137,0.15
1986-06-13T11:00,,43.0,23,0.137,0.15
1986-06-13T12:00,,41.8,24,0.137,0.15
1986-06-13T13:00,,40.4,26,0.137,0.15
1986-06-13T14:00,,38.7,27,0.137,0.15
1986-06-13T15:00,,37.6,29,0.137,0.15
1986-06-13T16:00,,36.4,31,0.137,0.15
1986-06-13T17:00,,35.4,33,0.137,0.15
1986-06-13T18:00,,34.4,36,0.137,0.15
1986-06-13T19:00,,34.6,33,0.137,0.15
1986-06-13T20:00,,34.4,33,0.137,0.15
1986-06-13T21:00,,33.9,34,0.137,0.15
1986-06-13T22:00,,33.0,38,0.138,0.15
1986-06-13T23:00,,32.6,38,0.138,0.15
1986-06-14T00:00,,32.1,39,0.138,0.15
1986-06-14T01:00,,32.5,39,0.138,0.15
1986-06-14T02:00,,34.7,35,0.138,0.15
1986-06-14T03:00,,37.0,32,0.138,0.15
1986-06-14T04:00,,38.7,30,0.138,0.15
1986-06-14T05:00,,40.4,28,0.138,0.15
1986-06-14T06:00,,41.7,26,0.138,0.15
1986-06-14T07:00,,40.5,29,0.138,0.15
1986-06-14T08:00,,41.2,28,0.138,0.15
1986-06-14T09:00,,41.7,27,0.138,0.15
1986-06-14T10:00,,41.6,26,0.138,0.15
1986-06-14T11:00,,41.5,26,0.138,0.15
1986-06-14T12:00,,41.1,26,0.138,0.15
1986-06-14T13:00,,40.0,29,0.138,0.15
1986-06-14T14:00,,38.1,33,0.138,0.15
1986-06-14T15:00,,36.8,36,0.138,0.15
1986-06-14T16:00,,36.0,38,0.138,0.15
1986-06-14T17:00,,35.2,41,0.138,0.15
1986-06-14T18:00,,34.5,43,0.138,0.15
1986-06-14T19:00,,33.5,48,0.138,0.15
1986-06-14T20:00,,33.0,50,0.138,0.15
1986-06-14T21:00,,32.6,51,0.138,0.15
1986-06-14T22:00,,32.2,52,0.138,0.15
1986-06-14T23:00,,31.9,53,0.138,0.15
1986-06-15T00:00,,31.6,55,0.138,0.15
1986-06-15T01:00,,31.8,55,0.138,0.15
1986-06-15T02:00,,33.6,50,0.138,0.15
1986-06-15T03:00,,35.4,45,0.138,0.15
1986-06-15T04:00,,37.1,39,0.138,0.15
1986-06-15T05:00,,38.5,35,0.138,0.15
1986-06-15T06:00,,39.8,32,0.138,0.15
1986-06-15T07:00,,41.2,27,0.138,0.15
1986-06-15T08:00,,42.0,25,0.138,0.15
1986-06-15T09:00,,42.7,23,0.138,0.15
1986-06-15T10:00,,42.8,21,0.138,0.15
1986-06-15T11:00,,42.6,22,0.138,0.15
1986-06-15T12:00,,42.1,22,0.138,0.15
1986-06-15T13:00,,40.4,26,0.138,0.15
1986-06-15T14:00,,39.2,29,0.138,0.15
1986-06-15T15:00,,38.1,31,0.138,0.15
1986-06-15T16:00,,37.4,32,0.138,0.15
1986-06-15T17:00,,36.6,34,0.138,0.15
1986-06-15T18:00,,35.7,36,0.138,0.15
1986-06-15T19:00,,33.7,42,0.138,0.15
1986-06-15T20:00,,33.3,44,0.138,0.15
1986-06-15T21:00,,32.9,46,0.138,0.15
1986-06-15T22:00,,32.4,50,0.138,0.15
1986-06-15T23:00,,32.0,54,0.138,0.15
