time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.5,70,0.137,0.151
1986-06-13T01:00,,29.9,69,0.137,0.151
1986-06-13T02:00,,30.9,66,0.137,0.151
1986-06-13T03:00,,32.1,63,0.137,0.151
1986-06-13T04:00,,33.4,58,0.137,0.151
1986-06-13T05:00,,34.1,56,0.138,0.151
1986-06-13T06:00,,34.2,55,0.139,0.151
1986-06-13T07:00,,37.2,45,0.139,0.151
1986-06-13T08:00,,37.6,44,0.139,0.151
1986-06-13T09:00,,37.9,43,0.139,0.151
1986-06-13T10:00,,38.1,42,0.139,0.151
1986-06-13T11:00,,37.9,42,0.139,0.151
1986-06-13T12:00,,37.0,45,0.139,0.151
1986-06-13T13:00,,36.0,48,0.139,0.151
1986-06-13T14:00,,34.7,52,0.139,0.151
1986-06-13T15:00,,33.9,56,0.139,0.151
1986-06-13T16:00,,33.2,59,0.139,0.151
1986-06-13T17:00,,32.5,62,0.139,0.151
1986-06-13T18:00,,31.9,65,0.139,0.151
1986-06-13T19:00,,30.5,72,0.139,0.151
1986-06-13T20:00,,29.9,75,0.139,0.151
1986-06-13T21:00,,29.2,78,0.14,0.151
1986-06-13T22:00,,28.6,81,0.141,0.151
1986-06-13T23:00,,28.3,82,0.141,0.151
1986-06-14T00:00,,28.1,83,0.141,0.151
1986-06-14T01:00,,28.7,79,0.141,0.151
1986-06-14T02:00,,29.7,74,0.144,0.151
1986-06-14T03:00,,29.9,75,0.158,0.151
1986-06-14T04:00,,31.9,65,0.158,0.151
1986-06-14T05:00,,33.4,59,0.158,0.151
1986-06-14T06:00,,34.5,54,0.158,0.151
1986-06-14T07:00,,34.9,53,0.157,0.151
1986-06-14T08:00,,36.0,49,0.156,0.151
1986-06-14T09:00,,36.5,47,0.156,0.151
1986-06-14T10:00,,36.8,46,0.155,0.151
1986-06-14T11:00,,36.7,46,0.155,0.151
1986-06-14T12:00,,36.3,47,0.155,0.151
1986-06-14T13:00,,35.5,50,0.154,0.151
1986-06-14T14:00,,34.2,55,0.154,0.151
1986-06-14T15:00,,33.4,57,0.154,0.151
1986-06-14T16:00,,32.6,60,0.154,0.151
1986-06-14T17:00,,32.1,62,0.154,0.151
1986-06-14T18:00,,31.4,65,0.154,0.151
1986-06-14T19:00,,31.0,63,0.154,0.151
1986-06-14T20:00,,30.5,66,0.154,0.151
1986-06-14T21:00,,30.1,68,0.154,0.151
1986-06-14T22:00,,29.8,71,0.154,0.151
1986-06-14T23:00,,29.4,74,0.154,0.151
1986-06-15T00:00,,29.1,76,0.154,0.151
1986-06-15T01:00,,29.6,74,0.153,0.151
1986-06-15T02:00,,30.6,70,0.153,0.151
1986-06-15T03:00,,32.0,64,0.153,0.151
1986-06-15T04:00,,33.5,58,0.153,0.151
1986-06-15T05:00,,34.9,53,0.153,0.151
1986-06-15T06:00,,36.1,50,0.152,0.151
1986-06-15T07:00,,36.0,50,0.152,0.151
1986-06-15T08:00,,36.2,48,0.151,0.151
1986-06-15T09:00,,36.4,47,0.151,0.151
1986-06-15T10:00,,36.6,46,0.151,0.151
1986-06-15T11:00,,36.0,46,0.151,0.151
1986-06-15T12:00,,35.7,47,0.151,0.151
1986-06-15T13:00,,34.8,50,0.151,0.151
1986-06-15T14:00,,33.8,53,0.15,0.151
1986-06-15T15:00,,32.9,56,0.15,0.151
1986-06-15T16:00,,32.2,59,0.15,0.151
1986-06-15T17:00,,31.6,61,0.15,0.151
1986-06-15T18:00,,31.0,65,0.15,0.151
1986-06-15T19:00,,30.4,70,0.15,0.151
1986-06-15T20:00,,30.0,72,0.15,0.151
1986-06-15T21:00,,29.6,75,0.15,0.151
1986-06-15T22:00,,29.2,77,0.15,0.151
1986-06-15T23:00,,28.6,80,0.15,0.151
