time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,24.5,96,0.394,0.308
1985-09-11T01:00,,24.6,96,0.389,0.31
1985-09-11T02:00,,25.6,90,0.385,0.311
1985-09-11T03:00,,26.9,86,0.382,0.312
1985-09-11T04:00,,27.8,83,0.379,0.313
1985-09-11T05:00,,28.3,82,0.377,0.313
1985-09-11T06:00,,28.8,78,0.377,0.314
1985-09-11T07:00,,27.8,85,0.376,0.314
1985-09-11T08:00,,28.7,79,0.375,0.315
1985-09-11T09:00,,26.3,86,0.439,0.316
1985-09-11T10:00,,25.9,92,0.363,0.343
1985-09-11T11:00,,26.0,88,0.364,0.343
1985-09-11T12:00,,25.8,89,0.363,0.344
1985-09-11T13:00,,25.5,91,0.363,0.344
1985-09-11T14:00,,25.2,92,0.364,0.344
1985-09-11T15:00,,24.9,94,0.365,0.344
1985-09-11T16:00,,24.8,95,0.366,0.344
1985-09-11T17:00,,24.7,96,0.372,0.345
1985-09-11T18:00,,24.7,96,0.376,0.345
1985-09-11T19:00,,24.9,94,0.388,0.346
1985-09-11T20:00,,24.6,95,0.405,0.347
1985-09-11T21:00,,24.7,95,0.407,0.348
1985-09-11T22:00,,24.7,95,0.406,0.35
1985-09-11T23:00,,24.6,95,0.405,0.351
1985-09-12T00:00,,24.6,95,0.407,0.353
1985-09-12T01:00,,24.6,95,0.414,0.355
1985-09-12T02:00,,25.2,94,0.409,0.357
1985-09-12T03:00,,25.8,93,0.404,0.358
1985-09-12T04:00,,26.9,90,0.401,0.359
1985-09-12T05:00,,28.5,86,0.398,0.36
1985-09-12T06:00,,29.8,73,0.394,0.36
1985-09-12T07:00,,30.4,79,0.391,0.36
1985-09-12T08:00,,31.1,71,0.388,0.36
1985-09-12T09:00,,30.5,73,0.395,0.36
1985-09-12T10:00,,30.5,71,0.393,0.36
1985-09-12T11:00,,29.3,76,0.41,0.361
1985-09-12T12:00,,27.3,85,0.439,0.363
1985-09-12T13:00,,26.6,88,0.382,0.383
1985-09-12T14:00,,26.1,91,0.382,0.383
1985-09-12T15:00,,26.0,91,0.382,0.383
1985-09-12T16:00,,26.0,91,0.381,0.382
1985-09-12T17:00,,25.9,92,0.381,0.382
1985-09-12T18:00,,25.8,93,0.38,0.382
1985-09-12T19:00,,26.2,90,0.38,0.382
1985-09-12T20:00,,26.2,90,0.38,0.382
1985-09-12T21:00,,26.0,91,0.379,0.382
1985-09-12T22:00,,25.7,91,0.38,0.381
1985-09-12T23:00,,25.5,92,0.383,0.381
1985-09-13T00:00,,25.2,93,0.388,0.381
1985-09-13T01:00,,25.1,94,0.407,0.381
1985-09-13T02:00,,25.6,91,0.429,0.383
1985-09-13T03:00,,26.5,90,0.421,0.386
1985-09-13T04:00,,27.4,88,0.417,0.387
1985-09-13T05:00,,28.9,82,0.414,0.388
1985-09-13T06:00,,30.0,73,0.411,0.389
1985-09-13T07:00,,30.3,79,0.413,0.389
1985-09-13T08:00,,30.5,72,0.426,0.39
1985-09-13T09:00,,29.2,77,0.439,0.394
1985-09-13T10:00,,29.6,75,0.394,0.408
1985-09-13T11:00,,29.2,77,0.398,0.407
1985-09-13T12:00,,27.6,85,0.42,0.407
1985-09-13T13:00,,26.7,89,0.43,0.408
1985-09-13T14:00,,26.5,90,0.424,0.409
1985-09-13T15:00,,26.2,91,0.421,0.41
1985-09-13T16:00,,25.8,93,0.426,0.41
1985-09-13T17:00,,25.4,96,0.426,0.411
1985-09-13T18:00,,25.3,95,0.425,0.412
1985-09-13T19:00,,25.8,94,0.426,0.413
1985-09-13T20:00,,25.4,95,0.428,0.413
1985-09-13T21:00,,25.2,96,0.425,0.414
1985-09-13T22:00,,25.0,97,0.424,0.414
1985-09-13T23:00,,24.6,97,0.439,0.416
