time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.4,65,0.137,0.151
1986-06-13T01:00,,30.8,64,0.137,0.151
1986-06-13T02:00,,31.9,61,0.137,0.151
1986-06-13T03:00,,33.4,56,0.137,0.151
1986-06-13T04:00,,35.2,51,0.137,0.151
1986-06-13T05:00,,36.8,46,0.137,0.151
1986-06-13T06:00,,38.0,44,0.137,0.151
1986-06-13T07:00,,39.0,40,0.137,0.151
1986-06-13T08:00,,39.7,38,0.137,0.151
1986-06-13T09:00,,39.8,37,0.137,0.151
1986-06-13T10:00,,40.1,36,0.137,0.151
1986-06-13T11:00,,39.8,36,0.137,0.151
1986-06-13T12:00,,39.3,37,0.137,0.151
1986-06-13T13:00,,38.4,40,0.137,0.151
1986-06-13T14:00,,36.9,43,0.137,0.151
1986-06-13T15:00,,35.8,46,0.137,0.151
1986-06-13T16:00,,35.1,49,0.137,0.151
1986-06-13T17:00,,34.2,52,0.137,0.151
1986-06-13T18:00,,33.6,55,0.137,0.151
1986-06-13T19:00,,32.4,62,0.137,0.151
1986-06-13T20:00,,31.7,66,0.137,0.151
1986-06-13T21:00,,31.2,68,0.137,0.151
1986-06-13T22:00,,30.7,71,0.137,0.151
1986-06-13T23:00,,30.1,74,0.137,0.151
1986-06-14T00:00,,29.6,76,0.137,0.151
1986-06-14T01:00,,29.7,75,0.137,0.151
1986-06-14T02:00,,30.9,70,0.137,0.151
1986-06-14T03:00,,32.6,63,0.137,0.151
1986-06-14T04:00,,34.4,56,0.137,0.151
1986-06-14T05:00,,35.9,51,0.137,0.151
1986-06-14T06:00,,36.4,49,0.137,0.151
1986-06-14T07:00,,36.1,49,0.137,0.151
1986-06-14T08:00,,37.1,45,0.137,0.151
1986-06-14T09:00,,37.2,44,0.137,0.151
1986-06-14T10:00,,37.4,43,0.137,0.151
1986-06-14T11:00,,37.4,43,0.137,0.151
1986-06-14T12:00,,37.2,44,0.137,0.151
1986-06-14T13:00,,36.4,47,0.137,0.151
1986-06-14T14:00,,35.1,50,0.137,0.151
1986-06-14T15:00,,34.2,53,0.137,0.151
1986-06-14T16:00,,33.6,55,0.137,0.151
1986-06-14T17:00,,33.1,56,0.137,0.151
1986-06-14T18:00,,32.6,58,0.137,0.151
1986-06-14T19:00,,31.9,58,0.137,0.151
1986-06-14T20:00,,31.5,60,0.137,0.151
1986-06-14T21:00,,30.9,62,0.137,0.151
1986-06-14T22:00,,30.2,65,0.138,0.151
1986-06-14T23:00,,29.9,67,0.138,0.151
1986-06-15T00:00,,29.6,69,0.138,0.151
1986-06-15T01:00,,29.8,69,0.139,0.151
1986-06-15T02:00,,29.7,72,0.151,0.151
1986-06-15T03:00,,31.2,66,0.15,0.151
1986-06-15T04:00,,33.8,56,0.15,0.151
1986-06-15T05:00,,35.4,50,0.15,0.151
1986-06-15T06:00,,36.8,46,0.15,0.151
1986-06-15T07:00,,37.7,44,0.149,0.151
1986-06-15T08:00,,38.0,42,0.149,0.151
1986-06-15T09:00,,38.3,41,0.148,0.151
1986-06-15T10:00,,38.2,41,0.148,0.151
1986-06-15T11:00,,37.9,42,0.148,0.151
1986-06-15T12:00,,36.9,44,0.148,0.151
1986-06-15T13:00,,35.7,48,0.148,0.151
1986-06-15T14:00,,34.5,52,0.148,0.151
1986-06-15T15:00,,33.8,54,0.148,0.151
1986-06-15T16:00,,33.2,56,0.147,0.151
1986-06-15T17:00,,32.7,56,0.147,0.151
1986-06-15T18:00,,32.1,57,0.147,0.151
1986-06-15T19:00,,31.1,65,0.148,0.151
1986-06-15T20:00,,30.1,70,0.149,0.151
1986-06-15T21:00,,29.3,74,0.15,0.151
1986-06-15T22:00,,28.4,79,0.157,0.151
1986-06-15T23:00,,27.5,87,0.178,0.151
