time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.6,59,0.133,0.15
1986-06-13T01:00,,31.3,59,0.133,0.15
1986-06-13T02:00,,33.4,52,0.133,0.15
1986-06-13T03:00,,35.3,45,0.133,0.15
1986-06-13T04:00,,37.2,37,0.133,0.15
1986-06-13T05:00,,39.2,30,0.133,0.15
1986-06-13T06:00,,40.9,26,0.133,0.15
1986-06-13T07:00,,41.1,29,0.133,0.15
1986-06-13T08:00,,42.1,26,0.133,0.15
1986-06-13T09:00,,42.6,24,0.133,0.15
1986-06-13T10:00,,42.9,21,0.133,0.15
1986-06-13T11:00,,42.8,20,0.133,0.15
1986-06-13T12:00,,42.4,20,0.133,0.15
1986-06-13T13:00,,41.3,22,0.133,0.15
1986-06-13T14:00,,39.8,24,0.133,0.15
1986-06-13T15:00,,38.5,27,0.133,0.15
1986-06-13T16:00,,36.6,32,0.133,0.15
1986-06-13T17:00,,36.2,31,0.133,0.15
1986-06-13T18:00,,35.7,32,0.133,0.15
1986-06-13T19:00,,34.3,41,0.133,0.15
1986-06-13T20:00,,33.9,44,0.133,0.15
1986-06-13T21:00,,33.5,47,0.133,0.15
1986-06-13T22:00,,33.0,50,0.133,0.15
1986-06-13T23:00,,32.5,54,0.133,0.15
1986-06-14T00:00,,32.1,58,0.133,0.15
1986-06-14T01:00,,32.5,58,0.133,0.15
1986-06-14T02:00,,34.0,54,0.133,0.15
1986-06-14T03:00,,35.8,47,0.133,0.15
1986-06-14T04:00,,37.3,42,0.133,0.15
1986-06-14T05:00,,38.8,38,0.133,0.15
1986-06-14T06:00,,39.9,35,0.133,0.15
1986-06-14T07:00,,39.1,39,0.133,0.15
1986-06-14T08:00,,39.6,37,0.133,0.15
1986-06-14T09:00,,40.0,35,0.133,0.15
1986-06-14T10:00,,39.8,35,0.134,0.15
1986-06-14T11:00,,38.5,37,0.141,0.15
1986-06-14T12:00,,38.3,37,0.141,0.15
1986-06-14T13:00,,37.7,39,0.141,0.15
1986-06-14T14:00,,36.6,41,0.141,0.15
1986-06-14T15:00,,35.6,44,0.141,0.15
1986-06-14T16:00,,34.8,47,0.141,0.15
1986-06-14T17:00,,34.2,49,0.141,0.15
1986-06-14T18:00,,33.7,50,0.141,0.15
1986-06-14T19:00,,33.3,54,0.141,0.15
1986-06-14T20:00,,33.0,56,0.141,0.15
1986-06-14T21:00,,32.6,57,0.141,0.15
1986-06-14T22:00,,32.3,58,0.14,0.15
1986-06-14T23:00,,31.9,59,0.14,0.15
1986-06-15T00:00,,31.5,60,0.14,0.15
1986-06-15T01:00,,31.7,60,0.14,0.15
1986-06-15T02:00,,32.2,59,0.14,0.15
1986-06-15T03:00,,33.1,55,0.14,0.15
1986-06-15T04:00,,34.6,51,0.14,0.15
1986-06-15T05:00,,36.3,46,0.14,0.15
1986-06-15T06:00,,37.9,42,0.14,0.15
1986-06-15T07:00,,39.6,37,0.139,0.15
1986-06-15T08:00,,40.4,34,0.139,0.15
1986-06-15T09:00,,40.8,33,0.139,0.15
1986-06-15T10:00,,41.0,31,0.138,0.15
1986-06-15T11:00,,40.9,29,0.138,0.15
1986-06-15T12:00,,40.6,29,0.138,0.15
1986-06-15T13:00,,39.7,31,0.138,0.15
1986-06-15T14:00,,37.7,36,0.138,0.15
1986-06-15T15:00,,36.4,40,0.138,0.15
1986-06-15T16:00,,35.4,43,0.138,0.15
1986-06-15T17:00,,34.9,46,0.138,0.15
1986-06-15T18:00,,34.2,49,0.138,0.15
1986-06-15T19:00,,33.3,57,0.138,0.15
1986-06-15T20:00,,32.7,60,0.138,0.15
1986-06-15T21:00,,32.2,61,0.138,0.15
1986-06-15T22:00,,31.9,62,0.138,0.15
1986-06-15T23:00,,31.5,62,0.138,0.15
