time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,24.6,97,0.392,0.351
1985-09-11T01:00,,24.8,96,0.39,0.351
1985-09-11T02:00,,25.7,91,0.388,0.352
1985-09-11T03:00,,26.4,88,0.391,0.353
1985-09-11T04:00,,27.1,84,0.391,0.353
1985-09-11T05:00,,27.7,83,0.394,0.354
1985-09-11T06:00,,28.7,82,0.391,0.354
1985-09-11T07:00,,28.8,81,0.389,0.355
1985-09-11T08:00,,27.3,81,0.421,0.355
1985-09-11T09:00,,26.6,86,0.415,0.358
1985-09-11T10:00,,25.8,90,0.416,0.361
1985-09-11T11:00,,25.8,88,0.412,0.363
1985-09-11T12:00,,25.6,89,0.411,0.364
1985-09-11T13:00,,24.9,94,0.415,0.366
1985-09-11T14:00,,24.8,95,0.421,0.368
1985-09-11T15:00,,24.8,95,0.425,0.371
1985-09-11T16:00,,24.8,95,0.425,0.374
1985-09-11T17:00,,24.8,95,0.426,0.378
1985-09-11T18:00,,24.9,95,0.428,0.381
1985-09-11T19:00,,25.1,94,0.421,0.384
1985-09-11T20:00,,25.0,94,0.42,0.386
1985-09-11T21:00,,24.9,94,0.421,0.388
1985-09-11T22:00,,24.9,94,0.421,0.39
1985-09-11T23:00,,24.8,94,0.424,0.392
1985-09-12T00:00,,24.8,94,0.424,0.394
1985-09-12T01:00,,24.8,94,0.421,0.395
1985-09-12T02:00,,25.3,93,0.416,0.396
1985-09-12T03:00,,26.3,89,0.413,0.397
1985-09-12T04:00,,27.6,85,0.41,0.397
1985-09-12T05:00,,28.7,82,0.407,0.397
1985-09-12T06:00,,29.7,79,0.404,0.397
1985-09-12T07:00,,31.1,71,0.4,0.396
1985-09-12T08:00,,31.2,70,0.401,0.395
1985-09-12T09:00,,30.6,71,0.409,0.395
1985-09-12T10:00,,30.1,72,0.422,0.395
1985-09-12T11:00,,29.1,76,0.424,0.397
1985-09-12T12:00,,28.2,82,0.421,0.398
1985-09-12T13:00,,27.7,85,0.417,0.399
1985-09-12T14:00,,27.3,87,0.413,0.4
1985-09-12T15:00,,26.9,88,0.411,0.4
1985-09-12T16:00,,26.7,89,0.409,0.4
1985-09-12T17:00,,26.6,89,0.407,0.4
1985-09-12T18:00,,26.4,90,0.405,0.4
1985-09-12T19:00,,26.7,86,0.404,0.4
1985-09-12T20:00,,26.5,87,0.403,0.4
1985-09-12T21:00,,26.3,89,0.401,0.4
1985-09-12T22:00,,26.2,90,0.4,0.4
1985-09-12T23:00,,26.0,91,0.4,0.4
1985-09-13T00:00,,25.9,92,0.4,0.399
1985-09-13T01:00,,25.6,92,0.415,0.399
1985-09-13T02:00,,26.2,91,0.421,0.4
1985-09-13T03:00,,27.1,90,0.419,0.401
1985-09-13T04:00,,28.3,84,0.417,0.402
1985-09-13T05:00,,29.8,77,0.414,0.402
1985-09-13T06:00,,30.5,71,0.411,0.402
1985-09-13T07:00,,31.0,71,0.409,0.401
1985-09-13T08:00,,31.1,71,0.407,0.401
1985-09-13T09:00,,31.0,70,0.405,0.4
1985-09-13T10:00,,31.0,69,0.403,0.4
1985-09-13T11:00,,29.4,77,0.413,0.4
1985-09-13T12:00,,28.0,85,0.432,0.4
1985-09-13T13:00,,27.2,87,0.427,0.404
1985-09-13T14:00,,26.7,89,0.421,0.405
1985-09-13T15:00,,26.5,90,0.417,0.406
1985-09-13T16:00,,26.2,92,0.417,0.406
1985-09-13T17:00,,25.8,93,0.435,0.407
1985-09-13T18:00,,25.5,93,0.439,0.412
1985-09-13T19:00,,25.8,93,0.409,0.425
1985-09-13T20:00,,25.5,94,0.425,0.424
1985-09-13T21:00,,25.2,94,0.439,0.424
1985-09-13T22:00,,25.0,95,0.419,0.435
1985-09-13T23:00,,24.7,96,0.425,0.432
