time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.7,69,0.137,0.151
1986-06-13T01:00,,30.0,68,0.137,0.151
1986-06-13T02:00,,31.1,65,0.137,0.151
1986-06-13T03:00,,32.4,61,0.137,0.151
1986-06-13T04:00,,34.1,55,0.137,0.151
1986-06-13T05:00,,35.6,50,0.137,0.151
1986-06-13T06:00,,36.1,48,0.137,0.151
1986-06-13T07:00,,37.9,43,0.137,0.151
1986-06-13T08:00,,38.4,41,0.137,0.151
1986-06-13T09:00,,38.6,40,0.137,0.151
1986-06-13T10:00,,38.8,39,0.137,0.151
1986-06-13T11:00,,38.6,39,0.137,0.151
1986-06-13T12:00,,37.8,41,0.137,0.151
1986-06-13T13:00,,36.7,45,0.137,0.151
1986-06-13T14:00,,35.4,49,0.137,0.151
1986-06-13T15:00,,34.6,52,0.137,0.151
1986-06-13T16:00,,33.9,55,0.137,0.151
1986-06-13T17:00,,33.3,57,0.137,0.151
1986-06-13T18:00,,32.6,60,0.137,0.151
1986-06-13T19:00,,30.9,68,0.137,0.151
1986-06-13T20:00,,30.2,71,0.138,0.151
1986-06-13T21:00,,29.6,74,0.138,0.151
1986-06-13T22:00,,29.0,77,0.138,0.151
1986-06-13T23:00,,28.5,79,0.138,0.151
1986-06-14T00:00,,28.3,81,0.138,0.151
1986-06-14T01:00,,28.7,78,0.138,0.151
1986-06-14T02:00,,29.9,72,0.138,0.151
1986-06-14T03:00,,30.5,70,0.14,0.151
1986-06-14T04:00,,32.5,61,0.138,0.151
1986-06-14T05:00,,33.4,58,0.141,0.151
1986-06-14T06:00,,33.6,58,0.145,0.151
1986-06-14T07:00,,34.7,52,0.145,0.151
1986-06-14T08:00,,36.0,48,0.145,0.151
1986-06-14T09:00,,36.3,47,0.144,0.151
1986-06-14T10:00,,36.7,46,0.144,0.151
1986-06-14T11:00,,36.6,46,0.144,0.151
1986-06-14T12:00,,36.3,46,0.144,0.151
1986-06-14T13:00,,35.7,48,0.144,0.151
1986-06-14T14:00,,34.4,53,0.144,0.151
1986-06-14T15:00,,33.6,55,0.144,0.151
1986-06-14T16:00,,32.9,58,0.144,0.151
1986-06-14T17:00,,32.2,61,0.144,0.151
1986-06-14T18:00,,31.7,63,0.144,0.151
1986-06-14T19:00,,31.1,63,0.144,0.151
1986-06-14T20:00,,30.7,64,0.144,0.151
1986-06-14T21:00,,30.3,66,0.144,0.151
1986-06-14T22:00,,30.0,67,0.144,0.151
1986-06-14T23:00,,29.6,70,0.144,0.151
1986-06-15T00:00,,29.3,72,0.144,0.151
1986-06-15T01:00,,29.8,71,0.144,0.151
1986-06-15T02:00,,30.7,69,0.144,0.151
1986-06-15T03:00,,32.1,63,0.143,0.151
1986-06-15T04:00,,33.6,58,0.144,0.151
1986-06-15T05:00,,35.0,53,0.143,0.151
1986-06-15T06:00,,36.3,49,0.143,0.151
1986-06-15T07:00,,36.6,49,0.143,0.151
1986-06-15T08:00,,36.8,48,0.143,0.151
1986-06-15T09:00,,36.8,47,0.143,0.151
1986-06-15T10:00,,36.8,46,0.142,0.151
1986-06-15T11:00,,36.4,47,0.142,0.151
1986-06-15T12:00,,35.8,48,0.142,0.151
1986-06-15T13:00,,35.0,50,0.142,0.151
1986-06-15T14:00,,34.0,53,0.142,0.151
1986-06-15T15:00,,33.2,55,0.142,0.151
1986-06-15T16:00,,32.5,58,0.142,0.151
1986-06-15T17:00,,31.9,60,0.142,0.151
1986-06-15T18:00,,31.2,63,0.142,0.151
1986-06-15T19:00,,30.3,71,0.142,0.151
1986-06-15T20:00,,29.9,72,0.143,0.151
1986-06-15T21:00,,29.4,75,0.146,0.151
1986-06-15T22:00,,28.8,78,0.15,0.151
1986-06-15T23:00,,28.6,80,0.15,0.151
