time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,24.9,97,0.396,0.342
1985-09-11T01:00,,25.3,96,0.392,0.343
1985-09-11T02:00,,26.2,92,0.39,0.344
1985-09-11T03:00,,27.0,91,0.389,0.345
1985-09-11T04:00,,28.2,83,0.39,0.346
1985-09-11T05:00,,28.6,81,0.39,0.346
1985-09-11T06:00,,27.4,81,0.439,0.348
1985-09-11T07:00,,26.1,91,0.385,0.372
1985-09-11T08:00,,25.6,94,0.39,0.373
1985-09-11T09:00,,25.8,93,0.39,0.373
1985-09-11T10:00,,26.1,92,0.389,0.373
1985-09-11T11:00,,26.6,90,0.388,0.373
1985-09-11T12:00,,26.1,91,0.396,0.374
1985-09-11T13:00,,25.4,94,0.405,0.374
1985-09-11T14:00,,25.3,95,0.414,0.376
1985-09-11T15:00,,25.3,94,0.415,0.377
1985-09-11T16:00,,25.2,95,0.414,0.379
1985-09-11T17:00,,25.2,95,0.411,0.38
1985-09-11T18:00,,25.1,96,0.409,0.381
1985-09-11T19:00,,25.2,95,0.41,0.382
1985-09-11T20:00,,25.1,95,0.41,0.383
1985-09-11T21:00,,25.0,95,0.407,0.384
1985-09-11T22:00,,24.9,95,0.404,0.385
1985-09-11T23:00,,24.8,95,0.402,0.385
1985-09-12T00:00,,24.7,95,0.4,0.386
1985-09-12T01:00,,24.8,94,0.398,0.386
1985-09-12T02:00,,25.9,90,0.397,0.386
1985-09-12T03:00,,27.3,82,0.396,0.386
1985-09-12T04:00,,28.4,77,0.394,0.386
1985-09-12T05:00,,29.3,73,0.391,0.385
1985-09-12T06:00,,30.1,71,0.389,0.384
1985-09-12T07:00,,30.7,67,0.387,0.384
1985-09-12T08:00,,31.1,65,0.384,0.383
1985-09-12T09:00,,31.0,65,0.382,0.382
1985-09-12T10:00,,30.8,67,0.38,0.381
1985-09-12T11:00,,30.3,71,0.378,0.381
1985-09-12T12:00,,29.6,75,0.378,0.38
1985-09-12T13:00,,28.6,79,0.377,0.38
1985-09-12T14:00,,27.9,82,0.377,0.38
1985-09-12T15:00,,27.5,83,0.376,0.38
1985-09-12T16:00,,27.3,85,0.376,0.38
1985-09-12T17:00,,27.0,86,0.376,0.38
1985-09-12T18:00,,26.8,86,0.375,0.38
1985-09-12T19:00,,27.0,84,0.375,0.38
1985-09-12T20:00,,26.8,85,0.375,0.38
1985-09-12T21:00,,26.6,86,0.374,0.38
1985-09-12T22:00,,26.4,86,0.374,0.38
1985-09-12T23:00,,26.1,87,0.374,0.379
1985-09-13T00:00,,26.0,88,0.374,0.379
1985-09-13T01:00,,26.1,89,0.373,0.379
1985-09-13T02:00,,27.0,86,0.373,0.379
1985-09-13T03:00,,28.1,82,0.372,0.378
1985-09-13T04:00,,29.1,81,0.371,0.378
1985-09-13T05:00,,30.0,79,0.37,0.377
1985-09-13T06:00,,30.7,77,0.368,0.376
1985-09-13T07:00,,31.6,69,0.367,0.375
1985-09-13T08:00,,31.8,67,0.365,0.374
1985-09-13T09:00,,31.9,65,0.364,0.373
1985-09-13T10:00,,30.5,69,0.364,0.373
1985-09-13T11:00,,29.8,73,0.364,0.372
1985-09-13T12:00,,29.2,77,0.363,0.372
1985-09-13T13:00,,28.5,80,0.363,0.372
1985-09-13T14:00,,28.0,82,0.363,0.372
1985-09-13T15:00,,27.6,83,0.363,0.372
1985-09-13T16:00,,27.3,85,0.363,0.372
1985-09-13T17:00,,26.9,87,0.362,0.371
1985-09-13T18:00,,26.6,88,0.362,0.371
1985-09-13T19:00,,26.6,90,0.363,0.371
1985-09-13T20:00,,26.4,90,0.363,0.371
1985-09-13T21:00,,26.2,90,0.363,0.371
1985-09-13T22:00,,26.0,90,0.364,0.371
1985-09-13T23:00,,25.8,91,0.364,0.371
