time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.4,72,0.142,0.151
1986-06-13T01:00,,29.5,71,0.142,0.151
1986-06-13T02:00,,30.4,68,0.142,0.151
1986-06-13T03:00,,31.6,64,0.142,0.151
1986-06-13T04:00,,32.1,63,0.142,0.151
1986-06-13T05:00,,32.5,61,0.142,0.151
1986-06-13T06:00,,33.6,57,0.142,0.151
1986-06-13T07:00,,37.0,47,0.142,0.151
1986-06-13T08:00,,37.7,45,0.142,0.151
1986-06-13T09:00,,38.1,43,0.142,0.151
1986-06-13T10:00,,38.3,42,0.142,0.151
1986-06-13T11:00,,37.9,43,0.141,0.151
1986-06-13T12:00,,37.0,45,0.141,0.151
1986-06-13T13:00,,35.7,50,0.141,0.151
1986-06-13T14:00,,34.3,55,0.141,0.151
1986-06-13T15:00,,33.3,59,0.141,0.151
1986-06-13T16:00,,32.7,62,0.141,0.151
1986-06-13T17:00,,32.1,65,0.141,0.151
1986-06-13T18:00,,31.6,68,0.141,0.151
1986-06-13T19:00,,30.2,75,0.141,0.151
1986-06-13T20:00,,29.3,78,0.141,0.151
1986-06-13T21:00,,28.5,80,0.141,0.151
1986-06-13T22:00,,28.1,81,0.141,0.151
1986-06-13T23:00,,27.8,82,0.141,0.151
1986-06-14T00:00,,27.7,83,0.141,0.151
1986-06-14T01:00,,28.4,79,0.141,0.151
1986-06-14T02:00,,29.7,73,0.141,0.151
1986-06-14T03:00,,30.2,72,0.156,0.151
1986-06-14T04:00,,31.5,67,0.162,0.151
1986-06-14T05:00,,33.4,59,0.161,0.151
1986-06-14T06:00,,35.3,52,0.16,0.151
1986-06-14T07:00,,35.6,50,0.16,0.151
1986-06-14T08:00,,36.4,47,0.159,0.151
1986-06-14T09:00,,37.1,45,0.158,0.151
1986-06-14T10:00,,37.3,44,0.158,0.151
1986-06-14T11:00,,37.3,44,0.157,0.151
1986-06-14T12:00,,36.5,46,0.157,0.151
1986-06-14T13:00,,35.6,49,0.157,0.151
1986-06-14T14:00,,34.4,53,0.157,0.151
1986-06-14T15:00,,33.6,55,0.157,0.151
1986-06-14T16:00,,32.9,58,0.157,0.151
1986-06-14T17:00,,32.3,61,0.156,0.151
1986-06-14T18:00,,31.7,64,0.156,0.151
1986-06-14T19:00,,30.9,64,0.156,0.151
1986-06-14T20:00,,30.4,67,0.156,0.151
1986-06-14T21:00,,30.0,70,0.156,0.151
1986-06-14T22:00,,29.7,73,0.156,0.151
1986-06-14T23:00,,29.3,75,0.156,0.151
1986-06-15T00:00,,29.1,77,0.156,0.151
1986-06-15T01:00,,29.6,76,0.156,0.151
1986-06-15T02:00,,30.6,71,0.156,0.151
1986-06-15T03:00,,32.1,65,0.156,0.151
1986-06-15T04:00,,33.7,58,0.155,0.151
1986-06-15T05:00,,35.0,53,0.155,0.151
1986-06-15T06:00,,36.3,49,0.154,0.151
1986-06-15T07:00,,35.2,52,0.154,0.151
1986-06-15T08:00,,35.7,50,0.153,0.151
1986-06-15T09:00,,36.0,48,0.153,0.151
1986-06-15T10:00,,36.3,46,0.152,0.151
1986-06-15T11:00,,36.2,46,0.152,0.151
1986-06-15T12:00,,35.7,47,0.152,0.151
1986-06-15T13:00,,34.9,49,0.152,0.151
1986-06-15T14:00,,33.8,52,0.152,0.151
1986-06-15T15:00,,32.9,55,0.152,0.151
1986-06-15T16:00,,32.0,59,0.151,0.151
1986-06-15T17:00,,31.2,64,0.151,0.151
1986-06-15T18:00,,30.5,68,0.151,0.151
1986-06-15T19:00,,29.9,74,0.153,0.151
1986-06-15T20:00,,29.3,78,0.154,0.151
1986-06-15T21:00,,28.9,80,0.154,0.151
1986-06-15T22:00,,28.4,82,0.154,0.151
1986-06-15T23:00,,28.1,83,0.154,0.151
