time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.4,96,0.354,0.334
1985-09-11T01:00,,25.4,95,0.353,0.335
1985-09-11T02:00,,25.9,92,0.353,0.335
1985-09-11T03:00,,26.6,88,0.352,0.335
1985-09-11T04:00,,27.7,84,0.351,0.335
1985-09-11T05:00,,28.3,84,0.352,0.335
1985-09-11T06:00,,29.0,83,0.353,0.334
1985-09-11T07:00,,28.5,83,0.353,0.334
1985-09-11T08:00,,29.0,82,0.354,0.334
1985-09-11T09:00,,29.8,80,0.352,0.334
1985-09-11T10:00,,29.9,76,0.354,0.334
1985-09-11T11:00,,26.3,87,0.439,0.334
1985-09-11T12:00,,25.6,93,0.381,0.361
1985-09-11T13:00,,25.5,94,0.388,0.362
1985-09-11T14:00,,25.4,94,0.392,0.362
1985-09-11T15:00,,25.5,93,0.393,0.363
1985-09-11T16:00,,25.5,93,0.394,0.363
1985-09-11T17:00,,25.4,92,0.394,0.364
1985-09-11T18:00,,25.2,91,0.399,0.365
1985-09-11T19:00,,25.1,89,0.401,0.366
1985-09-11T20:00,,24.8,89,0.405,0.367
1985-09-11T21:00,,24.6,89,0.409,0.368
1985-09-11T22:00,,24.4,90,0.414,0.369
1985-09-11T23:00,,24.4,90,0.414,0.371
1985-09-12T00:00,,24.4,89,0.411,0.373
1985-09-12T01:00,,24.5,91,0.408,0.374
1985-09-12T02:00,,24.8,91,0.405,0.375
1985-09-12T03:00,,25.7,87,0.403,0.376
1985-09-12T04:00,,26.3,83,0.401,0.376
1985-09-12T05:00,,27.3,77,0.398,0.377
1985-09-12T06:00,,28.0,75,0.395,0.377
1985-09-12T07:00,,30.7,68,0.391,0.376
1985-09-12T08:00,,31.4,68,0.388,0.376
1985-09-12T09:00,,31.7,65,0.385,0.375
1985-09-12T10:00,,30.5,71,0.394,0.375
1985-09-12T11:00,,29.9,74,0.394,0.375
1985-09-12T12:00,,29.4,78,0.393,0.375
1985-09-12T13:00,,28.6,83,0.391,0.376
1985-09-12T14:00,,27.6,87,0.39,0.376
1985-09-12T15:00,,27.1,90,0.389,0.376
1985-09-12T16:00,,26.6,93,0.388,0.376
1985-09-12T17:00,,26.2,94,0.387,0.377
1985-09-12T18:00,,26.2,93,0.39,0.377
1985-09-12T19:00,,26.5,91,0.389,0.377
1985-09-12T20:00,,26.4,92,0.388,0.377
1985-09-12T21:00,,26.4,90,0.39,0.377
1985-09-12T22:00,,25.9,91,0.404,0.378
1985-09-12T23:00,,25.6,91,0.417,0.379
1985-09-13T00:00,,25.3,92,0.424,0.381
1985-09-13T01:00,,25.2,93,0.434,0.384
1985-09-13T02:00,,25.9,90,0.429,0.391
1985-09-13T03:00,,26.6,87,0.426,0.395
1985-09-13T04:00,,27.4,85,0.42,0.397
1985-09-13T05:00,,28.7,79,0.415,0.398
1985-09-13T06:00,,29.5,76,0.412,0.398
1985-09-13T07:00,,30.3,74,0.413,0.398
1985-09-13T08:00,,29.3,77,0.439,0.4
1985-09-13T09:00,,28.2,81,0.439,0.43
1985-09-13T10:00,,27.1,86,0.425,0.439
1985-09-13T11:00,,26.8,88,0.397,0.424
1985-09-13T12:00,,26.8,89,0.397,0.423
1985-09-13T13:00,,26.6,89,0.398,0.421
1985-09-13T14:00,,26.3,90,0.398,0.42
1985-09-13T15:00,,26.1,91,0.398,0.419
1985-09-13T16:00,,25.9,92,0.398,0.418
1985-09-13T17:00,,25.7,93,0.398,0.417
1985-09-13T18:00,,25.3,94,0.432,0.417
1985-09-13T19:00,,25.3,94,0.439,0.425
1985-09-13T20:00,,25.1,95,0.439,0.439
1985-09-13T21:00,,25.0,94,0.424,0.432
1985-09-13T22:00,,24.8,95,0.437,0.431
1985-09-13T23:00,,24.6,96,0.428,0.438
