time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.4,70,0.138,0.156
1986-06-13T01:00,,29.9,68,0.138,0.156
1986-06-13T02:00,,31.1,63,0.138,0.156
1986-06-13T03:00,,32.6,58,0.138,0.156
1986-06-13T04:00,,33.5,54,0.138,0.156
1986-06-13T05:00,,34.6,50,0.138,0.156
1986-06-13T06:00,,35.9,47,0.138,0.156
1986-06-13T07:00,,37.6,43,0.138,0.156
1986-06-13T08:00,,38.5,41,0.138,0.156
1986-06-13T09:00,,38.6,41,0.138,0.156
1986-06-13T10:00,,38.7,40,0.138,0.155
1986-06-13T11:00,,38.5,40,0.138,0.155
1986-06-13T12:00,,37.7,42,0.138,0.155
1986-06-13T13:00,,36.7,45,0.138,0.155
1986-06-13T14:00,,35.5,48,0.138,0.155
1986-06-13T15:00,,34.7,51,0.138,0.155
1986-06-13T16:00,,33.9,53,0.138,0.155
1986-06-13T17:00,,33.2,55,0.138,0.155
1986-06-13T18:00,,32.6,58,0.138,0.155
1986-06-13T19:00,,29.7,71,0.138,0.155
1986-06-13T20:00,,29.3,72,0.138,0.155
1986-06-13T21:00,,29.1,72,0.138,0.155
1986-06-13T22:00,,28.7,74,0.139,0.155
1986-06-13T23:00,,27.5,79,0.143,0.155
1986-06-14T00:00,,26.7,79,0.15,0.155
1986-06-14T01:00,,26.0,85,0.173,0.155
1986-06-14T02:00,,26.8,78,0.174,0.155
1986-06-14T03:00,,28.9,71,0.204,0.155
1986-06-14T04:00,,29.1,72,0.24,0.155
1986-06-14T05:00,,30.7,66,0.239,0.155
1986-06-14T06:00,,32.7,59,0.236,0.156
1986-06-14T07:00,,33.5,56,0.233,0.156
1986-06-14T08:00,,34.7,51,0.23,0.156
1986-06-14T09:00,,34.8,50,0.228,0.156
1986-06-14T10:00,,35.2,50,0.226,0.156
1986-06-14T11:00,,35.2,49,0.224,0.156
1986-06-14T12:00,,35.1,49,0.223,0.156
1986-06-14T13:00,,34.3,52,0.222,0.156
1986-06-14T14:00,,32.7,58,0.221,0.156
1986-06-14T15:00,,31.5,62,0.221,0.156
1986-06-14T16:00,,30.6,65,0.221,0.156
1986-06-14T17:00,,30.2,66,0.22,0.156
1986-06-14T18:00,,29.8,67,0.22,0.156
1986-06-14T19:00,,30.0,66,0.22,0.156
1986-06-14T20:00,,29.7,66,0.22,0.156
1986-06-14T21:00,,29.5,66,0.219,0.156
1986-06-14T22:00,,29.3,66,0.219,0.156
1986-06-14T23:00,,29.0,66,0.219,0.156
1986-06-15T00:00,,28.6,68,0.221,0.156
1986-06-15T01:00,,28.4,73,0.229,0.156
1986-06-15T02:00,,28.6,73,0.236,0.156
1986-06-15T03:00,,30.3,66,0.234,0.156
1986-06-15T04:00,,32.0,61,0.233,0.156
1986-06-15T05:00,,33.3,58,0.231,0.156
1986-06-15T06:00,,34.8,53,0.228,0.156
1986-06-15T07:00,,36.5,48,0.225,0.156
1986-06-15T08:00,,37.0,46,0.222,0.156
1986-06-15T09:00,,36.9,46,0.219,0.156
1986-06-15T10:00,,36.7,46,0.218,0.156
1986-06-15T11:00,,36.0,48,0.217,0.156
1986-06-15T12:00,,34.7,52,0.219,0.156
1986-06-15T13:00,,33.9,56,0.219,0.156
1986-06-15T14:00,,32.9,59,0.219,0.156
1986-06-15T15:00,,32.2,61,0.219,0.156
1986-06-15T16:00,,31.6,63,0.219,0.157
1986-06-15T17:00,,31.3,64,0.218,0.157
1986-06-15T18:00,,30.7,67,0.218,0.157
1986-06-15T19:00,,29.8,73,0.219,0.157
1986-06-15T20:00,,28.9,78,0.233,0.157
1986-06-15T21:00,,28.3,82,0.25,0.157
1986-06-15T22:00,,27.8,84,0.276,0.157
1986-06-15T23:00,,27.4,85,0.295,0.157
