time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.4,84,0.145,0.151
1986-06-13T01:00,,26.7,82,0.145,0.151
1986-06-13T02:00,,27.4,79,0.148,0.151
1986-06-13T03:00,,27.2,82,0.173,0.151
1986-06-13T04:00,,26.6,84,0.194,0.151
1986-06-13T05:00,,28.5,73,0.192,0.151
1986-06-13T06:00,,29.8,69,0.191,0.151
1986-06-13T07:00,,35.6,51,0.189,0.151
1986-06-13T08:00,,36.4,49,0.188,0.151
1986-06-13T09:00,,36.5,49,0.186,0.151
1986-06-13T10:00,,35.7,52,0.185,0.151
1986-06-13T11:00,,35.2,54,0.184,0.151
1986-06-13T12:00,,34.4,57,0.184,0.151
1986-06-13T13:00,,33.7,60,0.184,0.151
1986-06-13T14:00,,32.6,64,0.183,0.151
1986-06-13T15:00,,31.8,68,0.183,0.151
1986-06-13T16:00,,31.2,70,0.183,0.151
1986-06-13T17:00,,30.6,73,0.183,0.151
1986-06-13T18:00,,30.1,75,0.183,0.151
1986-06-13T19:00,,27.5,88,0.196,0.151
1986-06-13T20:00,,27.2,89,0.197,0.151
1986-06-13T21:00,,27.2,89,0.196,0.151
1986-06-13T22:00,,27.0,90,0.196,0.151
1986-06-13T23:00,,27.1,89,0.196,0.151
1986-06-14T00:00,,27.0,89,0.196,0.151
1986-06-14T01:00,,27.5,85,0.196,0.151
1986-06-14T02:00,,28.6,79,0.196,0.151
1986-06-14T03:00,,30.3,71,0.195,0.151
1986-06-14T04:00,,32.2,63,0.194,0.151
1986-06-14T05:00,,32.9,62,0.193,0.151
1986-06-14T06:00,,33.7,59,0.192,0.152
1986-06-14T07:00,,35.6,52,0.19,0.152
1986-06-14T08:00,,36.1,49,0.188,0.152
1986-06-14T09:00,,36.5,48,0.187,0.152
1986-06-14T10:00,,36.5,48,0.185,0.152
1986-06-14T11:00,,36.0,49,0.184,0.152
1986-06-14T12:00,,34.8,53,0.185,0.152
1986-06-14T13:00,,33.9,58,0.184,0.152
1986-06-14T14:00,,32.9,62,0.184,0.152
1986-06-14T15:00,,32.2,66,0.184,0.152
1986-06-14T16:00,,31.6,69,0.184,0.152
1986-06-14T17:00,,31.1,72,0.184,0.152
1986-06-14T18:00,,30.6,75,0.184,0.152
1986-06-14T19:00,,30.1,74,0.183,0.152
1986-06-14T20:00,,29.7,77,0.183,0.152
1986-06-14T21:00,,29.3,79,0.183,0.152
1986-06-14T22:00,,29.0,80,0.183,0.152
1986-06-14T23:00,,28.6,82,0.183,0.152
1986-06-15T00:00,,28.3,83,0.183,0.152
1986-06-15T01:00,,28.6,80,0.183,0.152
1986-06-15T02:00,,29.7,75,0.182,0.152
1986-06-15T03:00,,31.5,67,0.182,0.152
1986-06-15T04:00,,32.7,62,0.182,0.152
1986-06-15T05:00,,34.0,56,0.181,0.152
1986-06-15T06:00,,35.2,51,0.18,0.152
1986-06-15T07:00,,33.1,59,0.179,0.152
1986-06-15T08:00,,33.7,56,0.179,0.152
1986-06-15T09:00,,34.3,54,0.178,0.152
1986-06-15T10:00,,34.3,54,0.177,0.152
1986-06-15T11:00,,34.2,54,0.176,0.152
1986-06-15T12:00,,33.6,57,0.176,0.152
1986-06-15T13:00,,32.6,61,0.176,0.152
1986-06-15T14:00,,31.5,66,0.175,0.152
1986-06-15T15:00,,30.8,70,0.175,0.152
1986-06-15T16:00,,30.3,73,0.175,0.152
1986-06-15T17:00,,29.8,76,0.175,0.152
1986-06-15T18:00,,29.4,78,0.175,0.152
1986-06-15T19:00,,27.7,86,0.175,0.152
1986-06-15T20:00,,27.2,87,0.175,0.152
1986-06-15T21:00,,26.9,89,0.175,0.152
1986-06-15T22:00,,26.7,90,0.175,0.152
1986-06-15T23:00,,26.5,91,0.176,0.152
