time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.9,77,0.143,0.151
1986-06-13T01:00,,28.4,73,0.144,0.151
1986-06-13T02:00,,29.7,67,0.144,0.151
1986-06-13T03:00,,30.3,65,0.145,0.151
1986-06-13T04:00,,32.0,60,0.144,0.151
1986-06-13T05:00,,33.4,56,0.146,0.151
1986-06-13T06:00,,34.5,51,0.145,0.151
1986-06-13T07:00,,36.0,49,0.145,0.151
1986-06-13T08:00,,36.7,47,0.144,0.151
1986-06-13T09:00,,36.9,46,0.144,0.151
1986-06-13T10:00,,37.1,45,0.144,0.151
1986-06-13T11:00,,36.8,45,0.144,0.151
1986-06-13T12:00,,35.9,47,0.144,0.151
1986-06-13T13:00,,35.3,49,0.144,0.151
1986-06-13T14:00,,34.2,53,0.144,0.151
1986-06-13T15:00,,33.3,56,0.144,0.151
1986-06-13T16:00,,32.5,60,0.144,0.151
1986-06-13T17:00,,31.7,63,0.144,0.151
1986-06-13T18:00,,31.3,64,0.144,0.151
1986-06-13T19:00,,29.6,72,0.145,0.151
1986-06-13T20:00,,28.9,75,0.147,0.151
1986-06-13T21:00,,28.1,78,0.148,0.151
1986-06-13T22:00,,27.1,80,0.156,0.151
1986-06-13T23:00,,26.2,84,0.178,0.151
1986-06-14T00:00,,25.8,86,0.198,0.151
1986-06-14T01:00,,26.2,85,0.219,0.151
1986-06-14T02:00,,27.3,80,0.237,0.151
1986-06-14T03:00,,28.9,71,0.239,0.151
1986-06-14T04:00,,29.1,72,0.27,0.151
1986-06-14T05:00,,29.5,72,0.299,0.152
1986-06-14T06:00,,31.1,66,0.296,0.152
1986-06-14T07:00,,34.3,53,0.291,0.152
1986-06-14T08:00,,35.1,50,0.286,0.153
1986-06-14T09:00,,35.5,49,0.281,0.153
1986-06-14T10:00,,35.6,49,0.276,0.153
1986-06-14T11:00,,35.5,49,0.273,0.153
1986-06-14T12:00,,35.1,49,0.271,0.154
1986-06-14T13:00,,34.2,53,0.269,0.154
1986-06-14T14:00,,32.7,58,0.268,0.154
1986-06-14T15:00,,31.7,62,0.268,0.154
1986-06-14T16:00,,31.0,64,0.267,0.154
1986-06-14T17:00,,30.5,66,0.266,0.155
1986-06-14T18:00,,30.3,66,0.265,0.155
1986-06-14T19:00,,29.7,64,0.265,0.155
1986-06-14T20:00,,29.3,66,0.264,0.155
1986-06-14T21:00,,29.0,66,0.263,0.155
1986-06-14T22:00,,28.8,67,0.263,0.155
1986-06-14T23:00,,28.6,68,0.262,0.156
1986-06-15T00:00,,28.3,69,0.261,0.156
1986-06-15T01:00,,28.7,69,0.26,0.156
1986-06-15T02:00,,29.8,67,0.259,0.156
1986-06-15T03:00,,31.3,64,0.257,0.156
1986-06-15T04:00,,32.7,59,0.254,0.156
1986-06-15T05:00,,33.8,55,0.251,0.156
1986-06-15T06:00,,34.9,51,0.247,0.156
1986-06-15T07:00,,35.3,51,0.243,0.156
1986-06-15T08:00,,35.3,50,0.239,0.156
1986-06-15T09:00,,35.7,49,0.236,0.156
1986-06-15T10:00,,35.6,49,0.233,0.156
1986-06-15T11:00,,34.9,51,0.231,0.156
1986-06-15T12:00,,34.1,53,0.23,0.156
1986-06-15T13:00,,33.2,57,0.229,0.156
1986-06-15T14:00,,32.3,60,0.228,0.156
1986-06-15T15:00,,31.4,64,0.228,0.157
1986-06-15T16:00,,30.9,67,0.228,0.157
1986-06-15T17:00,,30.4,69,0.227,0.157
1986-06-15T18:00,,30.0,71,0.227,0.157
1986-06-15T19:00,,29.4,74,0.227,0.157
1986-06-15T20:00,,29.1,75,0.226,0.157
1986-06-15T21:00,,29.0,75,0.226,0.157
1986-06-15T22:00,,28.5,77,0.226,0.157
1986-06-15T23:00,,27.6,81,0.226,0.157
