time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,31.1,62,0.12,0.133
1986-06-13T01:00,,31.8,60,0.12,0.133
1986-06-13T02:00,,33.4,55,0.12,0.133
1986-06-13T03:00,,35.2,49,0.12,0.133
1986-06-13T04:00,,37.1,42,0.12,0.133
1986-06-13T05:00,,39.3,35,0.12,0.133
1986-06-13T06:00,,41.1,30,0.12,0.133
1986-06-13T07:00,,41.6,29,0.12,0.133
1986-06-13T08:00,,42.4,26,0.12,0.133
1986-06-13T09:00,,42.9,24,0.12,0.133
1986-06-13T10:00,,43.3,22,0.12,0.133
1986-06-13T11:00,,42.6,23,0.12,0.133
1986-06-13T12:00,,42.0,23,0.12,0.133
1986-06-13T13:00,,40.7,26,0.12,0.133
1986-06-13T14:00,,38.6,31,0.12,0.133
1986-06-13T15:00,,37.4,35,0.12,0.133
1986-06-13T16:00,,36.4,39,0.12,0.133
1986-06-13T17:00,,35.5,42,0.12,0.133
1986-06-13T18:00,,34.8,45,0.12,0.133
1986-06-13T19:00,,33.9,48,0.12,0.133
1986-06-13T20:00,,33.2,51,0.12,0.133
1986-06-13T21:00,,32.6,53,0.12,0.133
1986-06-13T22:00,,32.1,54,0.12,0.133
1986-06-13T23:00,,31.6,56,0.12,0.133
1986-06-14T00:00,,31.2,58,0.12,0.133
1986-06-14T01:00,,32.0,56,0.12,0.133
1986-06-14T02:00,,33.9,49,0.12,0.133
1986-06-14T03:00,,36.0,42,0.12,0.133
1986-06-14T04:00,,37.9,37,0.12,0.133
1986-06-14T05:00,,39.6,34,0.12,0.133
1986-06-14T06:00,,40.9,30,0.12,0.133
1986-06-14T07:00,,40.1,36,0.121,0.133
1986-06-14T08:00,,40.4,34,0.121,0.133
1986-06-14T09:00,,40.4,34,0.121,0.133
1986-06-14T10:00,,40.5,33,0.121,0.133
1986-06-14T11:00,,40.5,32,0.121,0.133
1986-06-14T12:00,,39.9,33,0.124,0.133
1986-06-14T13:00,,37.7,40,0.142,0.133
1986-06-14T14:00,,36.8,42,0.142,0.133
1986-06-14T15:00,,36.2,44,0.142,0.133
1986-06-14T16:00,,35.4,48,0.142,0.133
1986-06-14T17:00,,34.7,50,0.142,0.133
1986-06-14T18:00,,34.0,53,0.142,0.133
1986-06-14T19:00,,33.0,55,0.142,0.133
1986-06-14T20:00,,32.7,56,0.141,0.133
1986-06-14T21:00,,32.4,57,0.141,0.133
1986-06-14T22:00,,32.1,58,0.141,0.133
1986-06-14T23:00,,31.6,59,0.141,0.133
1986-06-15T00:00,,31.3,60,0.141,0.133
1986-06-15T01:00,,31.8,59,0.141,0.133
1986-06-15T02:00,,33.4,54,0.141,0.133
1986-06-15T03:00,,35.1,48,0.141,0.133
1986-06-15T04:00,,35.8,47,0.14,0.133
1986-06-15T05:00,,37.0,43,0.14,0.133
1986-06-15T06:00,,38.5,39,0.139,0.133
1986-06-15T07:00,,39.9,36,0.138,0.133
1986-06-15T08:00,,40.2,34,0.138,0.133
1986-06-15T09:00,,40.6,34,0.137,0.133
1986-06-15T10:00,,40.8,33,0.137,0.133
1986-06-15T11:00,,40.6,32,0.136,0.133
1986-06-15T12:00,,40.1,33,0.136,0.133
1986-06-15T13:00,,39.1,36,0.136,0.133
1986-06-15T14:00,,37.0,42,0.136,0.133
1986-06-15T15:00,,36.1,45,0.136,0.133
1986-06-15T16:00,,35.3,48,0.136,0.133
1986-06-15T17:00,,34.7,50,0.136,0.133
1986-06-15T18:00,,34.1,53,0.136,0.133
1986-06-15T19:00,,33.9,55,0.136,0.133
1986-06-15T20:00,,33.3,57,0.136,0.133
1986-06-15T21:00,,32.9,58,0.136,0.133
1986-06-15T22:00,,32.3,60,0.136,0.133
1986-06-15T23:00,,31.8,62,0.136,0.133
