time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.1,67,0.137,0.151
1986-06-13T01:00,,30.4,66,0.137,0.151
1986-06-13T02:00,,31.4,63,0.137,0.151
1986-06-13T03:00,,33.0,57,0.137,0.151
1986-06-13T04:00,,34.6,52,0.137,0.151
1986-06-13T05:00,,36.2,48,0.137,0.151
1986-06-13T06:00,,37.5,44,0.137,0.151
1986-06-13T07:00,,38.6,40,0.137,0.151
1986-06-13T08:00,,39.3,38,0.137,0.151
1986-06-13T09:00,,39.6,37,0.137,0.151
1986-06-13T10:00,,39.8,36,0.137,0.151
1986-06-13T11:00,,39.5,36,0.137,0.151
1986-06-13T12:00,,39.1,37,0.137,0.151
1986-06-13T13:00,,37.9,40,0.137,0.151
1986-06-13T14:00,,36.5,44,0.137,0.151
1986-06-13T15:00,,35.5,48,0.137,0.151
1986-06-13T16:00,,34.6,51,0.137,0.151
1986-06-13T17:00,,34.0,54,0.137,0.151
1986-06-13T18:00,,33.4,56,0.137,0.151
1986-06-13T19:00,,31.6,64,0.137,0.151
1986-06-13T20:00,,31.0,66,0.137,0.151
1986-06-13T21:00,,30.4,69,0.137,0.151
1986-06-13T22:00,,29.9,72,0.137,0.151
1986-06-13T23:00,,29.4,75,0.137,0.151
1986-06-14T00:00,,28.9,77,0.137,0.151
1986-06-14T01:00,,29.0,75,0.137,0.151
1986-06-14T02:00,,30.3,70,0.137,0.151
1986-06-14T03:00,,31.9,63,0.137,0.151
1986-06-14T04:00,,33.3,57,0.137,0.151
1986-06-14T05:00,,34.2,55,0.138,0.151
1986-06-14T06:00,,34.2,55,0.14,0.151
1986-06-14T07:00,,35.0,51,0.14,0.151
1986-06-14T08:00,,35.8,49,0.14,0.151
1986-06-14T09:00,,36.1,47,0.14,0.151
1986-06-14T10:00,,36.7,46,0.139,0.151
1986-06-14T11:00,,36.7,45,0.139,0.151
1986-06-14T12:00,,36.4,46,0.139,0.151
1986-06-14T13:00,,35.8,47,0.139,0.151
1986-06-14T14:00,,34.5,51,0.139,0.151
1986-06-14T15:00,,33.7,54,0.139,0.151
1986-06-14T16:00,,33.0,56,0.139,0.151
1986-06-14T17:00,,32.3,58,0.139,0.151
1986-06-14T18:00,,31.8,60,0.139,0.151
1986-06-14T19:00,,31.2,61,0.139,0.151
1986-06-14T20:00,,30.9,63,0.139,0.151
1986-06-14T21:00,,30.4,64,0.139,0.151
1986-06-14T22:00,,30.0,66,0.139,0.151
1986-06-14T23:00,,29.4,69,0.141,0.151
1986-06-15T00:00,,28.4,75,0.154,0.151
1986-06-15T01:00,,28.6,77,0.174,0.151
1986-06-15T02:00,,29.5,73,0.174,0.151
1986-06-15T03:00,,31.1,66,0.174,0.151
1986-06-15T04:00,,33.1,59,0.173,0.151
1986-06-15T05:00,,34.7,53,0.172,0.151
1986-06-15T06:00,,36.0,49,0.17,0.151
1986-06-15T07:00,,37.2,46,0.169,0.151
1986-06-15T08:00,,37.4,45,0.167,0.151
1986-06-15T09:00,,37.4,44,0.166,0.151
1986-06-15T10:00,,37.6,43,0.165,0.151
1986-06-15T11:00,,37.3,43,0.165,0.151
1986-06-15T12:00,,36.0,48,0.167,0.151
1986-06-15T13:00,,35.3,51,0.167,0.151
1986-06-15T14:00,,34.2,54,0.166,0.151
1986-06-15T15:00,,33.5,56,0.166,0.151
1986-06-15T16:00,,32.8,58,0.166,0.151
1986-06-15T17:00,,32.2,60,0.166,0.151
1986-06-15T18:00,,31.6,62,0.166,0.151
1986-06-15T19:00,,30.4,70,0.166,0.151
1986-06-15T20:00,,29.8,73,0.167,0.151
1986-06-15T21:00,,28.6,79,0.174,0.151
1986-06-15T22:00,,27.7,85,0.19,0.151
1986-06-15T23:00,,27.4,87,0.194,0.151
