time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,24.6,96,0.385,0.357
1985-09-11T01:00,,24.8,96,0.383,0.358
1985-09-11T02:00,,25.5,92,0.387,0.359
1985-09-11T03:00,,26.2,89,0.395,0.359
1985-09-11T04:00,,27.2,84,0.393,0.36
1985-09-11T05:00,,28.2,83,0.391,0.36
1985-09-11T06:00,,29.2,82,0.389,0.36
1985-09-11T07:00,,28.9,77,0.409,0.361
1985-09-11T08:00,,27.1,85,0.432,0.363
1985-09-11T09:00,,26.5,88,0.422,0.37
1985-09-11T10:00,,25.9,90,0.423,0.373
1985-09-11T11:00,,25.7,91,0.42,0.376
1985-09-11T12:00,,25.2,94,0.421,0.378
1985-09-11T13:00,,25.0,94,0.421,0.38
1985-09-11T14:00,,25.0,94,0.425,0.383
1985-09-11T15:00,,25.0,94,0.431,0.386
1985-09-11T16:00,,25.0,94,0.431,0.39
1985-09-11T17:00,,25.0,94,0.431,0.395
1985-09-11T18:00,,25.0,94,0.428,0.398
1985-09-11T19:00,,25.1,93,0.424,0.401
1985-09-11T20:00,,25.0,92,0.422,0.402
1985-09-11T21:00,,25.0,92,0.422,0.403
1985-09-11T22:00,,24.9,92,0.421,0.404
1985-09-11T23:00,,24.8,92,0.42,0.405
1985-09-12T00:00,,24.7,92,0.422,0.406
1985-09-12T01:00,,24.9,92,0.419,0.407
1985-09-12T02:00,,25.7,90,0.416,0.407
1985-09-12T03:00,,27.1,84,0.413,0.407
1985-09-12T04:00,,28.3,80,0.41,0.407
1985-09-12T05:00,,29.3,77,0.407,0.406
1985-09-12T06:00,,30.2,74,0.404,0.405
1985-09-12T07:00,,31.3,67,0.401,0.404
1985-09-12T08:00,,31.6,68,0.398,0.403
1985-09-12T09:00,,31.4,68,0.395,0.402
1985-09-12T10:00,,30.3,74,0.42,0.401
1985-09-12T11:00,,29.7,77,0.426,0.402
1985-09-12T12:00,,29.1,80,0.42,0.404
1985-09-12T13:00,,28.4,82,0.416,0.405
1985-09-12T14:00,,27.8,84,0.413,0.405
1985-09-12T15:00,,27.3,85,0.411,0.405
1985-09-12T16:00,,27.0,86,0.409,0.405
1985-09-12T17:00,,26.8,87,0.408,0.405
1985-09-12T18:00,,26.6,88,0.406,0.405
1985-09-12T19:00,,26.8,87,0.405,0.405
1985-09-12T20:00,,26.7,87,0.404,0.405
1985-09-12T21:00,,26.6,88,0.403,0.404
1985-09-12T22:00,,26.4,89,0.402,0.404
1985-09-12T23:00,,26.2,90,0.402,0.404
1985-09-13T00:00,,25.9,90,0.401,0.404
1985-09-13T01:00,,25.9,91,0.401,0.404
1985-09-13T02:00,,26.7,88,0.402,0.403
1985-09-13T03:00,,27.6,84,0.402,0.403
1985-09-13T04:00,,28.7,82,0.401,0.402
1985-09-13T05:00,,30.0,74,0.399,0.402
1985-09-13T06:00,,30.8,70,0.398,0.401
1985-09-13T07:00,,31.1,70,0.396,0.4
1985-09-13T08:00,,31.4,70,0.395,0.399
1985-09-13T09:00,,31.1,69,0.406,0.399
1985-09-13T10:00,,30.7,72,0.409,0.399
1985-09-13T11:00,,29.3,78,0.423,0.399
1985-09-13T12:00,,28.1,84,0.423,0.401
1985-09-13T13:00,,27.4,89,0.421,0.402
1985-09-13T14:00,,26.9,89,0.417,0.403
1985-09-13T15:00,,26.7,90,0.414,0.403
1985-09-13T16:00,,26.5,90,0.411,0.404
1985-09-13T17:00,,26.2,90,0.411,0.404
1985-09-13T18:00,,25.9,91,0.418,0.404
1985-09-13T19:00,,26.4,90,0.424,0.405
1985-09-13T20:00,,26.0,91,0.431,0.407
1985-09-13T21:00,,25.6,93,0.435,0.41
1985-09-13T22:00,,25.5,94,0.429,0.414
1985-09-13T23:00,,25.3,94,0.425,0.415
