time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.3,67,0.137,0.15
1986-06-13T01:00,,30.9,66,0.137,0.15
1986-06-13T02:00,,32.1,63,0.137,0.15
1986-06-13T03:00,,33.7,58,0.137,0.15
1986-06-13T04:00,,35.3,53,0.137,0.15
1986-06-13T05:00,,36.3,50,0.137,0.15
1986-06-13T06:00,,37.1,47,0.137,0.15
1986-06-13T07:00,,38.9,40,0.137,0.15
1986-06-13T08:00,,39.7,38,0.137,0.15
1986-06-13T09:00,,40.1,37,0.137,0.15
1986-06-13T10:00,,40.2,36,0.137,0.15
1986-06-13T11:00,,39.9,37,0.137,0.15
1986-06-13T12:00,,39.2,38,0.137,0.15
1986-06-13T13:00,,38.0,42,0.137,0.15
1986-06-13T14:00,,36.5,45,0.137,0.15
1986-06-13T15:00,,35.5,49,0.137,0.15
1986-06-13T16:00,,34.7,52,0.137,0.15
1986-06-13T17:00,,33.8,56,0.137,0.15
1986-06-13T18:00,,33.1,60,0.137,0.15
1986-06-13T19:00,,32.1,64,0.137,0.15
1986-06-13T20:00,,31.5,67,0.137,0.15
1986-06-13T21:00,,31.0,70,0.137,0.15
1986-06-13T22:00,,30.4,73,0.137,0.15
1986-06-13T23:00,,29.7,76,0.137,0.15
1986-06-14T00:00,,29.2,78,0.137,0.15
1986-06-14T01:00,,29.6,76,0.137,0.15
1986-06-14T02:00,,31.0,70,0.137,0.15
1986-06-14T03:00,,32.8,63,0.137,0.15
1986-06-14T04:00,,34.6,57,0.137,0.15
1986-06-14T05:00,,35.7,53,0.137,0.15
1986-06-14T06:00,,37.2,47,0.137,0.15
1986-06-14T07:00,,37.1,46,0.137,0.15
1986-06-14T08:00,,37.9,43,0.137,0.15
1986-06-14T09:00,,38.3,42,0.137,0.15
1986-06-14T10:00,,38.6,41,0.137,0.15
1986-06-14T11:00,,38.4,40,0.137,0.15
1986-06-14T12:00,,37.8,42,0.137,0.15
1986-06-14T13:00,,36.8,45,0.137,0.15
1986-06-14T14:00,,35.6,48,0.137,0.15
1986-06-14T15:00,,34.8,50,0.137,0.15
1986-06-14T16:00,,34.1,52,0.137,0.15
1986-06-14T17:00,,33.6,54,0.137,0.15
1986-06-14T18:00,,33.1,56,0.137,0.15
1986-06-14T19:00,,32.1,57,0.137,0.15
1986-06-14T20:00,,31.6,59,0.137,0.15
1986-06-14T21:00,,31.0,63,0.137,0.15
1986-06-14T22:00,,30.7,65,0.137,0.15
1986-06-14T23:00,,30.4,67,0.137,0.15
1986-06-15T00:00,,30.1,69,0.137,0.15
1986-06-15T01:00,,30.5,69,0.137,0.15
1986-06-15T02:00,,31.8,65,0.137,0.15
1986-06-15T03:00,,33.2,60,0.137,0.15
1986-06-15T04:00,,34.5,54,0.137,0.15
1986-06-15T05:00,,35.4,51,0.137,0.15
1986-06-15T06:00,,36.9,46,0.137,0.15
1986-06-15T07:00,,37.1,47,0.137,0.15
1986-06-15T08:00,,37.6,45,0.137,0.15
1986-06-15T09:00,,38.0,44,0.137,0.15
1986-06-15T10:00,,38.2,43,0.137,0.15
1986-06-15T11:00,,37.8,43,0.137,0.15
1986-06-15T12:00,,37.2,44,0.137,0.15
1986-06-15T13:00,,36.4,46,0.137,0.15
1986-06-15T14:00,,35.2,50,0.137,0.15
1986-06-15T15:00,,34.4,52,0.137,0.15
1986-06-15T16:00,,33.8,53,0.137,0.15
1986-06-15T17:00,,33.1,56,0.137,0.15
1986-06-15T18:00,,32.3,60,0.137,0.15
1986-06-15T19:00,,29.3,78,0.15,0.15
1986-06-15T20:00,,29.0,81,0.151,0.15
1986-06-15T21:00,,29.0,82,0.151,0.15
1986-06-15T22:00,,28.9,83,0.151,0.15
1986-06-15T23:00,,28.8,84,0.151,0.15
