time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.4,98,0.223,0.268
1985-09-11T01:00,,25.5,97,0.223,0.268
1985-09-11T02:00,,26.5,91,0.223,0.268
1985-09-11T03:00,,27.9,84,0.223,0.268
1985-09-11T04:00,,29.3,78,0.223,0.268
1985-09-11T05:00,,30.2,76,0.222,0.267
1985-09-11T06:00,,30.9,74,0.222,0.266
1985-09-11T07:00,,31.1,72,0.221,0.266
1985-09-11T08:00,,31.7,71,0.22,0.265
1985-09-11T09:00,,31.8,72,0.219,0.265
1985-09-11T10:00,,31.5,72,0.22,0.264
1985-09-11T11:00,,29.0,77,0.265,0.264
1985-09-11T12:00,,27.6,84,0.286,0.264
1985-09-11T13:00,,27.1,87,0.288,0.264
1985-09-11T14:00,,26.9,88,0.288,0.264
1985-09-11T15:00,,26.8,89,0.288,0.265
1985-09-11T16:00,,26.5,89,0.287,0.265
1985-09-11T17:00,,25.9,90,0.287,0.265
1985-09-11T18:00,,25.4,91,0.287,0.265
1985-09-11T19:00,,25.5,89,0.287,0.265
1985-09-11T20:00,,25.3,90,0.287,0.265
1985-09-11T21:00,,25.1,91,0.287,0.265
1985-09-11T22:00,,25.0,91,0.287,0.266
1985-09-11T23:00,,25.1,91,0.286,0.266
1985-09-12T00:00,,25.1,91,0.286,0.266
1985-09-12T01:00,,25.2,90,0.286,0.266
1985-09-12T02:00,,25.8,88,0.286,0.266
1985-09-12T03:00,,26.8,80,0.286,0.266
1985-09-12T04:00,,27.4,76,0.286,0.266
1985-09-12T05:00,,28.0,73,0.285,0.266
1985-09-12T06:00,,28.3,73,0.289,0.266
1985-09-12T07:00,,29.9,69,0.288,0.265
1985-09-12T08:00,,30.1,68,0.287,0.265
1985-09-12T09:00,,30.2,67,0.286,0.265
1985-09-12T10:00,,29.5,72,0.294,0.265
1985-09-12T11:00,,28.3,77,0.325,0.265
1985-09-12T12:00,,27.7,82,0.327,0.265
1985-09-12T13:00,,27.1,85,0.327,0.266
1985-09-12T14:00,,26.7,88,0.327,0.266
1985-09-12T15:00,,26.3,93,0.326,0.267
1985-09-12T16:00,,25.9,94,0.325,0.267
1985-09-12T17:00,,25.4,96,0.332,0.267
1985-09-12T18:00,,25.3,96,0.331,0.268
1985-09-12T19:00,,25.4,96,0.332,0.268
1985-09-12T20:00,,25.2,96,0.337,0.269
1985-09-12T21:00,,25.0,96,0.355,0.269
1985-09-12T22:00,,24.7,97,0.4,0.27
1985-09-12T23:00,,24.4,97,0.432,0.274
1985-09-13T00:00,,24.1,97,0.423,0.289
1985-09-13T01:00,,23.8,97,0.422,0.297
1985-09-13T02:00,,23.8,97,0.425,0.303
1985-09-13T03:00,,23.9,96,0.426,0.31
1985-09-13T04:00,,24.1,95,0.429,0.317
1985-09-13T05:00,,24.2,93,0.433,0.325
1985-09-13T06:00,,24.4,90,0.431,0.336
1985-09-13T07:00,,26.6,81,0.411,0.343
1985-09-13T08:00,,27.5,78,0.404,0.344
1985-09-13T09:00,,28.0,78,0.398,0.345
1985-09-13T10:00,,28.0,78,0.394,0.346
1985-09-13T11:00,,28.0,79,0.391,0.347
1985-09-13T12:00,,26.7,83,0.395,0.348
1985-09-13T13:00,,26.3,87,0.393,0.348
1985-09-13T14:00,,25.9,90,0.394,0.349
1985-09-13T15:00,,25.3,94,0.393,0.35
1985-09-13T16:00,,25.1,95,0.393,0.351
1985-09-13T17:00,,24.8,96,0.393,0.352
1985-09-13T18:00,,24.5,97,0.393,0.353
1985-09-13T19:00,,24.9,96,0.395,0.353
1985-09-13T20:00,,24.4,96,0.435,0.355
1985-09-13T21:00,,24.0,97,0.432,0.369
1985-09-13T22:00,,23.8,96,0.396,0.385
1985-09-13T23:00,,23.7,96,0.415,0.386
