time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.2,70,0.129,0.142
1986-06-13T01:00,,30.7,70,0.129,0.142
1986-06-13T02:00,,32.0,66,0.129,0.142
1986-06-13T03:00,,33.4,61,0.129,0.142
1986-06-13T04:00,,34.3,58,0.129,0.142
1986-06-13T05:00,,34.9,55,0.129,0.142
1986-06-13T06:00,,35.9,51,0.129,0.142
1986-06-13T07:00,,38.8,41,0.129,0.142
1986-06-13T08:00,,39.5,39,0.129,0.142
1986-06-13T09:00,,39.9,38,0.129,0.142
1986-06-13T10:00,,39.7,38,0.129,0.142
1986-06-13T11:00,,39.2,39,0.129,0.142
1986-06-13T12:00,,38.5,41,0.129,0.142
1986-06-13T13:00,,37.4,44,0.129,0.142
1986-06-13T14:00,,36.0,48,0.129,0.142
1986-06-13T15:00,,35.0,52,0.129,0.142
1986-06-13T16:00,,34.3,55,0.129,0.142
1986-06-13T17:00,,33.6,58,0.129,0.142
1986-06-13T18:00,,32.9,61,0.129,0.142
1986-06-13T19:00,,31.4,69,0.129,0.142
1986-06-13T20:00,,30.9,71,0.129,0.142
1986-06-13T21:00,,30.3,74,0.129,0.142
1986-06-13T22:00,,29.7,76,0.129,0.142
1986-06-13T23:00,,29.2,78,0.129,0.142
1986-06-14T00:00,,28.9,79,0.129,0.142
1986-06-14T01:00,,29.6,76,0.129,0.142
1986-06-14T02:00,,31.0,70,0.129,0.142
1986-06-14T03:00,,32.8,63,0.129,0.142
1986-06-14T04:00,,34.5,57,0.129,0.142
1986-06-14T05:00,,35.9,52,0.129,0.142
1986-06-14T06:00,,37.2,48,0.129,0.142
1986-06-14T07:00,,38.0,42,0.129,0.142
1986-06-14T08:00,,38.7,40,0.129,0.142
1986-06-14T09:00,,38.5,40,0.129,0.142
1986-06-14T10:00,,38.6,39,0.129,0.142
1986-06-14T11:00,,38.3,40,0.129,0.142
1986-06-14T12:00,,37.3,42,0.13,0.142
1986-06-14T13:00,,36.3,45,0.13,0.142
1986-06-14T14:00,,35.2,49,0.13,0.142
1986-06-14T15:00,,34.4,52,0.13,0.142
1986-06-14T16:00,,33.7,54,0.13,0.142
1986-06-14T17:00,,33.2,56,0.13,0.142
1986-06-14T18:00,,32.6,58,0.13,0.142
1986-06-14T19:00,,31.8,58,0.13,0.142
1986-06-14T20:00,,31.2,61,0.13,0.142
1986-06-14T21:00,,30.7,64,0.13,0.142
1986-06-14T22:00,,30.3,67,0.13,0.142
1986-06-14T23:00,,29.9,70,0.13,0.142
1986-06-15T00:00,,29.6,72,0.13,0.142
1986-06-15T01:00,,30.3,70,0.13,0.142
1986-06-15T02:00,,31.7,66,0.13,0.142
1986-06-15T03:00,,33.6,59,0.13,0.142
1986-06-15T04:00,,35.3,52,0.13,0.142
1986-06-15T05:00,,36.4,48,0.13,0.142
1986-06-15T06:00,,37.3,45,0.13,0.142
1986-06-15T07:00,,36.7,48,0.13,0.142
1986-06-15T08:00,,37.6,45,0.13,0.142
1986-06-15T09:00,,37.8,44,0.13,0.142
1986-06-15T10:00,,38.0,43,0.13,0.142
1986-06-15T11:00,,37.6,43,0.13,0.142
1986-06-15T12:00,,36.9,45,0.13,0.142
1986-06-15T13:00,,36.0,48,0.13,0.142
1986-06-15T14:00,,34.8,52,0.13,0.142
1986-06-15T15:00,,33.8,55,0.13,0.142
1986-06-15T16:00,,33.0,59,0.13,0.142
1986-06-15T17:00,,32.2,63,0.13,0.142
1986-06-15T18:00,,31.5,67,0.13,0.142
1986-06-15T19:00,,29.8,79,0.131,0.142
1986-06-15T20:00,,29.5,81,0.131,0.142
1986-06-15T21:00,,29.3,82,0.131,0.142
1986-06-15T22:00,,29.0,83,0.131,0.142
1986-06-15T23:00,,28.6,85,0.133,0.142
