time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.9,64,0.118,0.133
1986-06-13T01:00,,31.6,62,0.118,0.133
1986-06-13T02:00,,33.1,58,0.118,0.133
1986-06-13T03:00,,34.8,52,0.118,0.133
1986-06-13T04:00,,36.6,46,0.118,0.133
1986-06-13T05:00,,38.7,39,0.118,0.133
1986-06-13T06:00,,40.3,34,0.118,0.133
1986-06-13T07:00,,41.0,32,0.118,0.133
1986-06-13T08:00,,41.5,30,0.118,0.133
1986-06-13T09:00,,41.9,28,0.118,0.133
1986-06-13T10:00,,42.1,27,0.118,0.133
1986-06-13T11:00,,41.1,28,0.118,0.133
1986-06-13T12:00,,40.3,30,0.119,0.133
1986-06-13T13:00,,39.3,33,0.119,0.133
1986-06-13T14:00,,37.6,38,0.119,0.133
1986-06-13T15:00,,36.8,40,0.119,0.133
1986-06-13T16:00,,36.0,42,0.119,0.133
1986-06-13T17:00,,35.4,44,0.119,0.133
1986-06-13T18:00,,34.8,46,0.119,0.133
1986-06-13T19:00,,33.5,51,0.119,0.133
1986-06-13T20:00,,32.8,53,0.119,0.133
1986-06-13T21:00,,32.3,55,0.119,0.133
1986-06-13T22:00,,31.7,56,0.119,0.133
1986-06-13T23:00,,31.3,58,0.119,0.133
1986-06-14T00:00,,30.9,60,0.119,0.133
1986-06-14T01:00,,31.6,59,0.119,0.133
1986-06-14T02:00,,33.4,54,0.119,0.133
1986-06-14T03:00,,35.4,47,0.119,0.133
1986-06-14T04:00,,37.3,42,0.119,0.133
1986-06-14T05:00,,38.9,38,0.119,0.133
1986-06-14T06:00,,40.2,35,0.119,0.133
1986-06-14T07:00,,39.3,38,0.12,0.133
1986-06-14T08:00,,39.8,38,0.12,0.133
1986-06-14T09:00,,40.0,36,0.12,0.133
1986-06-14T10:00,,39.8,36,0.121,0.133
1986-06-14T11:00,,39.8,35,0.121,0.133
1986-06-14T12:00,,39.5,36,0.121,0.133
1986-06-14T13:00,,38.3,39,0.122,0.133
1986-06-14T14:00,,36.1,45,0.122,0.133
1986-06-14T15:00,,35.6,48,0.122,0.133
1986-06-14T16:00,,35.1,50,0.122,0.133
1986-06-14T17:00,,34.5,52,0.122,0.133
1986-06-14T18:00,,34.0,53,0.122,0.133
1986-06-14T19:00,,32.9,56,0.122,0.133
1986-06-14T20:00,,32.5,57,0.122,0.133
1986-06-14T21:00,,32.0,59,0.122,0.133
1986-06-14T22:00,,31.7,60,0.122,0.133
1986-06-14T23:00,,31.3,61,0.122,0.133
1986-06-15T00:00,,30.9,62,0.122,0.133
1986-06-15T01:00,,31.4,60,0.122,0.133
1986-06-15T02:00,,33.0,55,0.122,0.133
1986-06-15T03:00,,34.9,50,0.122,0.133
1986-06-15T04:00,,36.2,47,0.121,0.133
1986-06-15T05:00,,36.8,45,0.121,0.133
1986-06-15T06:00,,37.8,42,0.121,0.133
1986-06-15T07:00,,39.2,39,0.121,0.133
1986-06-15T08:00,,39.4,37,0.121,0.133
1986-06-15T09:00,,39.5,37,0.121,0.133
1986-06-15T10:00,,39.6,36,0.121,0.133
1986-06-15T11:00,,39.3,36,0.121,0.133
1986-06-15T12:00,,38.3,39,0.121,0.133
1986-06-15T13:00,,37.5,42,0.121,0.133
1986-06-15T14:00,,36.3,46,0.121,0.133
1986-06-15T15:00,,35.3,49,0.121,0.133
1986-06-15T16:00,,34.5,52,0.121,0.133
1986-06-15T17:00,,34.0,54,0.121,0.133
1986-06-15T18:00,,33.5,55,0.121,0.133
1986-06-15T19:00,,33.3,58,0.121,0.133
1986-06-15T20:00,,32.8,59,0.121,0.133
1986-06-15T21:00,,32.2,61,0.121,0.133
1986-06-15T22:00,,31.6,63,0.121,0.133
1986-06-15T23:00,,31.1,65,0.121,0.133
