time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.3,95,0.381,0.352
1985-09-11T01:00,,25.5,95,0.383,0.352
1985-09-11T02:00,,26.4,90,0.382,0.353
1985-09-11T03:00,,27.5,87,0.382,0.353
1985-09-11T04:00,,28.4,85,0.381,0.353
1985-09-11T05:00,,27.3,80,0.429,0.354
1985-09-11T06:00,,26.5,86,0.435,0.36
1985-09-11T07:00,,25.7,94,0.427,0.369
1985-09-11T08:00,,25.6,93,0.426,0.373
1985-09-11T09:00,,26.4,92,0.419,0.377
1985-09-11T10:00,,26.7,92,0.421,0.379
1985-09-11T11:00,,26.5,90,0.439,0.382
1985-09-11T12:00,,25.9,93,0.4,0.402
1985-09-11T13:00,,25.8,93,0.401,0.401
1985-09-11T14:00,,25.7,93,0.401,0.401
1985-09-11T15:00,,25.6,93,0.4,0.401
1985-09-11T16:00,,25.6,92,0.399,0.401
1985-09-11T17:00,,25.5,92,0.399,0.401
1985-09-11T18:00,,25.3,92,0.398,0.401
1985-09-11T19:00,,25.5,91,0.397,0.4
1985-09-11T20:00,,25.3,91,0.396,0.4
1985-09-11T21:00,,25.2,91,0.396,0.4
1985-09-11T22:00,,25.1,91,0.395,0.4
1985-09-11T23:00,,25.1,91,0.394,0.4
1985-09-12T00:00,,24.9,92,0.394,0.399
1985-09-12T01:00,,25.1,92,0.393,0.399
1985-09-12T02:00,,26.4,87,0.392,0.399
1985-09-12T03:00,,27.8,81,0.392,0.398
1985-09-12T04:00,,28.9,76,0.39,0.397
1985-09-12T05:00,,29.7,73,0.388,0.396
1985-09-12T06:00,,30.5,70,0.386,0.395
1985-09-12T07:00,,31.1,66,0.384,0.394
1985-09-12T08:00,,31.5,65,0.381,0.393
1985-09-12T09:00,,31.5,64,0.38,0.392
1985-09-12T10:00,,30.7,68,0.379,0.391
1985-09-12T11:00,,30.3,72,0.378,0.391
1985-09-12T12:00,,29.5,76,0.378,0.39
1985-09-12T13:00,,28.5,80,0.378,0.39
1985-09-12T14:00,,28.0,82,0.377,0.39
1985-09-12T15:00,,27.5,84,0.377,0.389
1985-09-12T16:00,,27.3,84,0.377,0.389
1985-09-12T17:00,,26.9,85,0.377,0.389
1985-09-12T18:00,,26.7,87,0.377,0.389
1985-09-12T19:00,,27.0,88,0.377,0.388
1985-09-12T20:00,,26.9,88,0.377,0.388
1985-09-12T21:00,,26.7,89,0.376,0.388
1985-09-12T22:00,,26.4,90,0.376,0.388
1985-09-12T23:00,,26.2,90,0.376,0.388
1985-09-13T00:00,,25.8,91,0.376,0.387
1985-09-13T01:00,,26.0,91,0.376,0.387
1985-09-13T02:00,,27.0,87,0.375,0.387
1985-09-13T03:00,,28.1,83,0.374,0.386
1985-09-13T04:00,,29.3,81,0.373,0.385
1985-09-13T05:00,,30.2,79,0.372,0.384
1985-09-13T06:00,,30.8,77,0.37,0.383
1985-09-13T07:00,,31.6,71,0.369,0.382
1985-09-13T08:00,,31.9,67,0.367,0.381
1985-09-13T09:00,,32.0,65,0.365,0.38
1985-09-13T10:00,,31.0,68,0.365,0.379
1985-09-13T11:00,,30.2,73,0.369,0.379
1985-09-13T12:00,,29.1,79,0.372,0.379
1985-09-13T13:00,,28.0,84,0.372,0.379
1985-09-13T14:00,,27.5,86,0.372,0.379
1985-09-13T15:00,,27.1,88,0.372,0.378
1985-09-13T16:00,,26.8,88,0.371,0.378
1985-09-13T17:00,,26.5,89,0.371,0.378
1985-09-13T18:00,,26.4,89,0.371,0.378
1985-09-13T19:00,,26.8,86,0.371,0.378
1985-09-13T20:00,,26.7,87,0.371,0.378
1985-09-13T21:00,,26.4,88,0.371,0.378
1985-09-13T22:00,,26.2,90,0.37,0.378
1985-09-13T23:00,,25.9,91,0.37,0.378
