time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,27.6,78,0.138,0.151
1986-06-13T01:00,,27.7,77,0.138,0.151
1986-06-13T02:00,,28.5,73,0.138,0.151
1986-06-13T03:00,,29.0,71,0.139,0.151
1986-06-13T04:00,,27.7,76,0.142,0.151
1986-06-13T05:00,,29.8,68,0.141,0.151
1986-06-13T06:00,,31.0,64,0.14,0.151
1986-06-13T07:00,,35.1,53,0.14,0.151
1986-06-13T08:00,,36.1,50,0.14,0.151
1986-06-13T09:00,,36.2,49,0.14,0.151
1986-06-13T10:00,,35.3,52,0.14,0.151
1986-06-13T11:00,,35.2,52,0.14,0.151
1986-06-13T12:00,,34.6,55,0.141,0.151
1986-06-13T13:00,,33.9,57,0.141,0.151
1986-06-13T14:00,,32.8,62,0.141,0.151
1986-06-13T15:00,,32.0,66,0.141,0.151
1986-06-13T16:00,,31.2,69,0.141,0.151
1986-06-13T17:00,,30.6,72,0.141,0.151
1986-06-13T18:00,,30.1,74,0.141,0.151
1986-06-13T19:00,,29.0,81,0.142,0.151
1986-06-13T20:00,,28.3,84,0.145,0.151
1986-06-13T21:00,,27.9,85,0.145,0.151
1986-06-13T22:00,,27.6,86,0.145,0.151
1986-06-13T23:00,,27.6,86,0.145,0.151
1986-06-14T00:00,,27.5,86,0.145,0.151
1986-06-14T01:00,,28.3,82,0.145,0.151
1986-06-14T02:00,,29.4,76,0.145,0.151
1986-06-14T03:00,,30.6,71,0.146,0.151
1986-06-14T04:00,,31.9,66,0.146,0.151
1986-06-14T05:00,,32.7,63,0.146,0.151
1986-06-14T06:00,,33.5,61,0.146,0.151
1986-06-14T07:00,,35.3,52,0.145,0.151
1986-06-14T08:00,,36.0,50,0.146,0.151
1986-06-14T09:00,,36.2,49,0.146,0.151
1986-06-14T10:00,,36.2,48,0.146,0.151
1986-06-14T11:00,,35.8,48,0.146,0.151
1986-06-14T12:00,,34.6,53,0.148,0.151
1986-06-14T13:00,,33.9,56,0.147,0.151
1986-06-14T14:00,,32.8,61,0.147,0.151
1986-06-14T15:00,,32.1,65,0.147,0.151
1986-06-14T16:00,,31.5,67,0.147,0.151
1986-06-14T17:00,,31.0,69,0.147,0.151
1986-06-14T18:00,,30.6,71,0.147,0.151
1986-06-14T19:00,,30.3,71,0.147,0.151
1986-06-14T20:00,,29.9,74,0.147,0.151
1986-06-14T21:00,,29.4,76,0.147,0.151
1986-06-14T22:00,,29.0,78,0.147,0.151
1986-06-14T23:00,,28.4,80,0.147,0.151
1986-06-15T00:00,,27.9,81,0.147,0.151
1986-06-15T01:00,,28.2,79,0.147,0.151
1986-06-15T02:00,,29.4,73,0.147,0.151
1986-06-15T03:00,,31.1,66,0.147,0.151
1986-06-15T04:00,,32.6,60,0.147,0.151
1986-06-15T05:00,,33.9,55,0.147,0.151
1986-06-15T06:00,,35.2,50,0.147,0.151
1986-06-15T07:00,,33.2,57,0.147,0.151
1986-06-15T08:00,,33.6,54,0.147,0.151
1986-06-15T09:00,,34.1,52,0.147,0.151
1986-06-15T10:00,,34.1,52,0.147,0.151
1986-06-15T11:00,,34.1,52,0.147,0.151
1986-06-15T12:00,,33.7,53,0.147,0.151
1986-06-15T13:00,,32.8,58,0.147,0.151
1986-06-15T14:00,,31.7,62,0.147,0.151
1986-06-15T15:00,,30.9,66,0.147,0.151
1986-06-15T16:00,,30.5,69,0.147,0.151
1986-06-15T17:00,,30.1,71,0.147,0.151
1986-06-15T18:00,,29.8,72,0.147,0.151
1986-06-15T19:00,,28.6,80,0.152,0.151
1986-06-15T20:00,,27.4,86,0.159,0.151
1986-06-15T21:00,,26.7,88,0.159,0.151
1986-06-15T22:00,,26.4,90,0.159,0.151
1986-06-15T23:00,,26.3,89,0.159,0.151
