time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.3,42,0.137,0.151
1986-06-13T01:00,,30.0,49,0.137,0.151
1986-06-13T02:00,,33.3,35,0.137,0.151
1986-06-13T03:00,,35.3,33,0.137,0.151
1986-06-13T04:00,,37.4,30,0.137,0.151
1986-06-13T05:00,,39.3,28,0.137,0.151
1986-06-13T06:00,,40.9,26,0.137,0.151
1986-06-13T07:00,,41.2,26,0.137,0.151
1986-06-13T08:00,,42.3,23,0.137,0.151
1986-06-13T09:00,,42.8,22,0.137,0.151
1986-06-13T10:00,,43.2,21,0.137,0.151
1986-06-13T11:00,,42.9,21,0.137,0.151
1986-06-13T12:00,,42.4,21,0.137,0.151
1986-06-13T13:00,,41.1,24,0.137,0.151
1986-06-13T14:00,,39.1,27,0.137,0.151
1986-06-13T15:00,,38.1,29,0.137,0.151
1986-06-13T16:00,,37.3,31,0.137,0.151
1986-06-13T17:00,,36.5,32,0.137,0.151
1986-06-13T18:00,,35.8,32,0.137,0.151
1986-06-13T19:00,,34.6,34,0.137,0.151
1986-06-13T20:00,,33.4,37,0.137,0.151
1986-06-13T21:00,,31.9,40,0.137,0.151
1986-06-13T22:00,,31.3,42,0.137,0.151
1986-06-13T23:00,,30.5,46,0.137,0.151
1986-06-14T00:00,,30.2,49,0.137,0.151
1986-06-14T01:00,,31.4,50,0.137,0.151
1986-06-14T02:00,,33.5,46,0.137,0.151
1986-06-14T03:00,,35.3,41,0.137,0.151
1986-06-14T04:00,,37.1,37,0.137,0.151
1986-06-14T05:00,,38.7,35,0.137,0.151
1986-06-14T06:00,,39.8,33,0.137,0.151
1986-06-14T07:00,,38.8,39,0.137,0.151
1986-06-14T08:00,,39.5,37,0.137,0.151
1986-06-14T09:00,,40.0,35,0.137,0.151
1986-06-14T10:00,,40.3,34,0.137,0.151
1986-06-14T11:00,,40.2,34,0.137,0.151
1986-06-14T12:00,,39.8,34,0.137,0.151
1986-06-14T13:00,,38.8,35,0.137,0.151
1986-06-14T14:00,,37.6,38,0.137,0.151
1986-06-14T15:00,,36.5,41,0.137,0.151
1986-06-14T16:00,,35.9,43,0.137,0.151
1986-06-14T17:00,,35.1,45,0.137,0.151
1986-06-14T18:00,,34.5,47,0.137,0.151
1986-06-14T19:00,,33.5,51,0.137,0.151
1986-06-14T20:00,,33.2,52,0.137,0.151
1986-06-14T21:00,,32.7,53,0.137,0.151
1986-06-14T22:00,,32.3,55,0.137,0.151
1986-06-14T23:00,,31.9,57,0.137,0.151
1986-06-15T00:00,,31.5,59,0.137,0.151
1986-06-15T01:00,,31.7,59,0.137,0.151
1986-06-15T02:00,,32.4,57,0.137,0.151
1986-06-15T03:00,,33.6,53,0.137,0.151
1986-06-15T04:00,,35.2,49,0.137,0.151
1986-06-15T05:00,,36.7,45,0.137,0.151
1986-06-15T06:00,,38.0,41,0.137,0.151
1986-06-15T07:00,,40.1,35,0.137,0.151
1986-06-15T08:00,,40.8,32,0.137,0.151
1986-06-15T09:00,,41.4,29,0.137,0.151
1986-06-15T10:00,,41.9,26,0.137,0.151
1986-06-15T11:00,,41.9,25,0.137,0.151
1986-06-15T12:00,,41.6,25,0.137,0.151
1986-06-15T13:00,,40.5,27,0.137,0.151
1986-06-15T14:00,,39.0,30,0.137,0.151
1986-06-15T15:00,,37.5,33,0.137,0.151
1986-06-15T16:00,,36.3,35,0.137,0.151
1986-06-15T17:00,,35.4,39,0.137,0.151
1986-06-15T18:00,,34.6,43,0.137,0.151
1986-06-15T19:00,,33.8,49,0.137,0.151
1986-06-15T20:00,,33.1,54,0.137,0.151
1986-06-15T21:00,,32.4,59,0.137,0.151
1986-06-15T22:00,,31.9,62,0.137,0.151
1986-06-15T23:00,,31.4,64,0.137,0.151
