time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.5,42,0.132,0.15
1986-06-13T01:00,,30.7,54,0.132,0.15
1986-06-13T02:00,,34.2,34,0.132,0.15
1986-06-13T03:00,,36.5,29,0.132,0.15
1986-06-13T04:00,,38.5,26,0.132,0.15
1986-06-13T05:00,,40.2,24,0.132,0.15
1986-06-13T06:00,,41.6,23,0.132,0.15
1986-06-13T07:00,,41.9,22,0.132,0.15
1986-06-13T08:00,,42.9,20,0.132,0.15
1986-06-13T09:00,,43.2,19,0.132,0.15
1986-06-13T10:00,,43.3,19,0.131,0.15
1986-06-13T11:00,,43.1,19,0.131,0.15
1986-06-13T12:00,,42.5,20,0.131,0.15
1986-06-13T13:00,,41.3,22,0.131,0.15
1986-06-13T14:00,,39.7,25,0.131,0.15
1986-06-13T15:00,,38.3,27,0.131,0.15
1986-06-13T16:00,,37.2,29,0.131,0.15
1986-06-13T17:00,,36.5,31,0.131,0.15
1986-06-13T18:00,,35.8,33,0.132,0.15
1986-06-13T19:00,,34.7,35,0.132,0.15
1986-06-13T20:00,,33.9,38,0.132,0.15
1986-06-13T21:00,,33.4,40,0.132,0.15
1986-06-13T22:00,,32.8,42,0.132,0.15
1986-06-13T23:00,,32.1,45,0.132,0.15
1986-06-14T00:00,,31.6,47,0.132,0.15
1986-06-14T01:00,,32.2,49,0.132,0.15
1986-06-14T02:00,,34.4,41,0.132,0.15
1986-06-14T03:00,,36.6,34,0.132,0.15
1986-06-14T04:00,,38.3,30,0.132,0.15
1986-06-14T05:00,,40.0,27,0.132,0.15
1986-06-14T06:00,,41.2,26,0.132,0.15
1986-06-14T07:00,,39.5,37,0.132,0.15
1986-06-14T08:00,,40.1,35,0.132,0.15
1986-06-14T09:00,,40.3,34,0.132,0.15
1986-06-14T10:00,,40.2,34,0.133,0.15
1986-06-14T11:00,,39.8,34,0.133,0.15
1986-06-14T12:00,,39.3,34,0.133,0.15
1986-06-14T13:00,,38.7,35,0.133,0.15
1986-06-14T14:00,,37.6,38,0.133,0.15
1986-06-14T15:00,,36.5,41,0.133,0.15
1986-06-14T16:00,,35.6,44,0.133,0.15
1986-06-14T17:00,,34.7,47,0.133,0.15
1986-06-14T18:00,,34.1,48,0.133,0.15
1986-06-14T19:00,,33.6,53,0.133,0.15
1986-06-14T20:00,,33.2,54,0.133,0.15
1986-06-14T21:00,,32.8,56,0.133,0.149
1986-06-14T22:00,,32.5,58,0.133,0.149
1986-06-14T23:00,,32.1,59,0.133,0.149
1986-06-15T00:00,,31.7,60,0.133,0.149
1986-06-15T01:00,,32.1,59,0.133,0.149
1986-06-15T02:00,,33.0,56,0.133,0.149
1986-06-15T03:00,,34.2,52,0.133,0.149
1986-06-15T04:00,,35.6,48,0.133,0.149
1986-06-15T05:00,,37.0,44,0.133,0.149
1986-06-15T06:00,,38.6,40,0.133,0.149
1986-06-15T07:00,,40.2,34,0.133,0.149
1986-06-15T08:00,,41.0,31,0.132,0.149
1986-06-15T09:00,,41.2,29,0.132,0.149
1986-06-15T10:00,,41.6,27,0.132,0.149
1986-06-15T11:00,,41.4,26,0.132,0.149
1986-06-15T12:00,,41.0,26,0.132,0.149
1986-06-15T13:00,,40.0,28,0.132,0.149
1986-06-15T14:00,,38.6,32,0.132,0.149
1986-06-15T15:00,,37.0,36,0.132,0.149
1986-06-15T16:00,,35.7,39,0.132,0.149
1986-06-15T17:00,,35.0,42,0.132,0.149
1986-06-15T18:00,,34.2,45,0.132,0.149
1986-06-15T19:00,,33.8,51,0.132,0.149
1986-06-15T20:00,,33.2,56,0.132,0.149
1986-06-15T21:00,,32.7,58,0.132,0.149
1986-06-15T22:00,,32.3,60,0.132,0.149
1986-06-15T23:00,,31.9,61,0.132,0.149
