time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.5,96,0.231,0.274
1985-09-11T01:00,,25.6,95,0.231,0.274
1985-09-11T02:00,,26.8,89,0.231,0.274
1985-09-11T03:00,,27.9,82,0.231,0.274
1985-09-11T04:00,,29.1,76,0.23,0.274
1985-09-11T05:00,,30.2,72,0.23,0.273
1985-09-11T06:00,,30.7,72,0.229,0.273
1985-09-11T07:00,,30.4,73,0.229,0.272
1985-09-11T08:00,,30.6,73,0.229,0.272
1985-09-11T09:00,,30.6,73,0.229,0.271
1985-09-11T10:00,,29.3,76,0.259,0.271
1985-09-11T11:00,,29.0,77,0.262,0.271
1985-09-11T12:00,,28.6,79,0.267,0.271
1985-09-11T13:00,,27.3,86,0.282,0.271
1985-09-11T14:00,,26.2,91,0.284,0.271
1985-09-11T15:00,,25.3,93,0.286,0.271
1985-09-11T16:00,,24.9,94,0.288,0.271
1985-09-11T17:00,,24.7,94,0.289,0.271
1985-09-11T18:00,,24.6,94,0.289,0.272
1985-09-11T19:00,,24.9,91,0.289,0.272
1985-09-11T20:00,,24.9,91,0.289,0.272
1985-09-11T21:00,,24.8,91,0.296,0.272
1985-09-11T22:00,,24.2,95,0.317,0.272
1985-09-11T23:00,,24.0,96,0.329,0.272
1985-09-12T00:00,,24.1,96,0.341,0.273
1985-09-12T01:00,,24.1,96,0.353,0.273
1985-09-12T02:00,,24.2,94,0.36,0.274
1985-09-12T03:00,,24.8,90,0.37,0.275
1985-09-12T04:00,,25.7,86,0.371,0.276
1985-09-12T05:00,,26.4,83,0.369,0.277
1985-09-12T06:00,,26.8,81,0.367,0.278
1985-09-12T07:00,,29.3,72,0.365,0.279
1985-09-12T08:00,,29.6,71,0.363,0.279
1985-09-12T09:00,,30.0,70,0.36,0.28
1985-09-12T10:00,,30.0,70,0.357,0.28
1985-09-12T11:00,,29.9,71,0.355,0.281
1985-09-12T12:00,,28.6,76,0.41,0.282
1985-09-12T13:00,,26.4,87,0.439,0.287
1985-09-12T14:00,,25.7,91,0.352,0.319
1985-09-12T15:00,,25.3,94,0.352,0.319
1985-09-12T16:00,,25.0,96,0.351,0.319
1985-09-12T17:00,,24.9,96,0.351,0.319
1985-09-12T18:00,,24.8,94,0.35,0.32
1985-09-12T19:00,,25.1,93,0.352,0.32
1985-09-12T20:00,,25.0,93,0.378,0.32
1985-09-12T21:00,,24.5,95,0.416,0.322
1985-09-12T22:00,,24.1,96,0.439,0.326
1985-09-12T23:00,,23.9,96,0.379,0.354
1985-09-13T00:00,,23.7,97,0.391,0.355
1985-09-13T01:00,,23.7,97,0.401,0.356
1985-09-13T02:00,,23.8,96,0.407,0.357
1985-09-13T03:00,,24.1,96,0.411,0.358
1985-09-13T04:00,,24.4,95,0.412,0.36
1985-09-13T05:00,,24.6,94,0.424,0.362
1985-09-13T06:00,,25.2,91,0.416,0.365
1985-09-13T07:00,,27.8,78,0.409,0.367
1985-09-13T08:00,,28.0,79,0.404,0.368
1985-09-13T09:00,,28.2,80,0.401,0.368
1985-09-13T10:00,,28.3,80,0.398,0.369
1985-09-13T11:00,,28.5,80,0.396,0.369
1985-09-13T12:00,,27.7,82,0.415,0.37
1985-09-13T13:00,,25.7,92,0.439,0.372
1985-09-13T14:00,,24.9,96,0.408,0.396
1985-09-13T15:00,,25.0,96,0.409,0.396
1985-09-13T16:00,,24.8,97,0.411,0.397
1985-09-13T17:00,,24.7,98,0.423,0.397
1985-09-13T18:00,,24.6,97,0.422,0.399
1985-09-13T19:00,,24.2,97,0.439,0.402
1985-09-13T20:00,,24.0,97,0.431,0.424
1985-09-13T21:00,,23.9,96,0.439,0.426
1985-09-13T22:00,,23.8,95,0.418,0.437
1985-09-13T23:00,,23.7,95,0.419,0.43
