time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.7,65,0.141,0.151
1986-06-13T01:00,,31.3,63,0.141,0.151
1986-06-13T02:00,,32.7,58,0.141,0.151
1986-06-13T03:00,,34.3,53,0.141,0.151
1986-06-13T04:00,,36.2,46,0.141,0.151
1986-06-13T05:00,,37.9,40,0.141,0.151
1986-06-13T06:00,,39.4,35,0.141,0.151
1986-06-13T07:00,,40.5,32,0.141,0.151
1986-06-13T08:00,,41.3,29,0.14,0.151
1986-06-13T09:00,,41.9,27,0.14,0.151
1986-06-13T10:00,,42.2,24,0.14,0.151
1986-06-13T11:00,,42.4,22,0.14,0.151
1986-06-13T12:00,,42.0,22,0.14,0.151
1986-06-13T13:00,,41.0,24,0.14,0.151
1986-06-13T14:00,,39.4,27,0.14,0.151
1986-06-13T15:00,,37.6,31,0.14,0.151
1986-06-13T16:00,,36.2,34,0.14,0.151
1986-06-13T17:00,,35.4,35,0.14,0.151
1986-06-13T18:00,,34.6,38,0.14,0.151
1986-06-13T19:00,,34.2,46,0.14,0.151
1986-06-13T20:00,,33.8,49,0.14,0.151
1986-06-13T21:00,,33.3,53,0.14,0.151
1986-06-13T22:00,,32.7,57,0.14,0.151
1986-06-13T23:00,,32.1,61,0.14,0.151
1986-06-14T00:00,,31.5,63,0.139,0.151
1986-06-14T01:00,,31.6,64,0.139,0.151
1986-06-14T02:00,,32.5,61,0.139,0.151
1986-06-14T03:00,,34.0,57,0.139,0.151
1986-06-14T04:00,,35.6,52,0.139,0.151
1986-06-14T05:00,,37.0,47,0.139,0.151
1986-06-14T06:00,,38.3,43,0.139,0.151
1986-06-14T07:00,,37.4,42,0.139,0.151
1986-06-14T08:00,,38.3,39,0.139,0.151
1986-06-14T09:00,,38.9,37,0.139,0.151
1986-06-14T10:00,,39.1,36,0.139,0.151
1986-06-14T11:00,,38.8,36,0.139,0.151
1986-06-14T12:00,,38.5,36,0.139,0.151
1986-06-14T13:00,,37.9,37,0.139,0.151
1986-06-14T14:00,,36.8,40,0.139,0.151
1986-06-14T15:00,,35.8,43,0.139,0.151
1986-06-14T16:00,,35.0,46,0.139,0.151
1986-06-14T17:00,,34.4,47,0.139,0.151
1986-06-14T18:00,,34.0,49,0.139,0.151
1986-06-14T19:00,,33.0,53,0.139,0.151
1986-06-14T20:00,,32.5,55,0.139,0.151
1986-06-14T21:00,,32.0,57,0.139,0.151
1986-06-14T22:00,,31.8,58,0.139,0.151
1986-06-14T23:00,,31.3,60,0.139,0.151
1986-06-15T00:00,,30.3,63,0.139,0.151
1986-06-15T01:00,,29.7,67,0.139,0.151
1986-06-15T02:00,,30.3,65,0.139,0.15
1986-06-15T03:00,,31.3,61,0.14,0.15
1986-06-15T04:00,,33.4,54,0.139,0.15
1986-06-15T05:00,,35.3,48,0.139,0.15
1986-06-15T06:00,,36.9,44,0.139,0.15
1986-06-15T07:00,,39.1,39,0.139,0.15
1986-06-15T08:00,,40.0,36,0.139,0.15
1986-06-15T09:00,,40.5,34,0.139,0.15
1986-06-15T10:00,,40.8,32,0.139,0.15
1986-06-15T11:00,,40.5,31,0.139,0.15
1986-06-15T12:00,,40.4,30,0.139,0.15
1986-06-15T13:00,,39.3,32,0.139,0.15
1986-06-15T14:00,,37.0,39,0.139,0.15
1986-06-15T15:00,,36.0,44,0.139,0.15
1986-06-15T16:00,,35.1,47,0.139,0.15
1986-06-15T17:00,,34.7,49,0.139,0.15
1986-06-15T18:00,,34.1,52,0.139,0.15
1986-06-15T19:00,,32.2,60,0.139,0.15
1986-06-15T20:00,,31.6,63,0.139,0.15
1986-06-15T21:00,,31.1,65,0.139,0.15
1986-06-15T22:00,,30.8,66,0.139,0.15
1986-06-15T23:00,,30.5,67,0.139,0.15
