time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,31.3,63,0.137,0.15
1986-06-13T01:00,,31.8,61,0.137,0.15
1986-06-13T02:00,,32.7,58,0.137,0.15
1986-06-13T03:00,,34.1,54,0.137,0.15
1986-06-13T04:00,,36.1,48,0.137,0.15
1986-06-13T05:00,,38.0,42,0.137,0.15
1986-06-13T06:00,,39.6,38,0.137,0.15
1986-06-13T07:00,,40.6,34,0.137,0.15
1986-06-13T08:00,,41.4,32,0.137,0.15
1986-06-13T09:00,,41.7,31,0.137,0.15
1986-06-13T10:00,,41.9,30,0.137,0.15
1986-06-13T11:00,,41.5,29,0.137,0.15
1986-06-13T12:00,,40.5,30,0.137,0.15
1986-06-13T13:00,,39.3,33,0.137,0.15
1986-06-13T14:00,,38.0,37,0.137,0.15
1986-06-13T15:00,,37.2,40,0.137,0.15
1986-06-13T16:00,,36.4,43,0.137,0.15
1986-06-13T17:00,,35.7,45,0.137,0.15
1986-06-13T18:00,,35.1,48,0.137,0.15
1986-06-13T19:00,,34.3,53,0.137,0.15
1986-06-13T20:00,,33.6,56,0.137,0.15
1986-06-13T21:00,,33.0,59,0.137,0.15
1986-06-13T22:00,,32.5,61,0.137,0.15
1986-06-13T23:00,,32.0,62,0.137,0.15
1986-06-14T00:00,,31.6,64,0.137,0.15
1986-06-14T01:00,,32.0,64,0.137,0.15
1986-06-14T02:00,,33.0,61,0.137,0.15
1986-06-14T03:00,,34.6,55,0.137,0.15
1986-06-14T04:00,,36.4,49,0.137,0.15
1986-06-14T05:00,,38.0,44,0.137,0.15
1986-06-14T06:00,,39.3,40,0.137,0.15
1986-06-14T07:00,,38.9,41,0.137,0.15
1986-06-14T08:00,,39.6,38,0.137,0.15
1986-06-14T09:00,,39.7,37,0.137,0.15
1986-06-14T10:00,,39.8,36,0.137,0.15
1986-06-14T11:00,,39.8,36,0.137,0.15
1986-06-14T12:00,,39.5,37,0.137,0.15
1986-06-14T13:00,,38.6,39,0.137,0.15
1986-06-14T14:00,,37.3,43,0.137,0.15
1986-06-14T15:00,,36.3,46,0.137,0.15
1986-06-14T16:00,,35.5,49,0.137,0.15
1986-06-14T17:00,,34.9,51,0.137,0.15
1986-06-14T18:00,,34.3,53,0.137,0.15
1986-06-14T19:00,,33.2,56,0.137,0.15
1986-06-14T20:00,,32.9,56,0.137,0.15
1986-06-14T21:00,,32.4,57,0.137,0.15
1986-06-14T22:00,,32.0,58,0.137,0.15
1986-06-14T23:00,,31.6,59,0.137,0.15
1986-06-15T00:00,,31.2,61,0.137,0.15
1986-06-15T01:00,,31.6,60,0.137,0.15
1986-06-15T02:00,,32.3,59,0.139,0.15
1986-06-15T03:00,,32.2,61,0.147,0.15
1986-06-15T04:00,,34.2,53,0.146,0.15
1986-06-15T05:00,,36.1,47,0.146,0.15
1986-06-15T06:00,,37.7,42,0.146,0.15
1986-06-15T07:00,,39.2,39,0.145,0.15
1986-06-15T08:00,,39.6,38,0.145,0.15
1986-06-15T09:00,,40.2,36,0.145,0.15
1986-06-15T10:00,,40.2,35,0.144,0.15
1986-06-15T11:00,,39.9,35,0.144,0.15
1986-06-15T12:00,,39.4,36,0.144,0.15
1986-06-15T13:00,,38.3,40,0.144,0.15
1986-06-15T14:00,,36.7,44,0.144,0.15
1986-06-15T15:00,,35.6,48,0.144,0.15
1986-06-15T16:00,,34.8,51,0.144,0.15
1986-06-15T17:00,,34.3,53,0.144,0.15
1986-06-15T18:00,,33.8,55,0.144,0.15
1986-06-15T19:00,,33.4,56,0.144,0.15
1986-06-15T20:00,,32.8,58,0.144,0.15
1986-06-15T21:00,,32.2,60,0.144,0.15
1986-06-15T22:00,,31.4,63,0.144,0.15
1986-06-15T23:00,,30.7,67,0.144,0.15
