time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,31.4,34,0.137,0.151
1986-06-13T01:00,,32.0,35,0.137,0.151
1986-06-13T02:00,,34.3,31,0.137,0.151
1986-06-13T03:00,,36.4,29,0.137,0.151
1986-06-13T04:00,,38.3,27,0.137,0.151
1986-06-13T05:00,,40.0,26,0.137,0.151
1986-06-13T06:00,,41.4,25,0.137,0.151
1986-06-13T07:00,,41.8,24,0.137,0.151
1986-06-13T08:00,,42.7,22,0.137,0.151
1986-06-13T09:00,,43.0,21,0.137,0.151
1986-06-13T10:00,,43.2,21,0.137,0.151
1986-06-13T11:00,,43.0,21,0.137,0.151
1986-06-13T12:00,,42.3,22,0.137,0.151
1986-06-13T13:00,,40.9,25,0.137,0.151
1986-06-13T14:00,,39.0,28,0.137,0.151
1986-06-13T15:00,,37.8,30,0.137,0.151
1986-06-13T16:00,,37.0,31,0.137,0.151
1986-06-13T17:00,,36.1,33,0.137,0.151
1986-06-13T18:00,,35.4,34,0.137,0.151
1986-06-13T19:00,,35.0,32,0.137,0.151
1986-06-13T20:00,,34.1,34,0.137,0.151
1986-06-13T21:00,,34.0,34,0.137,0.151
1986-06-13T22:00,,32.9,39,0.138,0.151
1986-06-13T23:00,,31.3,43,0.138,0.151
1986-06-14T00:00,,31.2,43,0.138,0.151
1986-06-14T01:00,,31.7,42,0.138,0.151
1986-06-14T02:00,,34.1,35,0.138,0.151
1986-06-14T03:00,,36.3,31,0.138,0.151
1986-06-14T04:00,,38.1,29,0.138,0.151
1986-06-14T05:00,,39.8,27,0.138,0.151
1986-06-14T06:00,,41.0,26,0.138,0.151
1986-06-14T07:00,,39.5,35,0.138,0.151
1986-06-14T08:00,,40.2,33,0.139,0.151
1986-06-14T09:00,,40.6,32,0.139,0.151
1986-06-14T10:00,,40.7,31,0.139,0.151
1986-06-14T11:00,,40.5,31,0.139,0.151
1986-06-14T12:00,,40.3,30,0.139,0.151
1986-06-14T13:00,,39.0,31,0.139,0.151
1986-06-14T14:00,,37.9,34,0.139,0.151
1986-06-14T15:00,,36.7,38,0.139,0.151
1986-06-14T16:00,,36.0,40,0.139,0.151
1986-06-14T17:00,,35.3,42,0.139,0.151
1986-06-14T18:00,,34.7,44,0.139,0.151
1986-06-14T19:00,,33.7,50,0.139,0.151
1986-06-14T20:00,,33.4,51,0.139,0.151
1986-06-14T21:00,,32.8,53,0.139,0.151
1986-06-14T22:00,,32.5,55,0.139,0.151
1986-06-14T23:00,,32.0,58,0.139,0.151
1986-06-15T00:00,,31.7,59,0.139,0.151
1986-06-15T01:00,,32.1,59,0.139,0.151
1986-06-15T02:00,,33.2,55,0.138,0.151
1986-06-15T03:00,,34.6,51,0.138,0.151
1986-06-15T04:00,,36.1,46,0.138,0.151
1986-06-15T05:00,,37.5,42,0.138,0.151
1986-06-15T06:00,,38.9,39,0.138,0.151
1986-06-15T07:00,,40.6,32,0.138,0.151
1986-06-15T08:00,,41.2,29,0.138,0.151
1986-06-15T09:00,,41.7,26,0.138,0.151
1986-06-15T10:00,,42.1,24,0.138,0.151
1986-06-15T11:00,,41.9,23,0.138,0.151
1986-06-15T12:00,,41.5,24,0.138,0.151
1986-06-15T13:00,,40.4,27,0.138,0.151
1986-06-15T14:00,,39.1,30,0.138,0.151
1986-06-15T15:00,,37.9,32,0.138,0.151
1986-06-15T16:00,,36.9,34,0.138,0.151
1986-06-15T17:00,,34.8,40,0.138,0.151
1986-06-15T18:00,,34.1,41,0.138,0.151
1986-06-15T19:00,,33.7,46,0.138,0.151
1986-06-15T20:00,,33.3,50,0.138,0.151
1986-06-15T21:00,,32.7,55,0.138,0.151
1986-06-15T22:00,,32.3,59,0.138,0.151
1986-06-15T23:00,,31.8,61,0.138,0.151
