time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.5,96,0.403,0.372
1985-09-11T01:00,,25.8,96,0.4,0.373
1985-09-11T02:00,,26.6,94,0.399,0.373
1985-09-11T03:00,,27.5,91,0.399,0.374
1985-09-11T04:00,,27.7,83,0.426,0.375
1985-09-11T05:00,,26.5,86,0.439,0.38
1985-09-11T06:00,,26.2,89,0.4,0.398
1985-09-11T07:00,,26.2,91,0.404,0.398
1985-09-11T08:00,,26.6,91,0.405,0.398
1985-09-11T09:00,,27.2,91,0.405,0.398
1985-09-11T10:00,,27.5,90,0.404,0.398
1985-09-11T11:00,,27.1,89,0.432,0.399
1985-09-11T12:00,,26.3,91,0.426,0.409
1985-09-11T13:00,,26.1,92,0.406,0.416
1985-09-11T14:00,,26.0,92,0.406,0.415
1985-09-11T15:00,,25.9,92,0.405,0.414
1985-09-11T16:00,,25.6,92,0.404,0.414
1985-09-11T17:00,,25.5,92,0.403,0.413
1985-09-11T18:00,,25.3,92,0.402,0.413
1985-09-11T19:00,,25.5,91,0.402,0.412
1985-09-11T20:00,,25.3,92,0.401,0.411
1985-09-11T21:00,,25.2,92,0.4,0.411
1985-09-11T22:00,,25.0,93,0.4,0.41
1985-09-11T23:00,,24.9,93,0.399,0.41
1985-09-12T00:00,,24.8,94,0.398,0.409
1985-09-12T01:00,,25.0,94,0.398,0.409
1985-09-12T02:00,,26.1,88,0.397,0.408
1985-09-12T03:00,,27.4,81,0.396,0.408
1985-09-12T04:00,,28.5,75,0.395,0.407
1985-09-12T05:00,,29.4,71,0.393,0.405
1985-09-12T06:00,,30.0,68,0.391,0.404
1985-09-12T07:00,,30.7,67,0.389,0.403
1985-09-12T08:00,,31.1,66,0.387,0.402
1985-09-12T09:00,,30.9,67,0.386,0.4
1985-09-12T10:00,,30.8,68,0.384,0.399
1985-09-12T11:00,,30.5,70,0.383,0.398
1985-09-12T12:00,,29.7,74,0.382,0.398
1985-09-12T13:00,,28.8,77,0.382,0.397
1985-09-12T14:00,,28.3,79,0.382,0.397
1985-09-12T15:00,,27.9,81,0.381,0.397
1985-09-12T16:00,,27.5,83,0.381,0.396
1985-09-12T17:00,,27.1,85,0.381,0.396
1985-09-12T18:00,,26.9,85,0.381,0.396
1985-09-12T19:00,,27.0,85,0.381,0.395
1985-09-12T20:00,,26.8,85,0.381,0.395
1985-09-12T21:00,,26.6,86,0.381,0.395
1985-09-12T22:00,,26.3,87,0.381,0.394
1985-09-12T23:00,,26.1,88,0.38,0.394
1985-09-13T00:00,,25.9,89,0.38,0.394
1985-09-13T01:00,,26.0,90,0.38,0.393
1985-09-13T02:00,,27.0,86,0.38,0.393
1985-09-13T03:00,,28.1,81,0.378,0.392
1985-09-13T04:00,,29.1,77,0.377,0.391
1985-09-13T05:00,,30.0,75,0.375,0.39
1985-09-13T06:00,,30.7,74,0.373,0.389
1985-09-13T07:00,,31.6,74,0.371,0.388
1985-09-13T08:00,,31.7,73,0.37,0.387
1985-09-13T09:00,,31.5,72,0.37,0.386
1985-09-13T10:00,,30.8,72,0.371,0.385
1985-09-13T11:00,,30.1,75,0.373,0.385
1985-09-13T12:00,,29.2,80,0.373,0.384
1985-09-13T13:00,,28.3,83,0.373,0.384
1985-09-13T14:00,,27.7,84,0.373,0.384
1985-09-13T15:00,,27.3,85,0.373,0.384
1985-09-13T16:00,,27.0,86,0.372,0.384
1985-09-13T17:00,,26.8,88,0.372,0.383
1985-09-13T18:00,,26.7,89,0.372,0.383
1985-09-13T19:00,,26.9,89,0.372,0.383
1985-09-13T20:00,,26.7,88,0.372,0.383
1985-09-13T21:00,,26.5,88,0.372,0.383
1985-09-13T22:00,,26.2,89,0.372,0.383
1985-09-13T23:00,,25.9,90,0.372,0.382
