time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.1,76,0.139,0.151
1986-06-13T01:00,,29.1,75,0.139,0.151
1986-06-13T02:00,,29.9,72,0.139,0.151
1986-06-13T03:00,,30.7,68,0.14,0.151
1986-06-13T04:00,,30.5,70,0.142,0.151
1986-06-13T05:00,,31.7,65,0.142,0.151
1986-06-13T06:00,,33.2,59,0.142,0.151
1986-06-13T07:00,,37.5,46,0.142,0.151
1986-06-13T08:00,,38.4,43,0.141,0.151
1986-06-13T09:00,,38.9,41,0.141,0.151
1986-06-13T10:00,,38.7,41,0.141,0.151
1986-06-13T11:00,,38.1,43,0.141,0.151
1986-06-13T12:00,,37.0,46,0.141,0.151
1986-06-13T13:00,,35.6,52,0.141,0.151
1986-06-13T14:00,,34.3,56,0.141,0.151
1986-06-13T15:00,,33.4,60,0.141,0.151
1986-06-13T16:00,,32.8,63,0.141,0.151
1986-06-13T17:00,,32.2,65,0.141,0.151
1986-06-13T18:00,,31.7,68,0.141,0.151
1986-06-13T19:00,,29.8,78,0.141,0.151
1986-06-13T20:00,,28.7,81,0.141,0.151
1986-06-13T21:00,,28.2,83,0.141,0.151
1986-06-13T22:00,,27.9,84,0.141,0.151
1986-06-13T23:00,,27.8,85,0.141,0.151
1986-06-14T00:00,,27.7,85,0.141,0.151
1986-06-14T01:00,,28.5,80,0.141,0.151
1986-06-14T02:00,,29.7,74,0.141,0.151
1986-06-14T03:00,,31.3,66,0.141,0.151
1986-06-14T04:00,,32.8,61,0.142,0.151
1986-06-14T05:00,,34.1,57,0.142,0.151
1986-06-14T06:00,,35.8,52,0.142,0.151
1986-06-14T07:00,,36.9,46,0.142,0.151
1986-06-14T08:00,,37.6,43,0.142,0.151
1986-06-14T09:00,,37.9,42,0.141,0.151
1986-06-14T10:00,,38.0,41,0.141,0.151
1986-06-14T11:00,,37.7,42,0.141,0.151
1986-06-14T12:00,,37.0,44,0.141,0.151
1986-06-14T13:00,,35.9,47,0.141,0.151
1986-06-14T14:00,,34.7,52,0.141,0.151
1986-06-14T15:00,,33.8,56,0.141,0.151
1986-06-14T16:00,,33.0,59,0.141,0.151
1986-06-14T17:00,,32.4,63,0.141,0.151
1986-06-14T18:00,,31.9,66,0.141,0.151
1986-06-14T19:00,,31.1,67,0.141,0.151
1986-06-14T20:00,,30.6,70,0.141,0.151
1986-06-14T21:00,,30.2,72,0.141,0.151
1986-06-14T22:00,,29.8,75,0.141,0.151
1986-06-14T23:00,,29.4,77,0.141,0.151
1986-06-15T00:00,,29.1,79,0.141,0.151
1986-06-15T01:00,,29.8,77,0.141,0.151
1986-06-15T02:00,,30.9,72,0.141,0.151
1986-06-15T03:00,,32.6,65,0.141,0.151
1986-06-15T04:00,,34.2,57,0.141,0.151
1986-06-15T05:00,,35.6,52,0.141,0.151
1986-06-15T06:00,,36.6,48,0.141,0.151
1986-06-15T07:00,,35.2,54,0.141,0.151
1986-06-15T08:00,,35.9,51,0.141,0.151
1986-06-15T09:00,,36.3,49,0.141,0.151
1986-06-15T10:00,,36.4,47,0.141,0.151
1986-06-15T11:00,,36.3,47,0.14,0.151
1986-06-15T12:00,,35.8,48,0.14,0.151
1986-06-15T13:00,,34.9,51,0.14,0.151
1986-06-15T14:00,,33.7,55,0.14,0.151
1986-06-15T15:00,,32.7,60,0.14,0.151
1986-06-15T16:00,,31.8,64,0.14,0.151
1986-06-15T17:00,,31.2,68,0.14,0.151
1986-06-15T18:00,,30.6,71,0.14,0.151
1986-06-15T19:00,,29.1,81,0.14,0.151
1986-06-15T20:00,,28.6,84,0.14,0.151
1986-06-15T21:00,,28.2,85,0.14,0.151
1986-06-15T22:00,,27.9,86,0.14,0.151
1986-06-15T23:00,,27.6,87,0.14,0.151
