time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,24.7,96,0.365,0.35
1985-09-11T01:00,,24.7,96,0.364,0.35
1985-09-11T02:00,,25.4,91,0.364,0.35
1985-09-11T03:00,,26.5,86,0.363,0.35
1985-09-11T04:00,,27.5,83,0.362,0.35
1985-09-11T05:00,,28.1,82,0.361,0.35
1985-09-11T06:00,,28.9,81,0.361,0.349
1985-09-11T07:00,,29.2,83,0.36,0.349
1985-09-11T08:00,,30.0,74,0.362,0.349
1985-09-11T09:00,,27.0,84,0.41,0.349
1985-09-11T10:00,,26.4,87,0.411,0.352
1985-09-11T11:00,,26.0,93,0.409,0.354
1985-09-11T12:00,,25.3,92,0.439,0.357
1985-09-11T13:00,,24.9,93,0.387,0.378
1985-09-11T14:00,,24.9,93,0.392,0.378
1985-09-11T15:00,,24.9,94,0.4,0.379
1985-09-11T16:00,,25.0,94,0.409,0.379
1985-09-11T17:00,,24.9,94,0.42,0.381
1985-09-11T18:00,,24.9,93,0.428,0.383
1985-09-11T19:00,,24.9,92,0.421,0.386
1985-09-11T20:00,,24.7,91,0.418,0.388
1985-09-11T21:00,,24.6,91,0.416,0.389
1985-09-11T22:00,,24.5,91,0.414,0.39
1985-09-11T23:00,,24.4,91,0.414,0.391
1985-09-12T00:00,,24.4,91,0.416,0.392
1985-09-12T01:00,,24.5,92,0.417,0.393
1985-09-12T02:00,,24.8,92,0.416,0.394
1985-09-12T03:00,,25.7,90,0.414,0.395
1985-09-12T04:00,,26.9,85,0.411,0.396
1985-09-12T05:00,,27.7,83,0.409,0.396
1985-09-12T06:00,,28.6,81,0.406,0.396
1985-09-12T07:00,,31.4,70,0.402,0.395
1985-09-12T08:00,,32.0,65,0.399,0.394
1985-09-12T09:00,,30.3,72,0.435,0.394
1985-09-12T10:00,,30.4,72,0.42,0.398
1985-09-12T11:00,,29.4,76,0.439,0.4
1985-09-12T12:00,,28.5,83,0.398,0.413
1985-09-12T13:00,,28.1,84,0.398,0.413
1985-09-12T14:00,,27.3,90,0.399,0.412
1985-09-12T15:00,,26.8,91,0.4,0.411
1985-09-12T16:00,,26.5,93,0.399,0.41
1985-09-12T17:00,,26.4,92,0.399,0.41
1985-09-12T18:00,,26.3,92,0.398,0.409
1985-09-12T19:00,,26.7,90,0.397,0.408
1985-09-12T20:00,,26.5,91,0.397,0.408
1985-09-12T21:00,,26.4,90,0.396,0.407
1985-09-12T22:00,,26.2,91,0.396,0.407
1985-09-12T23:00,,26.0,90,0.396,0.406
1985-09-13T00:00,,25.8,90,0.396,0.406
1985-09-13T01:00,,25.6,92,0.4,0.405
1985-09-13T02:00,,26.0,91,0.41,0.405
1985-09-13T03:00,,26.7,88,0.415,0.405
1985-09-13T04:00,,27.8,84,0.413,0.405
1985-09-13T05:00,,28.8,83,0.411,0.405
1985-09-13T06:00,,30.1,74,0.409,0.404
1985-09-13T07:00,,30.7,75,0.41,0.404
1985-09-13T08:00,,30.7,74,0.409,0.403
1985-09-13T09:00,,29.5,77,0.438,0.404
1985-09-13T10:00,,29.3,78,0.417,0.41
1985-09-13T11:00,,27.5,83,0.433,0.411
1985-09-13T12:00,,26.8,88,0.424,0.414
1985-09-13T13:00,,26.5,89,0.42,0.414
1985-09-13T14:00,,26.2,91,0.417,0.414
1985-09-13T15:00,,26.1,92,0.415,0.414
1985-09-13T16:00,,25.9,93,0.413,0.413
1985-09-13T17:00,,25.6,93,0.432,0.414
1985-09-13T18:00,,25.0,95,0.439,0.418
1985-09-13T19:00,,26.0,92,0.417,0.432
1985-09-13T20:00,,25.5,94,0.439,0.431
1985-09-13T21:00,,25.0,96,0.424,0.439
1985-09-13T22:00,,24.6,96,0.405,0.426
1985-09-13T23:00,,24.4,96,0.411,0.425
