time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.2,71,0.137,0.151
1986-06-13T01:00,,29.4,69,0.137,0.151
1986-06-13T02:00,,30.6,64,0.137,0.151
1986-06-13T03:00,,31.9,60,0.137,0.151
1986-06-13T04:00,,33.5,55,0.137,0.151
1986-06-13T05:00,,35.2,50,0.137,0.151
1986-06-13T06:00,,36.2,46,0.137,0.151
1986-06-13T07:00,,37.8,43,0.137,0.151
1986-06-13T08:00,,38.3,41,0.137,0.151
1986-06-13T09:00,,38.5,41,0.137,0.151
1986-06-13T10:00,,38.6,40,0.137,0.151
1986-06-13T11:00,,38.3,40,0.137,0.151
1986-06-13T12:00,,37.0,44,0.138,0.151
1986-06-13T13:00,,36.0,47,0.138,0.151
1986-06-13T14:00,,35.0,51,0.138,0.151
1986-06-13T15:00,,34.4,53,0.138,0.151
1986-06-13T16:00,,33.8,55,0.138,0.151
1986-06-13T17:00,,33.1,58,0.138,0.151
1986-06-13T18:00,,32.5,60,0.138,0.151
1986-06-13T19:00,,30.7,67,0.138,0.151
1986-06-13T20:00,,30.1,69,0.138,0.151
1986-06-13T21:00,,29.4,73,0.138,0.151
1986-06-13T22:00,,28.9,76,0.138,0.151
1986-06-13T23:00,,28.4,77,0.138,0.151
1986-06-14T00:00,,27.7,78,0.138,0.151
1986-06-14T01:00,,28.0,75,0.138,0.151
1986-06-14T02:00,,28.8,70,0.139,0.151
1986-06-14T03:00,,30.2,65,0.138,0.151
1986-06-14T04:00,,31.1,63,0.144,0.151
1986-06-14T05:00,,30.9,67,0.164,0.151
1986-06-14T06:00,,32.6,59,0.164,0.151
1986-06-14T07:00,,34.7,50,0.163,0.151
1986-06-14T08:00,,36.1,46,0.162,0.151
1986-06-14T09:00,,36.5,45,0.161,0.151
1986-06-14T10:00,,36.9,44,0.16,0.151
1986-06-14T11:00,,36.8,44,0.16,0.151
1986-06-14T12:00,,36.4,45,0.159,0.151
1986-06-14T13:00,,35.7,47,0.159,0.151
1986-06-14T14:00,,34.3,51,0.159,0.151
1986-06-14T15:00,,33.4,55,0.159,0.151
1986-06-14T16:00,,32.3,58,0.159,0.151
1986-06-14T17:00,,31.6,61,0.159,0.151
1986-06-14T18:00,,31.2,63,0.159,0.151
1986-06-14T19:00,,30.7,62,0.158,0.151
1986-06-14T20:00,,30.3,63,0.158,0.151
1986-06-14T21:00,,30.0,64,0.158,0.151
1986-06-14T22:00,,29.7,65,0.158,0.151
1986-06-14T23:00,,29.3,67,0.158,0.151
1986-06-15T00:00,,29.0,70,0.158,0.151
1986-06-15T01:00,,29.4,70,0.158,0.151
1986-06-15T02:00,,30.0,69,0.158,0.151
1986-06-15T03:00,,31.8,63,0.158,0.151
1986-06-15T04:00,,33.3,58,0.157,0.151
1986-06-15T05:00,,34.9,52,0.157,0.151
1986-06-15T06:00,,36.2,49,0.156,0.151
1986-06-15T07:00,,36.9,46,0.155,0.151
1986-06-15T08:00,,37.1,45,0.155,0.151
1986-06-15T09:00,,37.0,46,0.154,0.151
1986-06-15T10:00,,36.9,46,0.154,0.151
1986-06-15T11:00,,36.1,48,0.154,0.151
1986-06-15T12:00,,35.2,50,0.158,0.151
1986-06-15T13:00,,34.1,55,0.158,0.151
1986-06-15T14:00,,33.3,57,0.158,0.151
1986-06-15T15:00,,32.6,59,0.158,0.151
1986-06-15T16:00,,32.0,62,0.158,0.151
1986-06-15T17:00,,31.4,65,0.158,0.151
1986-06-15T18:00,,30.7,68,0.158,0.151
1986-06-15T19:00,,29.9,73,0.158,0.151
1986-06-15T20:00,,29.7,73,0.158,0.151
1986-06-15T21:00,,29.3,75,0.159,0.151
1986-06-15T22:00,,28.3,81,0.177,0.151
1986-06-15T23:00,,27.9,83,0.178,0.151
