time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.3,94,0.378,0.357
1985-09-11T01:00,,25.3,94,0.397,0.357
1985-09-11T02:00,,25.8,93,0.422,0.358
1985-09-11T03:00,,27.0,87,0.413,0.361
1985-09-11T04:00,,28.2,85,0.408,0.363
1985-09-11T05:00,,29.6,79,0.404,0.364
1985-09-11T06:00,,28.0,78,0.439,0.366
1985-09-11T07:00,,26.2,88,0.4,0.39
1985-09-11T08:00,,25.7,93,0.423,0.39
1985-09-11T09:00,,26.3,93,0.424,0.392
1985-09-11T10:00,,26.0,94,0.437,0.395
1985-09-11T11:00,,25.8,93,0.422,0.409
1985-09-11T12:00,,25.5,93,0.417,0.415
1985-09-11T13:00,,25.4,94,0.418,0.415
1985-09-11T14:00,,25.4,94,0.419,0.415
1985-09-11T15:00,,25.3,94,0.419,0.415
1985-09-11T16:00,,25.3,93,0.417,0.415
1985-09-11T17:00,,25.3,93,0.416,0.415
1985-09-11T18:00,,25.2,92,0.414,0.414
1985-09-11T19:00,,25.5,89,0.413,0.414
1985-09-11T20:00,,25.4,88,0.411,0.414
1985-09-11T21:00,,25.3,88,0.41,0.413
1985-09-11T22:00,,25.2,88,0.408,0.413
1985-09-11T23:00,,25.2,88,0.407,0.412
1985-09-12T00:00,,25.0,89,0.406,0.412
1985-09-12T01:00,,25.2,90,0.405,0.411
1985-09-12T02:00,,26.5,86,0.404,0.411
1985-09-12T03:00,,28.0,79,0.402,0.41
1985-09-12T04:00,,29.1,76,0.4,0.409
1985-09-12T05:00,,29.9,73,0.397,0.408
1985-09-12T06:00,,30.7,71,0.394,0.406
1985-09-12T07:00,,31.4,66,0.392,0.405
1985-09-12T08:00,,31.6,65,0.389,0.404
1985-09-12T09:00,,31.4,65,0.387,0.402
1985-09-12T10:00,,30.5,71,0.387,0.401
1985-09-12T11:00,,29.9,75,0.387,0.401
1985-09-12T12:00,,29.3,78,0.387,0.4
1985-09-12T13:00,,28.5,81,0.386,0.4
1985-09-12T14:00,,27.9,83,0.386,0.399
1985-09-12T15:00,,27.5,84,0.386,0.399
1985-09-12T16:00,,27.2,85,0.386,0.399
1985-09-12T17:00,,26.8,86,0.385,0.398
1985-09-12T18:00,,26.6,87,0.385,0.398
1985-09-12T19:00,,26.9,88,0.385,0.398
1985-09-12T20:00,,26.9,88,0.385,0.397
1985-09-12T21:00,,26.7,89,0.385,0.397
1985-09-12T22:00,,26.4,90,0.384,0.397
1985-09-12T23:00,,26.1,90,0.384,0.396
1985-09-13T00:00,,25.8,90,0.384,0.396
1985-09-13T01:00,,25.9,90,0.384,0.396
1985-09-13T02:00,,26.9,86,0.383,0.395
1985-09-13T03:00,,28.1,82,0.382,0.395
1985-09-13T04:00,,29.2,80,0.381,0.394
1985-09-13T05:00,,30.1,78,0.379,0.393
1985-09-13T06:00,,30.7,77,0.379,0.392
1985-09-13T07:00,,31.4,69,0.377,0.391
1985-09-13T08:00,,31.7,67,0.375,0.39
1985-09-13T09:00,,31.5,67,0.38,0.389
1985-09-13T10:00,,30.9,70,0.382,0.388
1985-09-13T11:00,,29.9,75,0.387,0.388
1985-09-13T12:00,,28.8,81,0.39,0.388
1985-09-13T13:00,,27.5,87,0.394,0.388
1985-09-13T14:00,,27.0,89,0.394,0.388
1985-09-13T15:00,,26.7,89,0.393,0.388
1985-09-13T16:00,,26.5,90,0.392,0.388
1985-09-13T17:00,,26.2,91,0.391,0.389
1985-09-13T18:00,,26.1,91,0.39,0.389
1985-09-13T19:00,,26.8,87,0.389,0.389
1985-09-13T20:00,,26.6,88,0.389,0.388
1985-09-13T21:00,,26.4,89,0.388,0.388
1985-09-13T22:00,,26.2,90,0.388,0.388
1985-09-13T23:00,,25.9,91,0.387,0.388
