time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,28.4,76,0.155,0.151
1986-06-13T01:00,,28.9,74,0.155,0.151
1986-06-13T02:00,,29.8,70,0.155,0.151
1986-06-13T03:00,,30.9,66,0.155,0.151
1986-06-13T04:00,,30.2,69,0.161,0.151
1986-06-13T05:00,,31.6,63,0.167,0.151
1986-06-13T06:00,,32.8,57,0.166,0.151
1986-06-13T07:00,,35.5,51,0.165,0.151
1986-06-13T08:00,,36.5,48,0.164,0.151
1986-06-13T09:00,,36.5,48,0.163,0.151
1986-06-13T10:00,,36.4,48,0.162,0.151
1986-06-13T11:00,,36.2,48,0.162,0.151
1986-06-13T12:00,,35.5,50,0.161,0.151
1986-06-13T13:00,,34.6,53,0.161,0.151
1986-06-13T14:00,,33.4,57,0.161,0.151
1986-06-13T15:00,,32.5,61,0.161,0.151
1986-06-13T16:00,,31.8,64,0.161,0.151
1986-06-13T17:00,,31.1,68,0.16,0.151
1986-06-13T18:00,,30.5,71,0.16,0.151
1986-06-13T19:00,,28.9,80,0.162,0.151
1986-06-13T20:00,,28.6,81,0.166,0.151
1986-06-13T21:00,,28.5,81,0.166,0.151
1986-06-13T22:00,,28.0,82,0.167,0.151
1986-06-13T23:00,,27.8,82,0.167,0.151
1986-06-14T00:00,,27.7,81,0.167,0.151
1986-06-14T01:00,,28.4,78,0.167,0.151
1986-06-14T02:00,,29.2,76,0.169,0.151
1986-06-14T03:00,,30.2,74,0.171,0.151
1986-06-14T04:00,,31.4,69,0.171,0.151
1986-06-14T05:00,,32.2,66,0.171,0.151
1986-06-14T06:00,,33.2,63,0.174,0.151
1986-06-14T07:00,,34.5,57,0.176,0.151
1986-06-14T08:00,,35.5,53,0.176,0.151
1986-06-14T09:00,,35.5,52,0.175,0.151
1986-06-14T10:00,,35.6,51,0.174,0.151
1986-06-14T11:00,,35.5,51,0.173,0.151
1986-06-14T12:00,,34.8,52,0.174,0.151
1986-06-14T13:00,,34.0,55,0.173,0.151
1986-06-14T14:00,,32.9,59,0.173,0.151
1986-06-14T15:00,,32.3,61,0.173,0.151
1986-06-14T16:00,,31.8,63,0.173,0.151
1986-06-14T17:00,,31.1,67,0.173,0.151
1986-06-14T18:00,,30.5,70,0.174,0.151
1986-06-14T19:00,,30.6,66,0.174,0.151
1986-06-14T20:00,,30.2,69,0.174,0.151
1986-06-14T21:00,,29.6,72,0.174,0.151
1986-06-14T22:00,,29.1,75,0.174,0.151
1986-06-14T23:00,,28.4,77,0.173,0.151
1986-06-15T00:00,,27.8,79,0.173,0.151
1986-06-15T01:00,,28.1,77,0.173,0.151
1986-06-15T02:00,,29.5,71,0.173,0.151
1986-06-15T03:00,,31.3,65,0.172,0.151
1986-06-15T04:00,,32.8,60,0.172,0.151
1986-06-15T05:00,,34.0,55,0.171,0.151
1986-06-15T06:00,,35.3,49,0.17,0.151
1986-06-15T07:00,,33.9,55,0.169,0.151
1986-06-15T08:00,,34.3,53,0.168,0.151
1986-06-15T09:00,,34.8,51,0.167,0.151
1986-06-15T10:00,,34.8,51,0.166,0.151
1986-06-15T11:00,,34.4,52,0.166,0.151
1986-06-15T12:00,,34.0,52,0.165,0.151
1986-06-15T13:00,,33.3,55,0.165,0.151
1986-06-15T14:00,,32.2,60,0.165,0.151
1986-06-15T15:00,,31.4,64,0.165,0.151
1986-06-15T16:00,,30.9,66,0.165,0.151
1986-06-15T17:00,,30.6,68,0.165,0.151
1986-06-15T18:00,,30.2,69,0.164,0.151
1986-06-15T19:00,,29.6,74,0.164,0.151
1986-06-15T20:00,,28.5,79,0.165,0.151
1986-06-15T21:00,,27.5,83,0.165,0.151
1986-06-15T22:00,,26.8,86,0.165,0.151
1986-06-15T23:00,,26.4,87,0.166,0.151
