time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.9,59,0.12,0.133
1986-06-13T01:00,,31.6,62,0.12,0.133
1986-06-13T02:00,,34.0,47,0.12,0.133
1986-06-13T03:00,,36.3,39,0.12,0.133
1986-06-13T04:00,,38.6,32,0.12,0.133
1986-06-13T05:00,,40.6,27,0.12,0.133
1986-06-13T06:00,,42.2,23,0.12,0.133
1986-06-13T07:00,,42.1,26,0.12,0.133
1986-06-13T08:00,,43.1,23,0.12,0.133
1986-06-13T09:00,,43.6,21,0.12,0.133
1986-06-13T10:00,,43.6,20,0.12,0.133
1986-06-13T11:00,,43.2,19,0.12,0.133
1986-06-13T12:00,,42.4,19,0.12,0.133
1986-06-13T13:00,,41.2,22,0.12,0.133
1986-06-13T14:00,,39.4,25,0.12,0.133
1986-06-13T15:00,,37.9,28,0.12,0.133
1986-06-13T16:00,,36.8,32,0.12,0.133
1986-06-13T17:00,,35.8,35,0.12,0.133
1986-06-13T18:00,,35.0,38,0.12,0.133
1986-06-13T19:00,,34.4,43,0.12,0.133
1986-06-13T20:00,,33.8,45,0.12,0.133
1986-06-13T21:00,,33.2,48,0.12,0.133
1986-06-13T22:00,,32.7,50,0.12,0.133
1986-06-13T23:00,,32.2,53,0.12,0.133
1986-06-14T00:00,,31.8,54,0.12,0.133
1986-06-14T01:00,,32.5,53,0.12,0.133
1986-06-14T02:00,,34.6,45,0.12,0.133
1986-06-14T03:00,,36.6,38,0.12,0.133
1986-06-14T04:00,,38.5,34,0.12,0.133
1986-06-14T05:00,,40.2,30,0.12,0.133
1986-06-14T06:00,,41.6,27,0.12,0.133
1986-06-14T07:00,,40.3,35,0.12,0.133
1986-06-14T08:00,,40.2,34,0.121,0.133
1986-06-14T09:00,,40.1,34,0.121,0.133
1986-06-14T10:00,,40.2,33,0.121,0.133
1986-06-14T11:00,,40.1,33,0.121,0.133
1986-06-14T12:00,,39.8,33,0.121,0.133
1986-06-14T13:00,,38.6,35,0.121,0.133
1986-06-14T14:00,,37.1,38,0.121,0.133
1986-06-14T15:00,,36.2,41,0.121,0.133
1986-06-14T16:00,,35.4,43,0.121,0.133
1986-06-14T17:00,,34.7,45,0.121,0.133
1986-06-14T18:00,,34.1,46,0.121,0.133
1986-06-14T19:00,,33.6,52,0.121,0.133
1986-06-14T20:00,,33.2,53,0.121,0.133
1986-06-14T21:00,,32.8,55,0.121,0.133
1986-06-14T22:00,,32.5,57,0.121,0.133
1986-06-14T23:00,,32.1,58,0.121,0.133
1986-06-15T00:00,,31.9,59,0.121,0.133
1986-06-15T01:00,,32.3,58,0.121,0.133
1986-06-15T02:00,,33.7,53,0.121,0.133
1986-06-15T03:00,,35.2,48,0.121,0.133
1986-06-15T04:00,,36.1,46,0.121,0.133
1986-06-15T05:00,,37.4,43,0.121,0.133
1986-06-15T06:00,,38.7,39,0.121,0.133
1986-06-15T07:00,,40.3,34,0.121,0.133
1986-06-15T08:00,,41.1,32,0.121,0.133
1986-06-15T09:00,,41.5,31,0.121,0.133
1986-06-15T10:00,,41.8,29,0.121,0.133
1986-06-15T11:00,,41.6,28,0.121,0.133
1986-06-15T12:00,,41.1,28,0.121,0.133
1986-06-15T13:00,,39.4,30,0.121,0.133
1986-06-15T14:00,,37.8,34,0.121,0.133
1986-06-15T15:00,,36.8,37,0.121,0.133
1986-06-15T16:00,,36.0,40,0.121,0.133
1986-06-15T17:00,,35.5,42,0.121,0.133
1986-06-15T18:00,,34.8,46,0.121,0.133
1986-06-15T19:00,,34.2,50,0.121,0.133
1986-06-15T20:00,,33.8,53,0.121,0.133
1986-06-15T21:00,,33.3,56,0.121,0.133
1986-06-15T22:00,,33.0,58,0.121,0.133
1986-06-15T23:00,,32.5,59,0.121,0.133
