time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.5,94,0.262,0.29
1985-09-11T01:00,,25.4,94,0.263,0.29
1985-09-11T02:00,,26.2,90,0.263,0.29
1985-09-11T03:00,,27.2,84,0.263,0.29
1985-09-11T04:00,,28.3,80,0.262,0.289
1985-09-11T05:00,,29.3,77,0.262,0.289
1985-09-11T06:00,,29.8,77,0.262,0.288
1985-09-11T07:00,,28.5,78,0.264,0.288
1985-09-11T08:00,,28.8,77,0.266,0.288
1985-09-11T09:00,,28.9,77,0.266,0.288
1985-09-11T10:00,,29.2,77,0.266,0.287
1985-09-11T11:00,,29.1,78,0.268,0.287
1985-09-11T12:00,,27.0,85,0.343,0.287
1985-09-11T13:00,,25.4,93,0.378,0.288
1985-09-11T14:00,,25.0,94,0.395,0.289
1985-09-11T15:00,,24.9,94,0.395,0.291
1985-09-11T16:00,,24.8,94,0.395,0.293
1985-09-11T17:00,,24.8,94,0.391,0.295
1985-09-11T18:00,,24.8,93,0.388,0.297
1985-09-11T19:00,,24.8,92,0.384,0.298
1985-09-11T20:00,,24.7,92,0.383,0.3
1985-09-11T21:00,,24.7,92,0.385,0.301
1985-09-11T22:00,,24.6,93,0.386,0.302
1985-09-11T23:00,,24.2,95,0.391,0.303
1985-09-12T00:00,,24.1,94,0.404,0.305
1985-09-12T01:00,,24.0,94,0.417,0.308
1985-09-12T02:00,,24.0,94,0.425,0.312
1985-09-12T03:00,,24.5,92,0.421,0.318
1985-09-12T04:00,,25.1,89,0.42,0.323
1985-09-12T05:00,,26.1,84,0.413,0.327
1985-09-12T06:00,,26.9,83,0.406,0.33
1985-09-12T07:00,,30.2,70,0.398,0.331
1985-09-12T08:00,,30.3,69,0.393,0.332
1985-09-12T09:00,,30.6,68,0.389,0.332
1985-09-12T10:00,,30.3,70,0.386,0.333
1985-09-12T11:00,,29.1,74,0.404,0.334
1985-09-12T12:00,,27.3,84,0.427,0.336
1985-09-12T13:00,,25.9,90,0.429,0.342
1985-09-12T14:00,,25.4,92,0.423,0.348
1985-09-12T15:00,,25.3,93,0.412,0.352
1985-09-12T16:00,,25.2,92,0.406,0.354
1985-09-12T17:00,,25.1,92,0.402,0.355
1985-09-12T18:00,,25.1,92,0.398,0.356
1985-09-12T19:00,,25.5,93,0.399,0.357
1985-09-12T20:00,,25.3,93,0.408,0.358
1985-09-12T21:00,,25.0,94,0.411,0.36
1985-09-12T22:00,,24.6,95,0.422,0.362
1985-09-12T23:00,,24.3,96,0.439,0.366
1985-09-13T00:00,,23.9,96,0.397,0.389
1985-09-13T01:00,,23.8,96,0.412,0.389
1985-09-13T02:00,,23.9,96,0.42,0.39
1985-09-13T03:00,,24.4,95,0.425,0.391
1985-09-13T04:00,,24.8,93,0.431,0.394
1985-09-13T05:00,,25.5,89,0.425,0.397
1985-09-13T06:00,,26.2,87,0.421,0.399
1985-09-13T07:00,,27.6,82,0.416,0.399
1985-09-13T08:00,,28.2,82,0.413,0.399
1985-09-13T09:00,,28.7,82,0.411,0.399
1985-09-13T10:00,,28.9,81,0.409,0.399
1985-09-13T11:00,,29.0,81,0.409,0.399
1985-09-13T12:00,,26.8,87,0.439,0.4
1985-09-13T13:00,,25.6,92,0.41,0.417
1985-09-13T14:00,,25.4,94,0.409,0.416
1985-09-13T15:00,,25.4,94,0.408,0.415
1985-09-13T16:00,,25.1,96,0.408,0.414
1985-09-13T17:00,,24.9,96,0.427,0.414
1985-09-13T18:00,,24.4,97,0.439,0.417
1985-09-13T19:00,,24.2,96,0.428,0.433
1985-09-13T20:00,,24.0,97,0.439,0.433
1985-09-13T21:00,,23.9,97,0.43,0.439
1985-09-13T22:00,,23.8,97,0.405,0.425
1985-09-13T23:00,,23.7,97,0.411,0.423
