time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.1,45,0.121,0.133
1986-06-13T01:00,,31.2,48,0.121,0.133
1986-06-13T02:00,,34.9,33,0.121,0.133
1986-06-13T03:00,,37.3,29,0.121,0.133
1986-06-13T04:00,,39.3,26,0.121,0.133
1986-06-13T05:00,,40.9,24,0.121,0.133
1986-06-13T06:00,,42.2,22,0.121,0.133
1986-06-13T07:00,,42.7,21,0.121,0.133
1986-06-13T08:00,,43.5,19,0.121,0.133
1986-06-13T09:00,,43.7,18,0.121,0.133
1986-06-13T10:00,,43.5,18,0.121,0.133
1986-06-13T11:00,,43.2,18,0.121,0.133
1986-06-13T12:00,,42.6,19,0.121,0.133
1986-06-13T13:00,,41.3,21,0.121,0.133
1986-06-13T14:00,,39.5,23,0.121,0.133
1986-06-13T15:00,,38.3,26,0.121,0.133
1986-06-13T16:00,,36.9,28,0.121,0.133
1986-06-13T17:00,,35.7,31,0.121,0.133
1986-06-13T18:00,,35.2,32,0.121,0.133
1986-06-13T19:00,,34.1,37,0.121,0.133
1986-06-13T20:00,,33.6,39,0.121,0.133
1986-06-13T21:00,,33.2,40,0.121,0.133
1986-06-13T22:00,,32.6,43,0.121,0.133
1986-06-13T23:00,,32.1,46,0.121,0.133
1986-06-14T00:00,,31.6,49,0.121,0.133
1986-06-14T01:00,,32.2,51,0.121,0.133
1986-06-14T02:00,,34.8,40,0.121,0.133
1986-06-14T03:00,,37.3,32,0.121,0.133
1986-06-14T04:00,,39.3,28,0.121,0.133
1986-06-14T05:00,,41.0,25,0.121,0.133
1986-06-14T06:00,,42.1,24,0.121,0.133
1986-06-14T07:00,,40.2,34,0.121,0.133
1986-06-14T08:00,,40.5,32,0.121,0.133
1986-06-14T09:00,,40.8,31,0.121,0.133
1986-06-14T10:00,,40.9,31,0.121,0.133
1986-06-14T11:00,,40.5,31,0.122,0.133
1986-06-14T12:00,,39.2,33,0.122,0.133
1986-06-14T13:00,,38.1,36,0.122,0.133
1986-06-14T14:00,,36.8,39,0.122,0.133
1986-06-14T15:00,,35.9,41,0.122,0.133
1986-06-14T16:00,,35.2,43,0.122,0.133
1986-06-14T17:00,,34.6,44,0.122,0.133
1986-06-14T18:00,,34.1,45,0.122,0.133
1986-06-14T19:00,,33.8,53,0.122,0.133
1986-06-14T20:00,,33.4,54,0.122,0.133
1986-06-14T21:00,,32.9,55,0.122,0.133
1986-06-14T22:00,,32.6,56,0.122,0.133
1986-06-14T23:00,,32.2,57,0.122,0.133
1986-06-15T00:00,,32.1,58,0.122,0.133
1986-06-15T01:00,,32.5,57,0.122,0.133
1986-06-15T02:00,,33.8,53,0.122,0.133
1986-06-15T03:00,,35.2,49,0.122,0.133
1986-06-15T04:00,,36.5,45,0.122,0.133
1986-06-15T05:00,,37.9,41,0.122,0.133
1986-06-15T06:00,,39.2,37,0.122,0.133
1986-06-15T07:00,,40.7,32,0.122,0.133
1986-06-15T08:00,,41.6,29,0.122,0.133
1986-06-15T09:00,,42.0,27,0.122,0.133
1986-06-15T10:00,,42.3,25,0.122,0.133
1986-06-15T11:00,,42.2,24,0.122,0.133
1986-06-15T12:00,,41.4,24,0.122,0.133
1986-06-15T13:00,,40.2,27,0.122,0.133
1986-06-15T14:00,,38.6,31,0.122,0.133
1986-06-15T15:00,,37.0,34,0.122,0.133
1986-06-15T16:00,,36.1,36,0.122,0.133
1986-06-15T17:00,,35.5,39,0.122,0.133
1986-06-15T18:00,,34.7,41,0.122,0.133
1986-06-15T19:00,,34.2,49,0.122,0.133
1986-06-15T20:00,,33.8,51,0.122,0.133
1986-06-15T21:00,,33.3,54,0.122,0.133
1986-06-15T22:00,,33.0,56,0.122,0.133
1986-06-15T23:00,,32.7,58,0.122,0.133
