time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,24.8,97,0.398,0.341
1985-09-11T01:00,,25.1,96,0.394,0.343
1985-09-11T02:00,,26.2,91,0.391,0.344
1985-09-11T03:00,,26.8,90,0.39,0.344
1985-09-11T04:00,,28.2,83,0.393,0.345
1985-09-11T05:00,,28.2,84,0.4,0.346
1985-09-11T06:00,,28.6,81,0.401,0.347
1985-09-11T07:00,,26.5,85,0.439,0.35
1985-09-11T08:00,,26.0,91,0.379,0.372
1985-09-11T09:00,,26.1,91,0.38,0.372
1985-09-11T10:00,,26.8,90,0.38,0.372
1985-09-11T11:00,,27.0,89,0.379,0.372
1985-09-11T12:00,,26.7,89,0.383,0.372
1985-09-11T13:00,,26.1,91,0.387,0.372
1985-09-11T14:00,,25.4,94,0.401,0.373
1985-09-11T15:00,,25.3,95,0.407,0.373
1985-09-11T16:00,,25.3,95,0.414,0.375
1985-09-11T17:00,,25.2,94,0.418,0.376
1985-09-11T18:00,,25.0,95,0.422,0.378
1985-09-11T19:00,,25.1,94,0.424,0.381
1985-09-11T20:00,,25.0,93,0.421,0.384
1985-09-11T21:00,,25.0,94,0.415,0.385
1985-09-11T22:00,,24.9,95,0.411,0.387
1985-09-11T23:00,,24.9,95,0.408,0.387
1985-09-12T00:00,,24.8,95,0.406,0.388
1985-09-12T01:00,,24.9,95,0.403,0.388
1985-09-12T02:00,,25.7,90,0.402,0.389
1985-09-12T03:00,,27.0,83,0.4,0.389
1985-09-12T04:00,,28.3,78,0.398,0.389
1985-09-12T05:00,,29.2,76,0.395,0.388
1985-09-12T06:00,,30.0,74,0.392,0.387
1985-09-12T07:00,,30.6,68,0.39,0.386
1985-09-12T08:00,,31.1,66,0.387,0.386
1985-09-12T09:00,,31.0,65,0.385,0.385
1985-09-12T10:00,,30.8,67,0.384,0.384
1985-09-12T11:00,,30.3,71,0.383,0.384
1985-09-12T12:00,,29.7,75,0.382,0.384
1985-09-12T13:00,,28.7,79,0.382,0.384
1985-09-12T14:00,,28.0,82,0.381,0.383
1985-09-12T15:00,,27.6,83,0.381,0.383
1985-09-12T16:00,,27.3,85,0.381,0.383
1985-09-12T17:00,,27.0,86,0.381,0.383
1985-09-12T18:00,,26.8,87,0.381,0.383
1985-09-12T19:00,,26.8,87,0.381,0.383
1985-09-12T20:00,,26.6,87,0.38,0.383
1985-09-12T21:00,,26.4,88,0.38,0.383
1985-09-12T22:00,,26.2,88,0.38,0.383
1985-09-12T23:00,,26.0,88,0.379,0.383
1985-09-13T00:00,,26.0,88,0.379,0.383
1985-09-13T01:00,,26.0,90,0.378,0.383
1985-09-13T02:00,,27.0,86,0.378,0.382
1985-09-13T03:00,,28.0,82,0.377,0.382
1985-09-13T04:00,,28.9,81,0.377,0.381
1985-09-13T05:00,,29.9,80,0.375,0.381
1985-09-13T06:00,,30.9,72,0.375,0.38
1985-09-13T07:00,,31.4,68,0.374,0.379
1985-09-13T08:00,,31.4,69,0.373,0.379
1985-09-13T09:00,,31.7,67,0.372,0.378
1985-09-13T10:00,,30.3,71,0.38,0.377
1985-09-13T11:00,,30.0,73,0.38,0.377
1985-09-13T12:00,,29.3,78,0.379,0.377
1985-09-13T13:00,,28.5,81,0.379,0.377
1985-09-13T14:00,,28.0,84,0.378,0.377
1985-09-13T15:00,,27.4,87,0.386,0.377
1985-09-13T16:00,,26.7,90,0.391,0.377
1985-09-13T17:00,,26.3,92,0.39,0.378
1985-09-13T18:00,,25.8,95,0.395,0.378
1985-09-13T19:00,,25.7,96,0.399,0.378
1985-09-13T20:00,,25.6,96,0.405,0.379
1985-09-13T21:00,,25.5,95,0.414,0.38
1985-09-13T22:00,,25.2,96,0.425,0.382
1985-09-13T23:00,,25.2,96,0.429,0.385
