time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.7,95,0.236,0.278
1985-09-11T01:00,,25.7,94,0.236,0.278
1985-09-11T02:00,,26.6,89,0.236,0.278
1985-09-11T03:00,,27.6,83,0.236,0.277
1985-09-11T04:00,,28.9,77,0.235,0.277
1985-09-11T05:00,,30.0,74,0.235,0.277
1985-09-11T06:00,,30.4,73,0.234,0.276
1985-09-11T07:00,,29.2,76,0.242,0.276
1985-09-11T08:00,,29.5,74,0.245,0.275
1985-09-11T09:00,,29.7,73,0.246,0.275
1985-09-11T10:00,,29.8,73,0.246,0.275
1985-09-11T11:00,,29.1,76,0.261,0.275
1985-09-11T12:00,,27.4,83,0.285,0.275
1985-09-11T13:00,,26.3,90,0.303,0.275
1985-09-11T14:00,,25.5,93,0.321,0.275
1985-09-11T15:00,,25.1,94,0.327,0.276
1985-09-11T16:00,,24.9,94,0.329,0.276
1985-09-11T17:00,,24.8,95,0.329,0.276
1985-09-11T18:00,,24.7,94,0.328,0.277
1985-09-11T19:00,,24.9,91,0.327,0.277
1985-09-11T20:00,,24.9,91,0.327,0.277
1985-09-11T21:00,,24.8,91,0.329,0.278
1985-09-11T22:00,,24.6,92,0.341,0.278
1985-09-11T23:00,,24.5,93,0.35,0.278
1985-09-12T00:00,,24.2,95,0.371,0.279
1985-09-12T01:00,,23.9,96,0.389,0.28
1985-09-12T02:00,,24.0,96,0.399,0.282
1985-09-12T03:00,,24.5,95,0.403,0.285
1985-09-12T04:00,,25.1,91,0.399,0.288
1985-09-12T05:00,,25.8,87,0.394,0.29
1985-09-12T06:00,,26.3,85,0.389,0.292
1985-09-12T07:00,,29.2,73,0.385,0.293
1985-09-12T08:00,,29.7,71,0.38,0.294
1985-09-12T09:00,,30.0,69,0.376,0.295
1985-09-12T10:00,,29.9,70,0.374,0.296
1985-09-12T11:00,,29.5,73,0.374,0.297
1985-09-12T12:00,,28.1,80,0.402,0.298
1985-09-12T13:00,,26.4,88,0.429,0.301
1985-09-12T14:00,,25.5,93,0.417,0.31
1985-09-12T15:00,,25.2,93,0.406,0.314
1985-09-12T16:00,,25.1,93,0.399,0.316
1985-09-12T17:00,,25.0,92,0.394,0.318
1985-09-12T18:00,,24.9,93,0.39,0.319
1985-09-12T19:00,,25.3,93,0.387,0.32
1985-09-12T20:00,,25.1,94,0.388,0.321
1985-09-12T21:00,,24.8,95,0.4,0.323
1985-09-12T22:00,,24.3,96,0.426,0.325
1985-09-12T23:00,,24.0,96,0.431,0.331
1985-09-13T00:00,,23.7,97,0.421,0.339
1985-09-13T01:00,,23.8,97,0.422,0.343
1985-09-13T02:00,,23.7,97,0.42,0.347
1985-09-13T03:00,,24.0,97,0.42,0.351
1985-09-13T04:00,,24.4,97,0.419,0.354
1985-09-13T05:00,,24.7,94,0.42,0.357
1985-09-13T06:00,,25.7,90,0.412,0.36
1985-09-13T07:00,,27.5,80,0.406,0.361
1985-09-13T08:00,,28.0,79,0.401,0.362
1985-09-13T09:00,,28.5,79,0.398,0.362
1985-09-13T10:00,,28.5,80,0.395,0.363
1985-09-13T11:00,,28.6,79,0.393,0.363
1985-09-13T12:00,,27.6,82,0.415,0.364
1985-09-13T13:00,,25.6,91,0.439,0.366
1985-09-13T14:00,,25.1,94,0.396,0.389
1985-09-13T15:00,,25.0,95,0.397,0.389
1985-09-13T16:00,,24.8,96,0.397,0.389
1985-09-13T17:00,,24.6,97,0.414,0.389
1985-09-13T18:00,,24.2,98,0.439,0.391
1985-09-13T19:00,,24.2,97,0.416,0.412
1985-09-13T20:00,,24.0,97,0.428,0.412
1985-09-13T21:00,,23.9,98,0.426,0.413
1985-09-13T22:00,,23.8,98,0.431,0.414
1985-09-13T23:00,,23.8,97,0.439,0.416
