time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,31.1,63,0.137,0.151
1986-06-13T01:00,,31.7,62,0.137,0.151
1986-06-13T02:00,,33.1,57,0.137,0.151
1986-06-13T03:00,,34.9,51,0.137,0.151
1986-06-13T04:00,,36.8,43,0.137,0.151
1986-06-13T05:00,,38.5,36,0.137,0.151
1986-06-13T06:00,,40.1,32,0.137,0.151
1986-06-13T07:00,,40.7,32,0.137,0.151
1986-06-13T08:00,,41.6,29,0.137,0.151
1986-06-13T09:00,,42.1,27,0.137,0.151
1986-06-13T10:00,,42.5,24,0.137,0.151
1986-06-13T11:00,,42.5,22,0.137,0.151
1986-06-13T12:00,,42.0,22,0.137,0.151
1986-06-13T13:00,,41.0,24,0.137,0.151
1986-06-13T14:00,,39.3,27,0.137,0.151
1986-06-13T15:00,,37.7,31,0.137,0.151
1986-06-13T16:00,,36.4,34,0.137,0.15
1986-06-13T17:00,,35.4,36,0.137,0.15
1986-06-13T18:00,,34.7,39,0.137,0.15
1986-06-13T19:00,,34.4,47,0.137,0.15
1986-06-13T20:00,,33.9,50,0.137,0.15
1986-06-13T21:00,,33.4,53,0.137,0.15
1986-06-13T22:00,,33.0,56,0.137,0.15
1986-06-13T23:00,,32.4,60,0.137,0.15
1986-06-14T00:00,,32.0,62,0.137,0.15
1986-06-14T01:00,,32.4,61,0.137,0.15
1986-06-14T02:00,,33.7,57,0.137,0.15
1986-06-14T03:00,,35.3,51,0.137,0.15
1986-06-14T04:00,,36.9,46,0.137,0.15
1986-06-14T05:00,,38.3,41,0.137,0.15
1986-06-14T06:00,,39.4,39,0.137,0.15
1986-06-14T07:00,,38.8,41,0.137,0.15
1986-06-14T08:00,,39.3,38,0.137,0.15
1986-06-14T09:00,,39.7,37,0.137,0.15
1986-06-14T10:00,,39.6,36,0.137,0.15
1986-06-14T11:00,,38.6,38,0.138,0.15
1986-06-14T12:00,,37.9,38,0.142,0.15
1986-06-14T13:00,,36.9,41,0.142,0.15
1986-06-14T14:00,,36.0,44,0.142,0.15
1986-06-14T15:00,,35.2,47,0.142,0.15
1986-06-14T16:00,,34.3,50,0.142,0.15
1986-06-14T17:00,,33.7,51,0.142,0.15
1986-06-14T18:00,,33.5,52,0.142,0.15
1986-06-14T19:00,,33.0,56,0.142,0.15
1986-06-14T20:00,,32.7,57,0.142,0.15
1986-06-14T21:00,,32.3,58,0.142,0.15
1986-06-14T22:00,,31.9,59,0.142,0.15
1986-06-14T23:00,,31.5,60,0.142,0.15
1986-06-15T00:00,,31.3,61,0.142,0.15
1986-06-15T01:00,,31.4,61,0.142,0.15
1986-06-15T02:00,,31.6,60,0.142,0.15
1986-06-15T03:00,,32.6,57,0.141,0.15
1986-06-15T04:00,,34.3,52,0.141,0.15
1986-06-15T05:00,,36.0,47,0.141,0.15
1986-06-15T06:00,,37.5,43,0.141,0.15
1986-06-15T07:00,,39.2,39,0.141,0.15
1986-06-15T08:00,,40.0,36,0.141,0.15
1986-06-15T09:00,,40.5,34,0.141,0.15
1986-06-15T10:00,,40.6,33,0.14,0.15
1986-06-15T11:00,,40.5,31,0.14,0.15
1986-06-15T12:00,,40.2,31,0.14,0.15
1986-06-15T13:00,,38.9,35,0.14,0.15
1986-06-15T14:00,,37.1,40,0.14,0.15
1986-06-15T15:00,,36.1,42,0.14,0.15
1986-06-15T16:00,,35.3,45,0.14,0.15
1986-06-15T17:00,,34.7,47,0.14,0.15
1986-06-15T18:00,,34.1,51,0.14,0.15
1986-06-15T19:00,,33.0,59,0.14,0.15
1986-06-15T20:00,,32.4,60,0.14,0.15
1986-06-15T21:00,,32.0,61,0.14,0.15
1986-06-15T22:00,,31.7,62,0.14,0.15
1986-06-15T23:00,,31.4,62,0.14,0.15
