time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,31.3,62,0.137,0.15
1986-06-13T01:00,,31.7,61,0.137,0.15
1986-06-13T02:00,,33.0,56,0.137,0.15
1986-06-13T03:00,,34.6,51,0.137,0.15
1986-06-13T04:00,,36.4,46,0.137,0.15
1986-06-13T05:00,,38.1,40,0.137,0.15
1986-06-13T06:00,,39.5,36,0.137,0.15
1986-06-13T07:00,,40.4,33,0.137,0.15
1986-06-13T08:00,,41.2,31,0.137,0.15
1986-06-13T09:00,,41.7,29,0.137,0.15
1986-06-13T10:00,,42.0,28,0.137,0.15
1986-06-13T11:00,,42.0,26,0.137,0.15
1986-06-13T12:00,,41.5,25,0.137,0.15
1986-06-13T13:00,,40.4,27,0.137,0.15
1986-06-13T14:00,,38.9,30,0.137,0.15
1986-06-13T15:00,,37.3,34,0.137,0.15
1986-06-13T16:00,,36.3,37,0.137,0.15
1986-06-13T17:00,,35.5,41,0.137,0.15
1986-06-13T18:00,,34.8,44,0.137,0.15
1986-06-13T19:00,,34.4,51,0.137,0.15
1986-06-13T20:00,,33.7,54,0.137,0.15
1986-06-13T21:00,,33.2,57,0.137,0.15
1986-06-13T22:00,,32.7,60,0.137,0.15
1986-06-13T23:00,,32.2,62,0.137,0.15
1986-06-14T00:00,,31.8,64,0.137,0.15
1986-06-14T01:00,,32.1,63,0.137,0.15
1986-06-14T02:00,,33.1,60,0.137,0.15
1986-06-14T03:00,,34.6,55,0.137,0.15
1986-06-14T04:00,,36.3,49,0.137,0.15
1986-06-14T05:00,,37.7,45,0.137,0.15
1986-06-14T06:00,,38.9,41,0.137,0.15
1986-06-14T07:00,,38.4,42,0.137,0.15
1986-06-14T08:00,,39.0,40,0.137,0.15
1986-06-14T09:00,,39.3,38,0.137,0.15
1986-06-14T10:00,,39.3,37,0.137,0.15
1986-06-14T11:00,,39.2,37,0.137,0.15
1986-06-14T12:00,,38.7,37,0.138,0.15
1986-06-14T13:00,,37.6,39,0.138,0.15
1986-06-14T14:00,,36.3,43,0.138,0.15
1986-06-14T15:00,,35.3,47,0.138,0.15
1986-06-14T16:00,,34.6,49,0.138,0.15
1986-06-14T17:00,,33.9,52,0.138,0.15
1986-06-14T18:00,,33.5,54,0.138,0.15
1986-06-14T19:00,,32.8,56,0.138,0.15
1986-06-14T20:00,,32.5,57,0.138,0.15
1986-06-14T21:00,,32.0,59,0.138,0.15
1986-06-14T22:00,,31.7,59,0.138,0.15
1986-06-14T23:00,,31.3,61,0.138,0.15
1986-06-15T00:00,,30.9,62,0.138,0.15
1986-06-15T01:00,,30.6,64,0.14,0.15
1986-06-15T02:00,,30.6,65,0.14,0.15
1986-06-15T03:00,,31.7,61,0.139,0.15
1986-06-15T04:00,,33.7,54,0.139,0.15
1986-06-15T05:00,,35.7,48,0.139,0.15
1986-06-15T06:00,,37.2,44,0.139,0.15
1986-06-15T07:00,,38.8,40,0.139,0.15
1986-06-15T08:00,,39.7,37,0.139,0.15
1986-06-15T09:00,,40.2,35,0.139,0.15
1986-06-15T10:00,,40.2,34,0.139,0.15
1986-06-15T11:00,,40.1,34,0.139,0.15
1986-06-15T12:00,,39.8,34,0.139,0.15
1986-06-15T13:00,,38.4,38,0.139,0.15
1986-06-15T14:00,,36.9,42,0.139,0.15
1986-06-15T15:00,,35.9,46,0.139,0.15
1986-06-15T16:00,,35.0,49,0.139,0.15
1986-06-15T17:00,,34.4,51,0.139,0.15
1986-06-15T18:00,,33.6,54,0.139,0.15
1986-06-15T19:00,,32.6,59,0.139,0.15
1986-06-15T20:00,,32.1,61,0.139,0.15
1986-06-15T21:00,,31.7,62,0.139,0.15
1986-06-15T22:00,,31.3,63,0.139,0.15
1986-06-15T23:00,,30.9,64,0.139,0.15
