time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.0,97,0.223,0.269
1985-09-11T01:00,,25.1,98,0.223,0.269
1985-09-11T02:00,,26.5,91,0.223,0.269
1985-09-11T03:00,,28.1,84,0.223,0.269
1985-09-11T04:00,,29.7,76,0.222,0.269
1985-09-11T05:00,,30.7,72,0.222,0.268
1985-09-11T06:00,,31.6,69,0.221,0.267
1985-09-11T07:00,,31.5,69,0.22,0.267
1985-09-11T08:00,,31.9,69,0.219,0.266
1985-09-11T09:00,,31.9,70,0.218,0.265
1985-09-11T10:00,,31.5,71,0.219,0.265
1985-09-11T11:00,,29.7,73,0.248,0.265
1985-09-11T12:00,,28.3,79,0.251,0.265
1985-09-11T13:00,,27.7,83,0.251,0.265
1985-09-11T14:00,,27.5,84,0.251,0.265
1985-09-11T15:00,,27.1,87,0.251,0.265
1985-09-11T16:00,,26.7,88,0.251,0.265
1985-09-11T17:00,,26.3,88,0.251,0.265
1985-09-11T18:00,,25.7,89,0.251,0.265
1985-09-11T19:00,,25.6,87,0.251,0.265
1985-09-11T20:00,,25.3,87,0.251,0.265
1985-09-11T21:00,,25.2,87,0.251,0.265
1985-09-11T22:00,,25.0,88,0.251,0.265
1985-09-11T23:00,,24.9,89,0.252,0.265
1985-09-12T00:00,,24.8,89,0.255,0.265
1985-09-12T01:00,,24.9,90,0.262,0.265
1985-09-12T02:00,,25.3,89,0.27,0.265
1985-09-12T03:00,,26.0,84,0.272,0.266
1985-09-12T04:00,,26.7,79,0.273,0.266
1985-09-12T05:00,,27.1,78,0.274,0.265
1985-09-12T06:00,,28.1,76,0.273,0.265
1985-09-12T07:00,,29.5,69,0.272,0.265
1985-09-12T08:00,,29.5,69,0.272,0.265
1985-09-12T09:00,,29.8,69,0.272,0.265
1985-09-12T10:00,,29.6,70,0.274,0.264
1985-09-12T11:00,,28.3,77,0.308,0.265
1985-09-12T12:00,,27.1,84,0.316,0.265
1985-09-12T13:00,,26.5,88,0.316,0.265
1985-09-12T14:00,,26.2,90,0.316,0.265
1985-09-12T15:00,,26.0,91,0.316,0.266
1985-09-12T16:00,,25.7,93,0.315,0.266
1985-09-12T17:00,,25.3,95,0.315,0.266
1985-09-12T18:00,,25.5,93,0.314,0.266
1985-09-12T19:00,,25.1,96,0.316,0.267
1985-09-12T20:00,,24.9,96,0.333,0.267
1985-09-12T21:00,,24.7,97,0.37,0.268
1985-09-12T22:00,,24.4,98,0.417,0.269
1985-09-12T23:00,,24.2,98,0.433,0.275
1985-09-13T00:00,,24.1,96,0.411,0.289
1985-09-13T01:00,,24.0,97,0.412,0.292
1985-09-13T02:00,,23.8,97,0.414,0.296
1985-09-13T03:00,,24.0,96,0.418,0.3
1985-09-13T04:00,,24.2,95,0.418,0.305
1985-09-13T05:00,,24.4,94,0.419,0.31
1985-09-13T06:00,,24.4,93,0.42,0.314
1985-09-13T07:00,,27.1,79,0.407,0.318
1985-09-13T08:00,,27.9,77,0.399,0.32
1985-09-13T09:00,,28.2,78,0.393,0.321
1985-09-13T10:00,,28.0,78,0.39,0.322
1985-09-13T11:00,,27.8,79,0.388,0.323
1985-09-13T12:00,,26.6,83,0.403,0.324
1985-09-13T13:00,,25.9,88,0.404,0.326
1985-09-13T14:00,,25.4,91,0.408,0.328
1985-09-13T15:00,,24.9,95,0.404,0.331
1985-09-13T16:00,,24.7,96,0.402,0.332
1985-09-13T17:00,,24.5,96,0.4,0.334
1985-09-13T18:00,,24.3,96,0.398,0.335
1985-09-13T19:00,,24.5,95,0.396,0.337
1985-09-13T20:00,,24.1,96,0.42,0.338
1985-09-13T21:00,,23.9,97,0.428,0.342
1985-09-13T22:00,,23.8,97,0.413,0.347
1985-09-13T23:00,,23.7,96,0.428,0.35
