time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.2,55,0.136,0.15
1986-06-13T01:00,,30.0,58,0.136,0.15
1986-06-13T02:00,,32.6,51,0.136,0.15
1986-06-13T03:00,,34.5,45,0.136,0.15
1986-06-13T04:00,,36.5,39,0.136,0.15
1986-06-13T05:00,,38.2,34,0.136,0.15
1986-06-13T06:00,,39.8,30,0.136,0.15
1986-06-13T07:00,,40.8,29,0.136,0.15
1986-06-13T08:00,,41.7,26,0.136,0.15
1986-06-13T09:00,,42.3,24,0.136,0.15
1986-06-13T10:00,,42.7,22,0.136,0.15
1986-06-13T11:00,,42.7,21,0.136,0.15
1986-06-13T12:00,,42.2,21,0.136,0.15
1986-06-13T13:00,,41.2,23,0.136,0.15
1986-06-13T14:00,,39.5,26,0.136,0.15
1986-06-13T15:00,,38.1,28,0.136,0.15
1986-06-13T16:00,,37.0,30,0.136,0.15
1986-06-13T17:00,,36.3,31,0.136,0.15
1986-06-13T18:00,,35.5,33,0.136,0.15
1986-06-13T19:00,,34.0,35,0.136,0.15
1986-06-13T20:00,,33.2,39,0.136,0.15
1986-06-13T21:00,,32.6,43,0.136,0.15
1986-06-13T22:00,,32.2,48,0.136,0.15
1986-06-13T23:00,,31.7,53,0.136,0.15
1986-06-14T00:00,,31.3,58,0.136,0.15
1986-06-14T01:00,,31.7,60,0.136,0.15
1986-06-14T02:00,,32.9,57,0.136,0.15
1986-06-14T03:00,,34.5,52,0.136,0.15
1986-06-14T04:00,,36.1,47,0.136,0.15
1986-06-14T05:00,,37.7,43,0.136,0.15
1986-06-14T06:00,,39.0,39,0.136,0.15
1986-06-14T07:00,,37.9,41,0.136,0.15
1986-06-14T08:00,,38.7,38,0.136,0.15
1986-06-14T09:00,,39.3,36,0.136,0.15
1986-06-14T10:00,,39.6,35,0.136,0.15
1986-06-14T11:00,,39.5,35,0.136,0.15
1986-06-14T12:00,,39.3,35,0.136,0.15
1986-06-14T13:00,,38.1,37,0.137,0.15
1986-06-14T14:00,,36.9,41,0.137,0.15
1986-06-14T15:00,,36.1,43,0.137,0.15
1986-06-14T16:00,,35.5,44,0.137,0.15
1986-06-14T17:00,,34.9,45,0.137,0.15
1986-06-14T18:00,,34.4,46,0.137,0.15
1986-06-14T19:00,,33.3,50,0.137,0.15
1986-06-14T20:00,,32.9,51,0.137,0.15
1986-06-14T21:00,,32.3,54,0.137,0.15
1986-06-14T22:00,,31.9,56,0.137,0.15
1986-06-14T23:00,,31.3,58,0.137,0.15
1986-06-15T00:00,,30.7,61,0.137,0.15
1986-06-15T01:00,,30.4,63,0.137,0.15
1986-06-15T02:00,,31.1,61,0.137,0.15
1986-06-15T03:00,,32.5,57,0.137,0.15
1986-06-15T04:00,,34.3,51,0.137,0.15
1986-06-15T05:00,,35.9,47,0.137,0.15
1986-06-15T06:00,,37.2,43,0.137,0.15
1986-06-15T07:00,,39.6,37,0.137,0.15
1986-06-15T08:00,,40.4,33,0.137,0.15
1986-06-15T09:00,,41.1,30,0.137,0.15
1986-06-15T10:00,,41.5,28,0.137,0.15
1986-06-15T11:00,,41.6,26,0.137,0.15
1986-06-15T12:00,,41.2,26,0.137,0.15
1986-06-15T13:00,,40.3,27,0.137,0.15
1986-06-15T14:00,,38.7,30,0.137,0.15
1986-06-15T15:00,,37.2,33,0.137,0.15
1986-06-15T16:00,,36.1,37,0.137,0.15
1986-06-15T17:00,,35.2,43,0.137,0.15
1986-06-15T18:00,,34.4,47,0.137,0.15
1986-06-15T19:00,,33.2,54,0.137,0.15
1986-06-15T20:00,,32.5,58,0.137,0.15
1986-06-15T21:00,,31.8,61,0.137,0.15
1986-06-15T22:00,,31.3,63,0.137,0.15
1986-06-15T23:00,,30.9,65,0.137,0.15
