time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.9,65,0.136,0.149
1986-06-13T01:00,,31.4,63,0.136,0.149
1986-06-13T02:00,,32.6,60,0.136,0.149
1986-06-13T03:00,,34.1,55,0.136,0.149
1986-06-13T04:00,,35.8,50,0.136,0.149
1986-06-13T05:00,,37.8,44,0.136,0.149
1986-06-13T06:00,,39.2,40,0.136,0.149
1986-06-13T07:00,,40.0,37,0.136,0.149
1986-06-13T08:00,,40.8,35,0.136,0.149
1986-06-13T09:00,,41.1,33,0.136,0.149
1986-06-13T10:00,,41.2,33,0.136,0.149
1986-06-13T11:00,,41.0,33,0.136,0.149
1986-06-13T12:00,,40.5,34,0.136,0.149
1986-06-13T13:00,,39.3,37,0.136,0.149
1986-06-13T14:00,,37.9,41,0.136,0.149
1986-06-13T15:00,,36.8,45,0.136,0.149
1986-06-13T16:00,,35.9,47,0.136,0.149
1986-06-13T17:00,,35.2,49,0.136,0.149
1986-06-13T18:00,,34.6,52,0.136,0.149
1986-06-13T19:00,,33.7,56,0.136,0.149
1986-06-13T20:00,,33.0,59,0.136,0.149
1986-06-13T21:00,,32.4,61,0.136,0.149
1986-06-13T22:00,,31.9,63,0.136,0.149
1986-06-13T23:00,,31.4,65,0.136,0.149
1986-06-14T00:00,,31.0,68,0.136,0.149
1986-06-14T01:00,,31.4,68,0.136,0.149
1986-06-14T02:00,,32.6,64,0.136,0.149
1986-06-14T03:00,,34.2,58,0.136,0.149
1986-06-14T04:00,,36.0,52,0.136,0.149
1986-06-14T05:00,,37.4,47,0.136,0.149
1986-06-14T06:00,,38.8,42,0.136,0.149
1986-06-14T07:00,,38.5,42,0.136,0.149
1986-06-14T08:00,,39.2,40,0.136,0.149
1986-06-14T09:00,,39.3,39,0.136,0.149
1986-06-14T10:00,,39.5,38,0.136,0.149
1986-06-14T11:00,,39.4,38,0.136,0.149
1986-06-14T12:00,,39.1,39,0.136,0.149
1986-06-14T13:00,,38.3,41,0.136,0.149
1986-06-14T14:00,,36.8,45,0.136,0.149
1986-06-14T15:00,,35.8,49,0.136,0.149
1986-06-14T16:00,,35.1,51,0.136,0.149
1986-06-14T17:00,,34.5,53,0.136,0.149
1986-06-14T18:00,,34.0,54,0.136,0.149
1986-06-14T19:00,,33.0,56,0.136,0.149
1986-06-14T20:00,,32.6,56,0.136,0.149
1986-06-14T21:00,,32.1,58,0.136,0.149
1986-06-14T22:00,,31.7,59,0.136,0.149
1986-06-14T23:00,,31.2,61,0.136,0.149
1986-06-15T00:00,,30.8,63,0.136,0.149
1986-06-15T01:00,,31.2,62,0.136,0.149
1986-06-15T02:00,,32.5,58,0.136,0.149
1986-06-15T03:00,,34.1,54,0.136,0.149
1986-06-15T04:00,,34.9,51,0.136,0.149
1986-06-15T05:00,,36.1,47,0.136,0.149
1986-06-15T06:00,,37.6,43,0.136,0.149
1986-06-15T07:00,,38.6,42,0.136,0.149
1986-06-15T08:00,,38.5,41,0.136,0.149
1986-06-15T09:00,,39.0,40,0.136,0.149
1986-06-15T10:00,,39.1,40,0.136,0.149
1986-06-15T11:00,,38.9,39,0.136,0.149
1986-06-15T12:00,,38.4,41,0.136,0.149
1986-06-15T13:00,,37.3,44,0.136,0.149
1986-06-15T14:00,,35.9,48,0.136,0.149
1986-06-15T15:00,,35.1,51,0.136,0.149
1986-06-15T16:00,,34.4,53,0.136,0.149
1986-06-15T17:00,,33.9,55,0.136,0.149
1986-06-15T18:00,,33.4,56,0.136,0.149
1986-06-15T19:00,,33.0,57,0.136,0.149
1986-06-15T20:00,,32.2,60,0.136,0.149
1986-06-15T21:00,,31.2,65,0.136,0.149
1986-06-15T22:00,,30.5,69,0.136,0.149
1986-06-15T23:00,,30.1,72,0.136,0.149
