time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-09-11T00:00,,25.1,94,0.388,0.339
1985-09-11T01:00,,25.0,96,0.395,0.341
1985-09-11T02:00,,25.9,93,0.394,0.342
1985-09-11T03:00,,26.7,90,0.393,0.343
1985-09-11T04:00,,28.1,82,0.391,0.344
1985-09-11T05:00,,28.7,82,0.389,0.345
1985-09-11T06:00,,29.2,82,0.387,0.345
1985-09-11T07:00,,28.9,79,0.385,0.346
1985-09-11T08:00,,28.5,79,0.397,0.346
1985-09-11T09:00,,28.9,78,0.394,0.347
1985-09-11T10:00,,29.0,77,0.39,0.348
1985-09-11T11:00,,29.1,78,0.387,0.348
1985-09-11T12:00,,28.6,81,0.386,0.349
1985-09-11T13:00,,26.8,87,0.409,0.35
1985-09-11T14:00,,25.1,92,0.435,0.352
1985-09-11T15:00,,24.7,95,0.391,0.368
1985-09-11T16:00,,24.8,96,0.393,0.369
1985-09-11T17:00,,24.7,96,0.396,0.37
1985-09-11T18:00,,24.5,97,0.399,0.371
1985-09-11T19:00,,24.9,94,0.397,0.371
1985-09-11T20:00,,24.9,93,0.396,0.372
1985-09-11T21:00,,24.7,93,0.395,0.373
1985-09-11T22:00,,24.6,93,0.394,0.373
1985-09-11T23:00,,24.4,93,0.395,0.373
1985-09-12T00:00,,24.5,92,0.398,0.374
1985-09-12T01:00,,24.4,94,0.404,0.375
1985-09-12T02:00,,24.6,93,0.405,0.375
1985-09-12T03:00,,25.0,93,0.404,0.376
1985-09-12T04:00,,25.5,90,0.402,0.377
1985-09-12T05:00,,26.2,86,0.4,0.378
1985-09-12T06:00,,27.0,82,0.398,0.378
1985-09-12T07:00,,30.4,67,0.394,0.378
1985-09-12T08:00,,31.1,66,0.391,0.377
1985-09-12T09:00,,31.2,66,0.387,0.376
1985-09-12T10:00,,31.0,67,0.385,0.376
1985-09-12T11:00,,30.4,70,0.385,0.376
1985-09-12T12:00,,29.7,76,0.383,0.375
1985-09-12T13:00,,28.8,80,0.382,0.376
1985-09-12T14:00,,27.7,87,0.382,0.376
1985-09-12T15:00,,27.1,89,0.381,0.376
1985-09-12T16:00,,26.7,91,0.38,0.376
1985-09-12T17:00,,26.2,94,0.38,0.376
1985-09-12T18:00,,25.9,97,0.379,0.376
1985-09-12T19:00,,26.3,95,0.379,0.376
1985-09-12T20:00,,26.0,95,0.38,0.376
1985-09-12T21:00,,25.6,96,0.389,0.376
1985-09-12T22:00,,25.1,97,0.429,0.377
1985-09-12T23:00,,24.9,98,0.439,0.383
1985-09-13T00:00,,24.5,97,0.415,0.406
1985-09-13T01:00,,24.2,98,0.437,0.407
1985-09-13T02:00,,24.5,97,0.43,0.414
1985-09-13T03:00,,24.8,96,0.43,0.416
1985-09-13T04:00,,25.4,91,0.426,0.418
1985-09-13T05:00,,26.4,87,0.423,0.418
1985-09-13T06:00,,27.0,86,0.421,0.418
1985-09-13T07:00,,28.3,79,0.418,0.417
1985-09-13T08:00,,28.8,77,0.414,0.416
1985-09-13T09:00,,29.4,74,0.411,0.415
1985-09-13T10:00,,29.4,74,0.409,0.414
1985-09-13T11:00,,29.2,75,0.411,0.413
1985-09-13T12:00,,28.1,80,0.413,0.413
1985-09-13T13:00,,27.1,88,0.411,0.413
1985-09-13T14:00,,26.6,90,0.41,0.413
1985-09-13T15:00,,26.2,92,0.408,0.412
1985-09-13T16:00,,26.1,92,0.407,0.412
1985-09-13T17:00,,25.9,93,0.406,0.412
1985-09-13T18:00,,25.4,96,0.407,0.411
1985-09-13T19:00,,25.2,97,0.439,0.413
1985-09-13T20:00,,24.7,97,0.422,0.43
1985-09-13T21:00,,24.3,98,0.439,0.43
1985-09-13T22:00,,23.9,97,0.429,0.439
1985-09-13T23:00,,23.9,97,0.415,0.43
