time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.6,68,0.166,0.154
1986-06-13T01:00,,29.9,66,0.166,0.154
1986-06-13T02:00,,30.8,62,0.166,0.154
1986-06-13T03:00,,32.3,57,0.165,0.153
1986-06-13T04:00,,33.7,53,0.165,0.153
1986-06-13T05:00,,35.3,49,0.164,0.153
1986-06-13T06:00,,36.8,45,0.163,0.153
1986-06-13T07:00,,38.0,42,0.162,0.153
1986-06-13T08:00,,38.9,40,0.161,0.153
1986-06-13T09:00,,39.4,38,0.159,0.153
1986-06-13T10:00,,39.7,36,0.158,0.153
1986-06-13T11:00,,39.6,36,0.158,0.153
1986-06-13T12:00,,37.7,40,0.157,0.153
1986-06-13T13:00,,36.2,45,0.157,0.153
1986-06-13T14:00,,34.8,49,0.157,0.153
1986-06-13T15:00,,34.0,52,0.157,0.153
1986-06-13T16:00,,33.5,53,0.157,0.153
1986-06-13T17:00,,33.1,55,0.157,0.153
1986-06-13T18:00,,32.7,56,0.157,0.153
1986-06-13T19:00,,31.3,61,0.157,0.153
1986-06-13T20:00,,30.6,63,0.157,0.153
1986-06-13T21:00,,30.0,65,0.156,0.153
1986-06-13T22:00,,29.5,66,0.156,0.153
1986-06-13T23:00,,28.7,70,0.16,0.153
1986-06-14T00:00,,27.3,75,0.172,0.153
1986-06-14T01:00,,26.5,79,0.178,0.153
1986-06-14T02:00,,26.0,83,0.222,0.153
1986-06-14T03:00,,26.4,80,0.246,0.153
1986-06-14T04:00,,28.4,72,0.243,0.153
1986-06-14T05:00,,30.8,64,0.241,0.153
1986-06-14T06:00,,32.4,59,0.237,0.153
1986-06-14T07:00,,32.7,58,0.234,0.154
1986-06-14T08:00,,33.7,54,0.23,0.154
1986-06-14T09:00,,34.2,52,0.228,0.154
1986-06-14T10:00,,34.6,51,0.226,0.154
1986-06-14T11:00,,34.9,49,0.224,0.154
1986-06-14T12:00,,34.9,50,0.222,0.154
1986-06-14T13:00,,33.9,55,0.221,0.154
1986-06-14T14:00,,32.2,62,0.221,0.154
1986-06-14T15:00,,31.1,66,0.22,0.154
1986-06-14T16:00,,30.4,69,0.22,0.154
1986-06-14T17:00,,30.1,70,0.22,0.154
1986-06-14T18:00,,29.8,70,0.219,0.154
1986-06-14T19:00,,29.5,71,0.219,0.154
1986-06-14T20:00,,29.3,71,0.219,0.154
1986-06-14T21:00,,28.8,73,0.221,0.154
1986-06-14T22:00,,27.7,79,0.231,0.154
1986-06-14T23:00,,27.0,83,0.253,0.154
1986-06-15T00:00,,26.4,86,0.275,0.155
1986-06-15T01:00,,26.5,87,0.284,0.155
1986-06-15T02:00,,27.2,83,0.283,0.155
1986-06-15T03:00,,29.1,71,0.282,0.156
1986-06-15T04:00,,30.3,66,0.281,0.156
1986-06-15T05:00,,31.6,62,0.277,0.156
1986-06-15T06:00,,33.4,57,0.273,0.156
1986-06-15T07:00,,35.9,49,0.267,0.157
1986-06-15T08:00,,36.6,48,0.262,0.157
1986-06-15T09:00,,36.8,47,0.257,0.157
1986-06-15T10:00,,36.8,47,0.253,0.157
1986-06-15T11:00,,36.6,47,0.25,0.157
1986-06-15T12:00,,35.9,48,0.248,0.157
1986-06-15T13:00,,34.3,55,0.247,0.157
1986-06-15T14:00,,32.6,61,0.246,0.157
1986-06-15T15:00,,31.3,66,0.247,0.157
1986-06-15T16:00,,30.3,69,0.248,0.157
1986-06-15T17:00,,30.1,70,0.25,0.158
1986-06-15T18:00,,29.7,72,0.252,0.158
1986-06-15T19:00,,29.5,74,0.252,0.158
1986-06-15T20:00,,28.9,77,0.255,0.158
1986-06-15T21:00,,28.1,82,0.262,0.158
1986-06-15T22:00,,27.4,86,0.27,0.158
1986-06-15T23:00,,26.9,88,0.276,0.159
